run,nrmse,Base,Mod,Am,MOF_C
trans_mof4_n100_s42,0.100296,0.049089,0.077114,0.139855,0.135127
mamba_mof4_n100_s42,0.116922,0.085072,0.087615,0.125242,0.169758
A6_baseline_n100,0.119201,0.051506,0.089925,0.177194,0.158177
slstm_mof4_n100_s42,0.124310,0.070151,0.087026,0.160067,0.179996
lstm_mof4_n100_s42,0.124535,0.059215,0.091064,0.179331,0.168530
slstm_mof4_n100_fl_s42,0.320552,0.024518,0.227747,0.903148,0.126795
mamba_mof4_n100_fl_s42,0.568903,0.035959,0.203240,1.889689,0.146724
A6_baseline_first_last_n100,0.765738,0.026208,0.238878,2.663638,0.134229
trans_mof4_n100_fl_s42,0.774160,0.025011,0.297770,2.610266,0.163595
lstm_mof4_n100_fl_s42,0.787990,0.030095,0.277139,2.712371,0.132356
