run,nrmse,Base,Mod,SBU,Am,Nuc_C,MOF_C
lstm_mof6_n1000_s42,0.028918,0.017935,0.047373,0.029838,0.026154,0.026896,0.025314
A6_baseline_n1000,0.029978,0.018088,0.047373,0.030097,0.027842,0.026882,0.029584
trans_mof6_n1000_s42,0.033637,0.017022,0.047373,0.035586,0.030139,0.029921,0.041782
slstm_mof6_n1000_s42,0.048064,0.019323,0.047373,0.057937,0.061521,0.055009,0.047222
mamba_mof6_n1000_s42,0.054226,0.022632,0.047373,0.087445,0.075208,0.056964,0.035731
lstm_mof6_n1000_fl_s42,0.086621,0.013627,0.047373,0.106944,0.230790,0.103630,0.017364
A6_baseline_first_last_n1000,0.091914,0.013629,0.047373,0.109185,0.228700,0.134575,0.018020
trans_mof6_n1000_fl_s42,0.097833,0.013518,0.047373,0.097985,0.288162,0.123033,0.016928
slstm_mof6_n1000_fl_s42,0.115058,0.012784,0.047373,0.127258,0.279221,0.200356,0.023352
mamba_mof6_n1000_fl_s42,0.131828,0.020909,0.047373,0.126249,0.369317,0.113325,0.113793
