n_obs,obs_species,eval_species,nrmse,in_obs
2,"A,M",A,1.4399531210074201e-05,True
2,"A,M",B,0.010288935154676437,False
2,"A,M",C,0.009484860114753246,False
2,"A,M",D,0.01084220502525568,False
2,"A,M",E,0.037140343338251114,False
2,"A,M",F,0.02659449353814125,False
2,"A,M",G,0.019532158970832825,False
2,"A,M",H,0.015318736433982849,False
2,"A,M",I,0.030440006405115128,False
2,"A,M",J,0.06729919463396072,False
2,"A,M",K,0.060980089008808136,False
2,"A,M",L,0.04340166971087456,False
2,"A,M",M,7.134340762604552e-08,True
3,"A,B,M",A,1.3183647752157412e-05,True
3,"A,B,M",B,8.424618499702774e-06,True
3,"A,B,M",C,0.008868138305842876,False
3,"A,B,M",D,0.010641134344041348,False
3,"A,B,M",E,0.037145186215639114,False
3,"A,B,M",F,0.026594284921884537,False
3,"A,B,M",G,0.019535111263394356,False
3,"A,B,M",H,0.015311106108129025,False
3,"A,B,M",I,0.030217139050364494,False
3,"A,B,M",J,0.06697534769773483,False
3,"A,B,M",K,0.061010852456092834,False
3,"A,B,M",L,0.04344077780842781,False
3,"A,B,M",M,1.391221076119109e-07,True
4,"A,B,C,M",A,1.7054246200132184e-05,True
4,"A,B,C,M",B,8.834679647407029e-06,True
4,"A,B,C,M",C,8.465460268780589e-06,True
4,"A,B,C,M",D,0.003944126423448324,False
4,"A,B,C,M",E,0.0340106226503849,False
4,"A,B,C,M",F,0.02670082449913025,False
4,"A,B,C,M",G,0.0195439662784338,False
4,"A,B,C,M",H,0.01530352234840393,False
4,"A,B,C,M",I,0.030071450397372246,False
4,"A,B,C,M",J,0.06680960208177567,False
4,"A,B,C,M",K,0.061047542840242386,False
4,"A,B,C,M",L,0.043478913605213165,False
4,"A,B,C,M",M,2.627900812512962e-07,True
5,"A,B,C,D,M",A,9.625913662603125e-05,True
5,"A,B,C,D,M",B,9.00427985470742e-05,True
5,"A,B,C,D,M",C,2.1435393136925995e-05,True
5,"A,B,C,D,M",D,4.456371607375331e-05,True
5,"A,B,C,D,M",E,0.032822683453559875,False
5,"A,B,C,D,M",F,0.02677113749086857,False
5,"A,B,C,D,M",G,0.019551686942577362,False
5,"A,B,C,D,M",H,0.015298005193471909,False
5,"A,B,C,D,M",I,0.029969526454806328,False
5,"A,B,C,D,M",J,0.06672203540802002,False
5,"A,B,C,D,M",K,0.0610874705016613,False
5,"A,B,C,D,M",L,0.043516356498003006,False
5,"A,B,C,D,M",M,4.065852579060447e-07,True
6,"A,B,C,D,E,M",A,2.9396132958936505e-05,True
6,"A,B,C,D,E,M",B,2.2578493371838704e-05,True
6,"A,B,C,D,E,M",C,0.00018693158926907927,True
6,"A,B,C,D,E,M",D,0.0001303024764638394,True
6,"A,B,C,D,E,M",E,0.0004065404355060309,True
6,"A,B,C,D,E,M",F,0.025231925770640373,False
6,"A,B,C,D,E,M",G,0.02698371186852455,False
6,"A,B,C,D,E,M",H,0.019478091970086098,False
6,"A,B,C,D,E,M",I,0.029958533123135567,False
6,"A,B,C,D,E,M",J,0.06665915995836258,False
6,"A,B,C,D,E,M",K,0.06112926825881004,False
6,"A,B,C,D,E,M",L,0.043553244322538376,False
6,"A,B,C,D,E,M",M,5.564327807405789e-07,True
7,"A,B,C,D,E,F,M",A,3.418610867811367e-05,True
7,"A,B,C,D,E,F,M",B,1.938385503308382e-05,True
7,"A,B,C,D,E,F,M",C,3.037446367670782e-05,True
7,"A,B,C,D,E,F,M",D,3.6690755223389715e-05,True
7,"A,B,C,D,E,F,M",E,0.0005923951976001263,True
7,"A,B,C,D,E,F,M",F,0.0007816074066795409,True
7,"A,B,C,D,E,F,M",G,0.015040031634271145,False
7,"A,B,C,D,E,F,M",H,0.012199517339468002,False
7,"A,B,C,D,E,F,M",I,0.029787961393594742,False
7,"A,B,C,D,E,F,M",J,0.0666736513376236,False
7,"A,B,C,D,E,F,M",K,0.0611724853515625,False
7,"A,B,C,D,E,F,M",L,0.04358966648578644,False
7,"A,B,C,D,E,F,M",M,7.064494411679334e-07,True
8,"A,B,C,D,E,F,G,M",A,4.210025508655235e-05,True
8,"A,B,C,D,E,F,G,M",B,2.2149361029732972e-05,True
8,"A,B,C,D,E,F,G,M",C,3.091890175710432e-05,True
8,"A,B,C,D,E,F,G,M",D,4.2448766180314124e-05,True
8,"A,B,C,D,E,F,G,M",E,0.0005407813005149364,True
8,"A,B,C,D,E,F,G,M",F,0.0007524304091930389,True
8,"A,B,C,D,E,F,G,M",G,0.00017599351122044027,True
8,"A,B,C,D,E,F,G,M",H,0.0027670604176819324,False
8,"A,B,C,D,E,F,G,M",I,0.026197878643870354,False
8,"A,B,C,D,E,F,G,M",J,0.06882849335670471,False
8,"A,B,C,D,E,F,G,M",K,0.06123579666018486,False
8,"A,B,C,D,E,F,G,M",L,0.04362409934401512,False
8,"A,B,C,D,E,F,G,M",M,8.544449201508542e-07,True
9,"A,B,C,D,E,F,G,H,M",A,4.9807727918960154e-05,True
9,"A,B,C,D,E,F,G,H,M",B,2.4713139282539487e-05,True
9,"A,B,C,D,E,F,G,H,M",C,3.5151220799889416e-05,True
9,"A,B,C,D,E,F,G,H,M",D,5.4861189710209146e-05,True
9,"A,B,C,D,E,F,G,H,M",E,0.0005447753355838358,True
9,"A,B,C,D,E,F,G,H,M",F,0.0006954933633096516,True
9,"A,B,C,D,E,F,G,H,M",G,0.00013842240150552243,True
9,"A,B,C,D,E,F,G,H,M",H,0.0007532350136898458,True
9,"A,B,C,D,E,F,G,H,M",I,0.025829242542386055,False
9,"A,B,C,D,E,F,G,H,M",J,0.06910443305969238,False
9,"A,B,C,D,E,F,G,H,M",K,0.06128310412168503,False
9,"A,B,C,D,E,F,G,H,M",L,0.04365947097539902,False
9,"A,B,C,D,E,F,G,H,M",M,9.983936024582363e-07,True
10,"A,B,C,D,E,F,G,H,I,M",A,0.000110650944407098,True
10,"A,B,C,D,E,F,G,H,I,M",B,5.447175135486759e-05,True
10,"A,B,C,D,E,F,G,H,I,M",C,4.129407534492202e-05,True
10,"A,B,C,D,E,F,G,H,I,M",D,7.50623075873591e-05,True
10,"A,B,C,D,E,F,G,H,I,M",E,0.0005480252439156175,True
10,"A,B,C,D,E,F,G,H,I,M",F,0.0006905298214405775,True
10,"A,B,C,D,E,F,G,H,I,M",G,0.00018279606592841446,True
10,"A,B,C,D,E,F,G,H,I,M",H,0.0007525286637246609,True
10,"A,B,C,D,E,F,G,H,I,M",I,9.343095007352531e-05,True
10,"A,B,C,D,E,F,G,H,I,M",J,0.018004098907113075,False
10,"A,B,C,D,E,F,G,H,I,M",K,0.05980660766363144,False
10,"A,B,C,D,E,F,G,H,I,M",L,0.043898265808820724,False
10,"A,B,C,D,E,F,G,H,I,M",M,1.7509894689737848e-07,True
11,"A,B,C,D,E,F,G,H,I,J,M",A,0.00020888159633614123,True
11,"A,B,C,D,E,F,G,H,I,J,M",B,0.00010249805200146511,True
11,"A,B,C,D,E,F,G,H,I,J,M",C,6.091743489378132e-05,True
11,"A,B,C,D,E,F,G,H,I,J,M",D,0.00012714882905129343,True
11,"A,B,C,D,E,F,G,H,I,J,M",E,0.000562019064091146,True
11,"A,B,C,D,E,F,G,H,I,J,M",F,0.0006910403026267886,True
11,"A,B,C,D,E,F,G,H,I,J,M",G,0.0001473707816330716,True
11,"A,B,C,D,E,F,G,H,I,J,M",H,0.0007553569739684463,True
11,"A,B,C,D,E,F,G,H,I,J,M",I,0.00021525916235987097,True
11,"A,B,C,D,E,F,G,H,I,J,M",J,0.00024713404127396643,True
11,"A,B,C,D,E,F,G,H,I,J,M",K,0.060384351760149,False
11,"A,B,C,D,E,F,G,H,I,J,M",L,0.04385145381093025,False
11,"A,B,C,D,E,F,G,H,I,J,M",M,1.5097280936515745e-07,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",A,0.00021394442592281848,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",B,0.00010450293484609574,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",C,6.376884266501293e-05,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",D,0.00013377494178712368,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",E,0.0005661835893988609,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",F,0.0006918972940184176,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",G,0.00014980202831793576,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",H,0.0007560726371593773,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",I,0.00024555312120355666,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",J,0.0002686082443688065,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",K,5.965656782791484e-06,True
12,"A,B,C,D,E,F,G,H,I,J,K,M",L,0.0001543391845189035,False
12,"A,B,C,D,E,F,G,H,I,J,K,M",M,2.5760755306691863e-06,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",A,0.00020642572781071067,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",B,0.00010091017611557618,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",C,6.210282299434766e-05,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",D,0.0001287029153900221,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",E,0.0005646246718242764,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",F,0.000692083383910358,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",G,0.0001484629901824519,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",H,0.0007556175114586949,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",I,0.00018577571609057486,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",J,0.00022623302356805652,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",K,3.9048591133905575e-05,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",L,5.0958366045961156e-05,True
13,"A,B,C,D,E,F,G,H,I,J,K,L,M",M,5.267539745545946e-05,True
