mode,sample_idx,n_obs,obs_species,eval_species,nrmse,in_obs
one-step,760,2,"A,M",A,0.0001402514462824911,True
one-step,760,2,"A,M",B,0.020256510004401207,False
one-step,760,2,"A,M",C,0.031441301107406616,False
one-step,760,2,"A,M",D,0.012367015704512596,False
one-step,760,2,"A,M",E,0.023862548172473907,False
one-step,760,2,"A,M",F,0.045045897364616394,False
one-step,760,2,"A,M",G,0.03337206318974495,False
one-step,760,2,"A,M",H,0.019284941256046295,False
one-step,760,2,"A,M",I,0.043339166790246964,False
one-step,760,2,"A,M",J,0.07140979170799255,False
one-step,760,2,"A,M",K,0.08434566110372543,False
one-step,760,2,"A,M",L,0.05408168211579323,False
one-step,760,2,"A,M",M,8.637584869575221e-08,True
one-step,760,3,"A,B,M",A,0.0005586387123912573,True
one-step,760,3,"A,B,M",B,0.00016725686145946383,True
one-step,760,3,"A,B,M",C,0.014684255234897137,False
one-step,760,3,"A,B,M",D,0.011532085947692394,False
one-step,760,3,"A,B,M",E,0.023883476853370667,False
one-step,760,3,"A,B,M",F,0.04504277557134628,False
one-step,760,3,"A,B,M",G,0.03337732329964638,False
one-step,760,3,"A,B,M",H,0.01926964893937111,False
one-step,760,3,"A,B,M",I,0.043031368404626846,False
one-step,760,3,"A,B,M",J,0.07095831632614136,False
one-step,760,3,"A,B,M",K,0.08439520001411438,False
one-step,760,3,"A,B,M",L,0.054123084992170334,False
one-step,760,3,"A,B,M",M,8.682134478021908e-08,True
one-step,760,4,"A,B,C,M",A,0.0002790171420201659,True
one-step,760,4,"A,B,C,M",B,0.0006177448085509241,True
one-step,760,4,"A,B,C,M",C,0.0007371918763965368,True
one-step,760,4,"A,B,C,M",D,0.011602253653109074,False
one-step,760,4,"A,B,C,M",E,0.02313755638897419,False
one-step,760,4,"A,B,C,M",F,0.04527778550982475,False
one-step,760,4,"A,B,C,M",G,0.03339691460132599,False
one-step,760,4,"A,B,C,M",H,0.019260060042142868,False
one-step,760,4,"A,B,C,M",I,0.04280966520309448,False
one-step,760,4,"A,B,C,M",J,0.07067808508872986,False
one-step,760,4,"A,B,C,M",K,0.0844484195113182,False
one-step,760,4,"A,B,C,M",L,0.05416377633810043,False
one-step,760,4,"A,B,C,M",M,8.661773165385966e-08,True
one-step,760,5,"A,B,C,D,M",A,0.0002352209558011964,True
one-step,760,5,"A,B,C,D,M",B,0.0001069180216290988,True
one-step,760,5,"A,B,C,D,M",C,0.0005806880653835833,True
one-step,760,5,"A,B,C,D,M",D,0.00013473854050971568,True
one-step,760,5,"A,B,C,D,M",E,0.022582100704312325,False
one-step,760,5,"A,B,C,D,M",F,0.04536394774913788,False
one-step,760,5,"A,B,C,D,M",G,0.03340768441557884,False
one-step,760,5,"A,B,C,D,M",H,0.01925351470708847,False
one-step,760,5,"A,B,C,D,M",I,0.04264186695218086,False
one-step,760,5,"A,B,C,D,M",J,0.07049322873353958,False
one-step,760,5,"A,B,C,D,M",K,0.08450347930192947,False
one-step,760,5,"A,B,C,D,M",L,0.05420396849513054,False
one-step,760,5,"A,B,C,D,M",M,9.166694070472658e-08,True
one-step,760,6,"A,B,C,D,E,M",A,0.00023354441509582102,True
one-step,760,6,"A,B,C,D,E,M",B,8.903996786102653e-05,True
one-step,760,6,"A,B,C,D,E,M",C,0.0016426303191110492,True
one-step,760,6,"A,B,C,D,E,M",D,0.00014776302850805223,True
one-step,760,6,"A,B,C,D,E,M",E,0.003371612401679158,True
one-step,760,6,"A,B,C,D,E,M",F,0.038613155484199524,False
one-step,760,6,"A,B,C,D,E,M",G,0.04173356294631958,False
one-step,760,6,"A,B,C,D,E,M",H,0.021368999034166336,False
one-step,760,6,"A,B,C,D,E,M",I,0.04267619922757149,False
one-step,760,6,"A,B,C,D,E,M",J,0.07031703740358353,False
one-step,760,6,"A,B,C,D,E,M",K,0.08455941081047058,False
one-step,760,6,"A,B,C,D,E,M",L,0.05424375459551811,False
one-step,760,6,"A,B,C,D,E,M",M,8.886576097211218e-08,True
one-step,760,7,"A,B,C,D,E,F,M",A,0.00023518131638411433,True
one-step,760,7,"A,B,C,D,E,F,M",B,9.236046025762334e-05,True
one-step,760,7,"A,B,C,D,E,F,M",C,0.0027174940332770348,True
one-step,760,7,"A,B,C,D,E,F,M",D,0.0009575894800946116,True
one-step,760,7,"A,B,C,D,E,F,M",E,0.009035976603627205,True
one-step,760,7,"A,B,C,D,E,F,M",F,0.018001016229391098,True
one-step,760,7,"A,B,C,D,E,F,M",G,0.045509204268455505,False
one-step,760,7,"A,B,C,D,E,F,M",H,0.02037707529962063,False
one-step,760,7,"A,B,C,D,E,F,M",I,0.04228849709033966,False
one-step,760,7,"A,B,C,D,E,F,M",J,0.07032350450754166,False
one-step,760,7,"A,B,C,D,E,F,M",K,0.08461622148752213,False
one-step,760,7,"A,B,C,D,E,F,M",L,0.054283156991004944,False
one-step,760,7,"A,B,C,D,E,F,M",M,9.33689463522569e-08,True
one-step,760,8,"A,B,C,D,E,F,G,M",A,0.0002348786365473643,True
one-step,760,8,"A,B,C,D,E,F,G,M",B,9.189969568978995e-05,True
one-step,760,8,"A,B,C,D,E,F,G,M",C,0.0027289502322673798,True
one-step,760,8,"A,B,C,D,E,F,G,M",D,0.0009580548503436148,True
one-step,760,8,"A,B,C,D,E,F,G,M",E,0.012432062067091465,True
one-step,760,8,"A,B,C,D,E,F,G,M",F,0.019255192950367928,True
one-step,760,8,"A,B,C,D,E,F,G,M",G,0.023241691291332245,True
one-step,760,8,"A,B,C,D,E,F,G,M",H,0.021473277360200882,False
one-step,760,8,"A,B,C,D,E,F,G,M",I,0.03506407141685486,False
one-step,760,8,"A,B,C,D,E,F,G,M",J,0.0752314105629921,False
one-step,760,8,"A,B,C,D,E,F,G,M",K,0.08469054102897644,False
one-step,760,8,"A,B,C,D,E,F,G,M",L,0.054320987313985825,False
one-step,760,8,"A,B,C,D,E,F,G,M",M,8.692232000839795e-08,True
one-step,760,9,"A,B,C,D,E,F,G,H,M",A,0.00023867140407674015,True
one-step,760,9,"A,B,C,D,E,F,G,H,M",B,0.00011269673996139318,True
one-step,760,9,"A,B,C,D,E,F,G,H,M",C,0.002734059002250433,True
one-step,760,9,"A,B,C,D,E,F,G,H,M",D,0.0009608195978216827,True
one-step,760,9,"A,B,C,D,E,F,G,H,M",E,0.014280448667705059,True
one-step,760,9,"A,B,C,D,E,F,G,H,M",F,0.02398456633090973,True
one-step,760,9,"A,B,C,D,E,F,G,H,M",G,0.019559180364012718,True
one-step,760,9,"A,B,C,D,E,F,G,H,M",H,0.012841172516345978,True
one-step,760,9,"A,B,C,D,E,F,G,H,M",I,0.034058284014463425,False
one-step,760,9,"A,B,C,D,E,F,G,H,M",J,0.07493843138217926,False
one-step,760,9,"A,B,C,D,E,F,G,H,M",K,0.08474835008382797,False
one-step,760,9,"A,B,C,D,E,F,G,H,M",L,0.054359667003154755,False
one-step,760,9,"A,B,C,D,E,F,G,H,M",M,8.709087495617496e-08,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",A,0.00023939835955388844,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",B,0.0001161852414952591,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",C,0.002734601264819503,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",D,0.0009609278058633208,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",E,0.01434200257062912,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",F,0.02418743073940277,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",G,0.019433556124567986,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",H,0.012744270265102386,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",I,0.0017061075195670128,True
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",J,0.022564755752682686,False
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",K,0.08370910584926605,False
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",L,0.05452953651547432,False
one-step,760,10,"A,B,C,D,E,F,G,H,I,M",M,8.838226506213687e-08,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",A,0.00023747779778204858,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",B,0.00010861874034162611,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",C,0.0027326412964612246,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",D,0.00095945387147367,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",E,0.014405052177608013,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",F,0.024409085512161255,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",G,0.0193010400980711,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",H,0.012645063921809196,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",I,0.001965676201507449,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",J,0.005376686342060566,True
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",K,0.08414378017187119,False
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",L,0.0545157864689827,False
one-step,760,11,"A,B,C,D,E,F,G,H,I,J,M",M,7.879343399963545e-08,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",A,0.0002375001786276698,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",B,0.00010790823580464348,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",C,0.0027328322175890207,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",D,0.0009597300086170435,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",E,0.014405058696866035,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",F,0.024409219622612,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",G,0.0193009115755558,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",H,0.01264500617980957,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",I,0.001967201940715313,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",J,0.005378554109483957,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",K,1.1159713722008746e-06,True
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",L,0.00019165442790836096,False
one-step,760,12,"A,B,C,D,E,F,G,H,I,J,K,M",M,2.3855773179093376e-07,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",A,0.00023636396508663893,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",B,0.00010237939568469301,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",C,0.002731976332142949,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",D,0.0009591346024535596,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",E,0.014408979564905167,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",F,0.024422625079751015,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",G,0.019292883574962616,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",H,0.012639003805816174,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",I,0.0019972173031419516,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",J,0.005290016066282988,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",K,7.608672603964806e-05,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",L,6.638665945501998e-05,True
one-step,760,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",M,6.539301102748141e-05,True
one-step,713,2,"A,M",A,7.746682967990637e-06,True
one-step,713,2,"A,M",B,0.019885729998350143,False
one-step,713,2,"A,M",C,0.015473770909011364,False
one-step,713,2,"A,M",D,0.01330010686069727,False
one-step,713,2,"A,M",E,0.027062809094786644,False
one-step,713,2,"A,M",F,0.13007432222366333,False
one-step,713,2,"A,M",G,0.035315219312906265,False
one-step,713,2,"A,M",H,0.02258693054318428,False
one-step,713,2,"A,M",I,0.04473693296313286,False
one-step,713,2,"A,M",J,0.03844417259097099,False
one-step,713,2,"A,M",K,0.07122936099767685,False
one-step,713,2,"A,M",L,0.04562390223145485,False
one-step,713,2,"A,M",M,9.818609925105193e-08,True
one-step,713,3,"A,B,M",A,0.0007069879211485386,True
one-step,713,3,"A,B,M",B,0.00021681381622329354,True
one-step,713,3,"A,B,M",C,0.009944974444806576,False
one-step,713,3,"A,B,M",D,0.011938167735934258,False
one-step,713,3,"A,B,M",E,0.02709212712943554,False
one-step,713,3,"A,B,M",F,0.13005679845809937,False
one-step,713,3,"A,B,M",G,0.03531970828771591,False
one-step,713,3,"A,B,M",H,0.02257446199655533,False
one-step,713,3,"A,B,M",I,0.04446468874812126,False
one-step,713,3,"A,B,M",J,0.03838175907731056,False
one-step,713,3,"A,B,M",K,0.07125699520111084,False
one-step,713,3,"A,B,M",L,0.045657429844141006,False
one-step,713,3,"A,B,M",M,1.116907739628914e-07,True
one-step,713,4,"A,B,C,M",A,9.342972043668851e-05,True
one-step,713,4,"A,B,C,M",B,0.0001475323660997674,True
one-step,713,4,"A,B,C,M",C,5.526053428184241e-05,True
one-step,713,4,"A,B,C,M",D,0.0077796136029064655,False
one-step,713,4,"A,B,C,M",E,0.025211891159415245,False
one-step,713,4,"A,B,C,M",F,0.13169319927692413,False
one-step,713,4,"A,B,C,M",G,0.035418551415205,False
one-step,713,4,"A,B,C,M",H,0.022561388090252876,False
one-step,713,4,"A,B,C,M",I,0.044299401342868805,False
one-step,713,4,"A,B,C,M",J,0.03835368901491165,False
one-step,713,4,"A,B,C,M",K,0.07129167020320892,False
one-step,713,4,"A,B,C,M",L,0.04568996652960777,False
one-step,713,4,"A,B,C,M",M,1.2060277754244453e-07,True
one-step,713,5,"A,B,C,D,M",A,9.525162022328004e-05,True
one-step,713,5,"A,B,C,D,M",B,0.00017691534594632685,True
one-step,713,5,"A,B,C,D,M",C,0.00021535143605433404,True
one-step,713,5,"A,B,C,D,M",D,0.00016727016190998256,True
one-step,713,5,"A,B,C,D,M",E,0.02442249096930027,False
one-step,713,5,"A,B,C,D,M",F,0.13247616589069366,False
one-step,713,5,"A,B,C,D,M",G,0.035475704818964005,False
one-step,713,5,"A,B,C,D,M",H,0.02255319617688656,False
one-step,713,5,"A,B,C,D,M",I,0.044188205152750015,False
one-step,713,5,"A,B,C,D,M",J,0.03833897411823273,False
one-step,713,5,"A,B,C,D,M",K,0.0713299810886383,False
one-step,713,5,"A,B,C,D,M",L,0.04572188854217529,False
one-step,713,5,"A,B,C,D,M",M,1.2913341151943314e-07,True
one-step,713,6,"A,B,C,D,E,M",A,8.737974712857977e-05,True
one-step,713,6,"A,B,C,D,E,M",B,9.448945638723671e-05,True
one-step,713,6,"A,B,C,D,E,M",C,7.478687621187419e-05,True
one-step,713,6,"A,B,C,D,E,M",D,0.00010455630399519578,True
one-step,713,6,"A,B,C,D,E,M",E,3.9950617065187544e-05,True
one-step,713,6,"A,B,C,D,E,M",F,0.06738880276679993,False
one-step,713,6,"A,B,C,D,E,M",G,0.022754428908228874,False
one-step,713,6,"A,B,C,D,E,M",H,0.02446887083351612,False
one-step,713,6,"A,B,C,D,E,M",I,0.04426299408078194,False
one-step,713,6,"A,B,C,D,E,M",J,0.03831544890999794,False
one-step,713,6,"A,B,C,D,E,M",K,0.07137014716863632,False
one-step,713,6,"A,B,C,D,E,M",L,0.0457533597946167,False
one-step,713,6,"A,B,C,D,E,M",M,1.3515176533474005e-07,True
one-step,713,7,"A,B,C,D,E,F,M",A,9.126698569161817e-05,True
one-step,713,7,"A,B,C,D,E,F,M",B,9.392735955771059e-05,True
one-step,713,7,"A,B,C,D,E,F,M",C,6.819122063461691e-05,True
one-step,713,7,"A,B,C,D,E,F,M",D,0.00012497657735366374,True
one-step,713,7,"A,B,C,D,E,F,M",E,0.00020195245451759547,True
one-step,713,7,"A,B,C,D,E,F,M",F,0.00036625462234951556,True
one-step,713,7,"A,B,C,D,E,F,M",G,0.03932207450270653,False
one-step,713,7,"A,B,C,D,E,F,M",H,0.021663285791873932,False
