mode,n_obs,obs_species,eval_species,nrmse,in_obs
one-step,2,"A,M",A,2.021719228650909e-05,True
one-step,2,"A,M",B,0.01028893981128931,False
one-step,2,"A,M",C,0.0094848508015275,False
one-step,2,"A,M",D,0.010842202231287956,False
one-step,2,"A,M",E,0.037140343338251114,False
one-step,2,"A,M",F,0.02659449353814125,False
one-step,2,"A,M",G,0.019532158970832825,False
one-step,2,"A,M",H,0.015318736433982849,False
one-step,2,"A,M",I,0.030452553182840347,False
one-step,2,"A,M",J,0.0673418790102005,False
one-step,2,"A,M",K,0.06098080426454544,False
one-step,2,"A,M",L,0.0434015728533268,False
one-step,2,"A,M",M,6.340306981655885e-07,True
one-step,3,"A,B,M",A,1.8550053937360644e-05,True
one-step,3,"A,B,M",B,1.1814638128271326e-05,True
one-step,3,"A,B,M",C,0.008868143893778324,False
one-step,3,"A,B,M",D,0.010641134344041348,False
one-step,3,"A,B,M",E,0.037145182490348816,False
one-step,3,"A,B,M",F,0.026594284921884537,False
one-step,3,"A,B,M",G,0.019535111263394356,False
one-step,3,"A,B,M",H,0.015311106108129025,False
one-step,3,"A,B,M",I,0.030242204666137695,False
one-step,3,"A,B,M",J,0.06705905497074127,False
one-step,3,"A,B,M",K,0.061011556535959244,False
one-step,3,"A,B,M",L,0.043440695852041245,False
one-step,3,"A,B,M",M,7.720805115241092e-07,True
one-step,4,"A,B,C,M",A,4.598395025823265e-05,True
one-step,4,"A,B,C,M",B,3.918277070624754e-05,True
one-step,4,"A,B,C,M",C,1.4198432836565189e-05,True
one-step,4,"A,B,C,M",D,0.003942420240491629,False
one-step,4,"A,B,C,M",E,0.034010808914899826,False
one-step,4,"A,B,C,M",F,0.026700815185904503,False
one-step,4,"A,B,C,M",G,0.01954396441578865,False
one-step,4,"A,B,C,M",H,0.01530352234840393,False
one-step,4,"A,B,C,M",I,0.03010706789791584,False
one-step,4,"A,B,C,M",J,0.06692633032798767,False
one-step,4,"A,B,C,M",K,0.06104818731546402,False
one-step,4,"A,B,C,M",L,0.0434788316488266,False
one-step,4,"A,B,C,M",M,9.707413255455322e-07,True
one-step,5,"A,B,C,D,M",A,0.00015592963609378785,True
one-step,5,"A,B,C,D,M",B,0.00014640657173004001,True
one-step,5,"A,B,C,D,M",C,4.140110468142666e-05,True
one-step,5,"A,B,C,D,M",D,7.583329715998843e-05,True
one-step,5,"A,B,C,D,M",E,0.03282499685883522,False
one-step,5,"A,B,C,D,M",F,0.026771018281579018,False
one-step,5,"A,B,C,D,M",G,0.019551647827029228,False
one-step,5,"A,B,C,D,M",H,0.015298016369342804,False
one-step,5,"A,B,C,D,M",I,0.030013879761099815,False
one-step,5,"A,B,C,D,M",J,0.06686480343341827,False
one-step,5,"A,B,C,D,M",K,0.06108803302049637,False
one-step,5,"A,B,C,D,M",L,0.04351628199219704,False
one-step,5,"A,B,C,D,M",M,1.1934135955016245e-06,True
one-step,6,"A,B,C,D,E,M",A,4.5871780457673594e-05,True
one-step,6,"A,B,C,D,E,M",B,3.4736898669507354e-05,True
one-step,6,"A,B,C,D,E,M",C,0.00024490937357768416,True
one-step,6,"A,B,C,D,E,M",D,0.00017228504293598235,True
one-step,6,"A,B,C,D,E,M",E,0.0010030645644292235,True
one-step,6,"A,B,C,D,E,M",F,0.02519688941538334,False
one-step,6,"A,B,C,D,E,M",G,0.02670188993215561,False
one-step,6,"A,B,C,D,E,M",H,0.019371388480067253,False
one-step,6,"A,B,C,D,E,M",I,0.030009787529706955,False
one-step,6,"A,B,C,D,E,M",J,0.06682274490594864,False
one-step,6,"A,B,C,D,E,M",K,0.061129722744226456,False
one-step,6,"A,B,C,D,E,M",L,0.043553195893764496,False
one-step,6,"A,B,C,D,E,M",M,1.4176353033690248e-06,True
one-step,7,"A,B,C,D,E,F,M",A,5.694099309039302e-05,True
one-step,7,"A,B,C,D,E,F,M",B,3.364201620570384e-05,True
one-step,7,"A,B,C,D,E,F,M",C,7.468622061423957e-05,True
one-step,7,"A,B,C,D,E,F,M",D,7.50312174204737e-05,True
one-step,7,"A,B,C,D,E,F,M",E,0.0013648044550791383,True
one-step,7,"A,B,C,D,E,F,M",F,0.0017196736298501492,True
one-step,7,"A,B,C,D,E,F,M",G,0.015058106742799282,False
one-step,7,"A,B,C,D,E,F,M",H,0.01222087163478136,False
one-step,7,"A,B,C,D,E,F,M",I,0.02984664961695671,False
one-step,7,"A,B,C,D,E,F,M",J,0.06685362756252289,False
one-step,7,"A,B,C,D,E,F,M",K,0.06117283180356026,False
one-step,7,"A,B,C,D,E,F,M",L,0.04358963668346405,False
one-step,7,"A,B,C,D,E,F,M",M,1.6454923752462491e-06,True
one-step,8,"A,B,C,D,E,F,G,M",A,6.001703877700493e-05,True
one-step,8,"A,B,C,D,E,F,G,M",B,3.4665536077227443e-05,True
one-step,8,"A,B,C,D,E,F,G,M",C,7.245008600875735e-05,True
one-step,8,"A,B,C,D,E,F,G,M",D,7.352736429311335e-05,True
one-step,8,"A,B,C,D,E,F,G,M",E,0.0012758857337757945,True
one-step,8,"A,B,C,D,E,F,G,M",F,0.0015758674126118422,True
one-step,8,"A,B,C,D,E,F,G,M",G,0.0005920320400036871,True
one-step,8,"A,B,C,D,E,F,G,M",H,0.0028337459079921246,False
one-step,8,"A,B,C,D,E,F,G,M",I,0.02627796120941639,False
one-step,8,"A,B,C,D,E,F,G,M",J,0.06901147216558456,False
one-step,8,"A,B,C,D,E,F,G,M",K,0.06123596802353859,False
one-step,8,"A,B,C,D,E,F,G,M",L,0.04362410306930542,False
one-step,8,"A,B,C,D,E,F,G,M",M,1.8672456008062e-06,True
one-step,9,"A,B,C,D,E,F,G,H,M",A,8.210533269448206e-05,True
one-step,9,"A,B,C,D,E,F,G,H,M",B,4.3513242417247966e-05,True
one-step,9,"A,B,C,D,E,F,G,H,M",C,8.046918082982302e-05,True
one-step,9,"A,B,C,D,E,F,G,H,M",D,0.00010499269410502166,True
one-step,9,"A,B,C,D,E,F,G,H,M",E,0.001278313109651208,True
one-step,9,"A,B,C,D,E,F,G,H,M",F,0.0015201200731098652,True
one-step,9,"A,B,C,D,E,F,G,H,M",G,0.0005527085741050541,True
one-step,9,"A,B,C,D,E,F,G,H,M",H,0.0011095564113929868,True
one-step,9,"A,B,C,D,E,F,G,H,M",I,0.02595052309334278,False
one-step,9,"A,B,C,D,E,F,G,H,M",J,0.06926988065242767,False
one-step,9,"A,B,C,D,E,F,G,H,M",K,0.061282750219106674,False
one-step,9,"A,B,C,D,E,F,G,H,M",L,0.04365953058004379,False
one-step,9,"A,B,C,D,E,F,G,H,M",M,2.0833633698202902e-06,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",A,0.00016193705960176885,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",B,8.146063919411972e-05,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",C,8.356365287909284e-05,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",D,0.00011752415593946353,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",E,0.0012793971691280603,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",F,0.0015141835901886225,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",G,0.0005815171170979738,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",H,0.00111281534191221,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",I,0.00013690268679056317,True
one-step,10,"A,B,C,D,E,F,G,H,I,M",J,0.0179546307772398,False
one-step,10,"A,B,C,D,E,F,G,H,I,M",K,0.05980405956506729,False
one-step,10,"A,B,C,D,E,F,G,H,I,M",L,0.043898649513721466,False
one-step,10,"A,B,C,D,E,F,G,H,I,M",M,3.4622030398168135e-07,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",A,0.00020856625633314252,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",B,0.00010476550960447639,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",C,8.955584053182974e-05,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",D,0.00013782271707896143,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",E,0.0012829009210690856,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",F,0.0015139541355893016,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",G,0.0005534610245376825,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",H,0.0011093998327851295,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",I,0.0003536190779414028,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",J,0.00042077532270923257,True
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",K,0.06039373204112053,False
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",L,0.04385010153055191,False
one-step,11,"A,B,C,D,E,F,G,H,I,J,M",M,8.543258331883408e-07,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",A,0.00020403914095368236,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",B,0.00010179555101785809,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",C,9.163926006294787e-05,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",D,0.00014046883734408766,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",E,0.0012856607791036367,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",F,0.001514742150902748,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",G,0.0005544874002225697,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",H,0.001109002623707056,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",I,0.00035081731039099395,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",J,0.0004254330706316978,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",K,7.608450687257573e-06,True
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",L,0.00018543703481554985,False
one-step,12,"A,B,C,D,E,F,G,H,I,J,K,M",M,4.822070422960678e-06,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",A,0.00020016009511891752,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",B,0.00010017318709287792,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",C,9.123830386670306e-05,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",D,0.00013640776160173118,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",E,0.0012848165351897478,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",F,0.0015149754472076893,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",G,0.000554296828340739,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",H,0.0011083220597356558,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",I,0.00031302522984333336,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",J,0.00041829360998235643,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",K,5.041481927037239e-05,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",L,6.6295251599513e-05,True
one-step,13,"A,B,C,D,E,F,G,H,I,J,K,L,M",M,6.756160291843116e-05,True
