mode,n_obs,obs_species,eval_species,nrmse,in_obs
rollout,2,"A,M",A,9.361160095977539e-07,True
rollout,2,"A,M",B,0.01291769277304411,False
rollout,2,"A,M",C,0.0129692442715168,False
rollout,2,"A,M",D,0.01650797761976719,False
rollout,2,"A,M",E,0.06128060445189476,False
rollout,2,"A,M",F,0.026002507656812668,False
rollout,2,"A,M",G,0.040427301079034805,False
rollout,2,"A,M",H,0.029627744108438492,False
rollout,2,"A,M",I,0.07615059614181519,False
rollout,2,"A,M",J,0.045707423239946365,False
rollout,2,"A,M",K,0.08549328148365021,False
rollout,2,"A,M",L,0.05507965758442879,False
rollout,2,"A,M",M,4.816733394363837e-07,True
rollout,3,"A,B,M",A,1.182383016384847e-06,True
rollout,3,"A,B,M",B,6.09675453233649e-07,True
rollout,3,"A,B,M",C,0.012892321683466434,False
rollout,3,"A,B,M",D,0.01669962890446186,False
rollout,3,"A,B,M",E,0.06122136116027832,False
rollout,3,"A,B,M",F,0.025984779000282288,False
rollout,3,"A,B,M",G,0.0403711274266243,False
rollout,3,"A,B,M",H,0.029593659564852715,False
rollout,3,"A,B,M",I,0.07626501470804214,False
rollout,3,"A,B,M",J,0.045580435544252396,False
rollout,3,"A,B,M",K,0.0854020044207573,False
rollout,3,"A,B,M",L,0.05510767921805382,False
rollout,3,"A,B,M",M,4.7491832333435013e-07,True
rollout,4,"A,B,C,M",A,3.424936585361138e-05,True
rollout,4,"A,B,C,M",B,3.254661351093091e-05,True
rollout,4,"A,B,C,M",C,6.936264526302693e-06,True
rollout,4,"A,B,C,M",D,0.005241787526756525,False
rollout,4,"A,B,C,M",E,0.055548351258039474,False
rollout,4,"A,B,C,M",F,0.02658534236252308,False
rollout,4,"A,B,C,M",G,0.04142626374959946,False
rollout,4,"A,B,C,M",H,0.03008352592587471,False
rollout,4,"A,B,C,M",I,0.0756019800901413,False
rollout,4,"A,B,C,M",J,0.04578975960612297,False
rollout,4,"A,B,C,M",K,0.08596611768007278,False
rollout,4,"A,B,C,M",L,0.05491141229867935,False
rollout,4,"A,B,C,M",M,5.045823172622477e-07,True
rollout,5,"A,B,C,D,M",A,0.00015445375174749643,True
