sample_idx,scaffold,nrmse_mm_rollout,nrmse_pm_rollout,r2_mm_timeseries,r2_pm_timeseries,peak_mm_true,peak_mm_pred,endpoint_pm_true,endpoint_pm_pred
0,resource_maturation,0.0043684407,0.4134011,0.9997702,-0.30073512,94.0,93.999985,566.5,152.16118
1,resource_maturation,0.020238606,0.5605877,0.99282587,-1.2330236,21.0,21.000002,1307.5,103.30627
2,resource_maturation,0.020423679,0.52460045,0.9923889,-0.9713044,25.0,25.000002,1461.0,179.73534
3,resource_maturation,0.020364769,0.48212984,0.9930101,-0.727134,24.0,24.000002,1223.5,198.63573
4,resource_maturation,0.013925486,0.49593496,0.9966731,-0.78122044,26.0,26.001263,1135.5,177.64117
5,resource_maturation,0.025806248,0.5038211,0.9875003,-0.85691667,18.0,18.0,723.0,98.14857
6,resource_maturation,0.02130576,0.4787246,0.9911791,-0.68227494,21.0,21.000004,722.0,124.46927
7,resource_maturation,0.0190719,0.4697806,0.9929177,-0.5829854,21.0,21.000002,1571.5,362.83685
8,resource_maturation,0.018279953,1.7093233,0.9963189,-185.31519,568.0,553.1294,0.0,21.938759
9,resource_maturation,0.0067852866,0.2612135,0.9995221,0.47102523,79.0,78.99999,181.0,98.86704
10,resource_maturation,0.007723354,0.33322042,0.99907494,0.21160519,78.0,78.00001,1072.5,480.03876
11,resource_maturation,0.0050409576,0.18792123,0.99973327,0.70454186,94.0,93.999985,115.0,81.99249
12,resource_maturation,0.006659474,0.19372037,0.9996209,0.6121923,55.0,54.999985,82.0,54.78655
13,resource_maturation,0.0072634253,0.21244249,0.99950665,0.55629694,46.0,46.000008,72.0,45.303173
14,resource_maturation,0.009099384,0.48166737,0.9985651,-0.74890757,15.0,15.000003,583.0,215.15826
15,resource_maturation,0.010304642,0.4839143,0.99772793,-0.79866266,16.0,16.0,533.5,195.11334
16,resource_maturation,0.011232123,0.5572914,0.9984197,-1.1643634,24.0,24.000002,658.0,75.069885
17,resource_maturation,0.01689,0.46518213,0.99674654,-0.45782924,20.0,20.000002,338.5,104.28248
18,resource_maturation,0.012126546,0.44971764,0.9983184,-0.43508375,25.0,25.000002,387.0,121.68627
19,resource_maturation,0.012800467,0.47842824,0.996333,-0.61644006,45.0,44.999973,851.0,183.20053
20,resource_maturation,0.009393,0.4781363,0.99799776,-0.61677563,41.0,40.99997,764.0,161.81984
21,resource_maturation,0.005530522,0.39759585,0.99964327,-0.16023803,84.0,83.99999,389.0,125.22048
22,resource_maturation,0.0042891917,0.37769902,0.9997789,-0.116549015,85.0,84.99997,452.0,146.95686
23,resource_maturation,0.0053416835,0.39699146,0.9996468,-0.15329957,95.0,94.999985,546.0,167.68994
24,resource_maturation,0.0077004354,0.21671934,0.99921894,0.5991802,56.0,55.999985,75.5,46.70124
25,resource_maturation,0.017585846,5.774099e+11,0.99609387,-4.991032e+14,215.0,213.93225,0.0,0.76846045
26,resource_maturation,0.008496441,0.13288392,0.9992045,-0.15531743,42.0,42.0,0.0,1.312355
27,resource_maturation,0.016914545,0.17136446,0.99331397,0.7871293,26.0,25.999987,216.0,159.295
28,resource_maturation,0.017018247,0.23084046,0.99511164,0.5718342,23.0,22.999996,84.5,50.446026
29,resource_maturation,0.019081252,0.21143383,0.9939276,0.6867335,26.0,25.999992,118.5,77.80038
30,resource_maturation,0.011937446,0.351092,0.99775094,0.06340885,31.0,30.999996,84.5,35.44026
31,resource_maturation,0.006304397,0.20502554,0.99967116,0.055462062,49.0,48.999992,6.5,3.6356225
32,resource_maturation,0.0053848326,0.22880134,0.9997645,0.18255067,63.0,62.99999,14.5,8.732364
33,resource_maturation,0.036874697,0.27973378,0.981568,-12.512605,288.0,283.0001,0.0,1.8688842
34,resource_maturation,0.011075751,0.44146663,0.9976619,-0.43607843,40.0,40.00002,806.5,208.32341
35,resource_maturation,0.0128636025,0.23060936,0.9980729,-0.019980192,36.0,35.999996,9.0,3.5294127
36,resource_maturation,0.020526547,6.1941455e+11,0.9955933,-5.7436054e+14,645.0,620.2437,0.0,0.82239956
37,resource_maturation,0.009736649,0.14201559,0.99851716,0.628213,192.0,192.00122,11.0,19.696745
38,resource_maturation,0.016271673,0.2838111,0.996644,0.42779136,27.0,27.000015,1502.5,840.85333
39,resource_maturation,0.013395943,0.43133506,0.9954857,-0.28502214,24.0,23.999977,643.0,260.323
40,resource_maturation,0.01915825,0.23675458,0.9936711,0.6376873,24.0,23.999985,253.5,158.99396
41,resource_maturation,0.0061095203,0.46783128,0.9990057,-0.5546768,72.0,71.9999,190.5,56.27409
42,resource_maturation,0.00655817,0.24062356,0.9987297,0.60502505,75.0,74.999916,300.5,190.1075
43,resource_maturation,0.018603042,0.1996938,0.9938146,0.71967125,25.0,24.999989,177.5,120.80645
44,resource_maturation,0.01394904,0.28993493,0.99613786,0.406766,27.0,26.999973,160.5,91.73719
45,resource_maturation,0.014500803,0.23062356,0.99621487,0.6275438,26.0,25.999996,438.5,292.66602
46,resource_maturation,0.013234485,0.25049132,0.99571484,0.56939656,29.0,28.999983,426.0,268.78104
47,resource_maturation,0.008802495,0.21990289,0.99896306,0.5460659,46.0,46.000004,43.0,27.177828
48,resource_maturation,0.019411996,0.4129796,0.9931844,-0.09372914,25.0,24.999994,380.5,163.6793
49,resource_maturation,0.01829546,0.4685665,0.9946458,-0.3891878,20.0,20.000002,438.5,160.20703
50,resource_maturation,0.014454014,0.4569233,0.9967606,-0.32871675,17.0,17.0,376.0,137.4958
51,resource_maturation,0.02562116,0.43667734,0.9892114,-0.34673524,10.0,10.0,406.5,172.48433
52,resource_maturation,0.025459284,0.5002397,0.9879651,-0.7349912,7.0,7.0001283,368.0,124.05987
53,resource_maturation,0.013482163,0.44094124,0.9940441,-0.27229178,35.0,34.999996,476.5,190.24521
54,resource_maturation,0.012661478,0.45415705,0.9940014,-0.3027246,40.0,40.000004,509.5,200.1497
55,resource_maturation,0.013755983,0.32914534,0.9960412,0.2679358,27.0,27.000002,302.5,161.24243
56,resource_maturation,0.011760529,0.27538985,0.9974778,0.49942285,36.0,35.999996,196.5,120.27779
57,resource_maturation,0.012951796,0.48589048,0.99469155,-0.52049994,35.0,34.999996,492.5,165.66995
58,resource_maturation,0.0111706415,0.4225458,0.99487877,-0.14409304,45.0,44.999996,447.5,189.71681
59,resource_maturation,0.011657774,0.37687185,0.9952402,0.08161157,38.0,37.999992,540.0,257.03033
60,resource_maturation,0.011966528,0.41730648,0.9955385,-0.12623382,37.0,36.99999,509.5,213.2472
61,resource_maturation,0.012978225,0.45712215,0.99521095,-0.34289575,38.0,37.999985,578.5,209.86131
62,resource_maturation,0.025582232,0.52780545,0.98408747,-1.0803466,8.0,8.0,444.5,147.66545
63,resource_maturation,0.021600451,0.47089475,0.9903559,-0.67093384,9.0,9.000001,420.5,170.5083
64,resource_maturation,0.010803118,0.42752075,0.9951982,-0.1466335,49.0,49.000004,544.0,225.58562
65,resource_maturation,0.012883285,0.4383603,0.99391276,-0.22859013,47.0,46.999985,534.5,210.55556
66,resource_maturation,0.010800437,0.381822,0.9957523,0.062074244,49.0,48.999996,535.5,251.11617
67,resource_maturation,0.020012626,0.3237608,0.99247056,0.2867716,28.0,27.999994,218.0,121.05144
68,resource_maturation,0.013494425,0.34539562,0.99687994,0.20968926,27.0,26.999998,201.0,104.06471
69,resource_maturation,0.010406162,0.2900291,0.9974427,0.4274733,42.0,41.999992,233.0,141.1624
70,resource_maturation,0.010823981,0.30993098,0.9970363,0.36558187,42.0,41.99999,225.0,127.63575
71,resource_maturation,0.019901486,0.38086367,0.99188226,0.06821716,28.0,27.999996,409.0,192.32922
72,resource_maturation,0.018418742,0.5827936,0.9845966,-1.2745855,32.0,31.999992,1448.0,209.21043
73,resource_maturation,0.03220482,0.5976839,0.96776724,-1.3775175,18.0,17.999996,1615.5,187.10052
74,resource_maturation,0.029987404,0.550505,0.96790385,-1.1645746,20.0,19.999994,1329.0,179.11096
75,resource_maturation,0.022678781,0.488019,0.98622715,-0.6082649,27.0,26.999989,506.0,144.57033
76,resource_maturation,0.0074502868,0.12627122,0.99926907,0.8656013,66.0,66.0,109.5,88.43161
77,resource_maturation,0.034712132,0.5403483,0.9674529,-0.9731226,15.0,15.0,973.5,186.56735
78,resource_maturation,0.020432195,0.45353124,0.99228114,-0.4714055,31.0,31.00006,1181.5,330.61563
79,resource_maturation,0.012847885,0.42350855,0.9972526,-0.17834938,49.0,49.00002,1173.5,440.95264
80,resource_maturation,0.011096504,0.34664896,0.998123,0.20634913,50.0,50.00009,1210.5,584.0926
81,resource_maturation,0.026610652,0.44278514,0.9850939,-0.34188962,21.0,21.00003,647.0,217.56094
82,resource_maturation,0.012828768,0.57039374,0.99322015,-1.2058928,43.0,42.99998,331.5,71.9193
83,resource_maturation,0.028920313,0.3894423,0.98545045,-0.046287656,20.0,20.001606,364.0,148.50249
84,resource_maturation,0.0150376195,0.16680768,0.997473,0.7711979,43.0,43.000004,79.0,59.355362
85,resource_maturation,0.00852916,0.5171027,0.99925905,-17.721329,225.0,219.96255,0.0,10.552879
86,resource_maturation,0.01552231,0.27285308,0.99714994,0.39964497,15.0,15.0,252.5,152.08635
87,resource_maturation,0.0150244385,0.60626364,0.99502546,-1.354805,14.0,13.999998,402.5,67.464806
88,resource_maturation,0.017503863,0.5825869,0.9852417,-1.2764602,40.0,39.999977,952.0,143.10857
89,resource_maturation,0.025114542,0.5912621,0.990138,-1.295996,15.0,15.000003,750.0,124.939766
90,resource_maturation,0.03600609,0.5763928,0.96386045,-1.2012954,16.0,16.000004,1152.5,180.40909
91,resource_maturation,0.044399492,0.5195815,0.9521652,-0.8864995,14.0,14.000001,686.5,153.76335
92,resource_maturation,0.045381337,0.5651304,0.94426817,-1.1240723,14.0,14.000001,978.0,168.1732
93,resource_maturation,0.043522976,0.5573271,0.95858324,-1.1470811,13.0,13.000002,1382.0,198.06317
94,resource_maturation,0.031200644,0.5196274,0.9815237,-1.0224328,17.0,17.000055,1541.5,233.49663
95,resource_maturation,0.016594037,0.509842,0.9836718,-0.849826,36.0,35.99999,1597.5,318.3864
96,resource_maturation,0.014242139,0.6576052,0.9895508,-1.856261,23.0,23.112295,433.0,37.575413
97,resource_maturation,0.011450174,0.6746062,0.99348265,-2.0259054,16.0,16.04501,489.5,25.153902
98,resource_maturation,0.011588133,0.65842974,0.99257725,-1.8397949,20.0,20.000675,532.5,36.29135
99,resource_maturation,0.013557479,0.67698056,0.9921896,-1.8774066,14.0,14.096988,593.5,31.72087
100,resource_maturation,0.011665413,0.6609314,0.9933058,-1.8428061,17.0,17.148874,551.0,36.031013
101,resource_maturation,0.012705714,0.67465734,0.9927926,-1.880074,9.0,8.999995,442.5,23.052753
102,resource_maturation,0.024116984,0.6717907,0.98469406,-1.9203429,9.0,8.999999,502.5,23.749681
103,resource_maturation,0.009958958,0.6459536,0.9957669,-1.7203417,21.0,21.121063,500.5,43.293816
104,resource_maturation,0.015821606,0.66461253,0.9813449,-1.8846714,22.0,22.000051,519.5,28.90638
105,resource_maturation,0.0188448,0.6630779,0.987329,-1.8340545,12.0,11.999998,522.0,33.559353
106,resource_maturation,0.00657835,1.0692917,0.9995617,-159.69139,228.0,227.91452,0.0,26.383627
107,resource_maturation,0.020521883,0.66857964,0.9791671,-1.9220026,8.0,7.999997,488.0,20.5963
108,resource_maturation,0.010401398,1.2488841,0.9986661,-184.01,381.0,368.61246,0.0,20.765366
109,resource_maturation,0.013878873,1.7145828,0.99810576,-379.12976,409.0,399.09433,0.0,23.081295
110,resource_maturation,0.03216013,0.6555868,0.8957347,-2.1592371,1.0,0.9999996,330.0,53.895622
111,resource_maturation,0.033258017,0.5234895,0.89455354,-1.1253052,6.0,6.000001,361.5,116.51332
112,resource_maturation,0.007412047,0.5500364,0.9994962,-50.461597,296.0,294.14505,0.0,13.294415
113,resource_maturation,0.014007448,0.24736199,0.9975088,0.45878035,14.0,14.000002,109.5,68.69182
114,resource_maturation,0.020867942,0.6881448,0.9804323,-2.1026459,7.0,6.9999986,318.0,19.575317
115,resource_maturation,0.00968324,0.6960349,0.99654555,-2.0475612,9.0,9.0,359.5,19.755209
116,resource_maturation,0.014507293,0.6706943,0.98889387,-1.9675455,7.0,6.9999976,325.0,19.875748
117,resource_maturation,0.022567077,0.69727397,0.97648156,-2.0702832,8.0,8.0,369.0,15.280215
118,resource_maturation,0.01765525,0.6887735,0.9840252,-2.047514,5.0,4.999998,407.0,20.736555
119,resource_maturation,0.011119783,0.67507523,0.99270725,-1.9979293,25.0,25.113451,435.5,31.241446
120,resource_maturation,0.011880136,0.59761167,0.9942286,-1.3232996,31.0,31.0,6355.0,620.42084
121,resource_maturation,0.008793118,0.5532616,0.9968572,-1.08423,44.0,44.000004,2480.0,274.30197
122,resource_maturation,0.012762472,0.6150108,0.9944354,-1.4015653,35.0,35.000004,4598.5,319.46863
123,resource_maturation,0.0138507,0.605407,0.9948223,-1.4237132,30.0,30.000158,4789.5,516.3287
124,resource_maturation,0.016231216,0.5959587,0.99367785,-1.3888218,35.0,35.00005,5692.0,593.993
125,resource_maturation,0.009423156,0.58798915,0.9971673,-1.268167,42.0,42.002647,2978.5,335.72134
126,resource_maturation,0.009954384,0.5689659,0.99620736,-1.0882335,37.0,36.999996,2286.5,418.30008
127,resource_maturation,0.0062535577,0.5524622,0.9988095,-1.038068,52.0,51.999992,1529.0,257.22208
128,resource_maturation,0.012821174,0.5719181,0.99571055,-1.139432,44.0,44.00005,3809.5,556.7499
129,resource_maturation,0.0064278715,1.050155,0.9996034,-203.98228,402.0,393.79935,0.0,25.575542
130,resource_maturation,0.011538108,0.6506303,0.99827677,-1.8011191,30.0,29.999996,1217.5,200.71472
131,resource_maturation,0.0043620914,1.312849,0.99976116,-275.52454,141.0,140.99991,0.0,27.71491
132,resource_maturation,0.027708072,1.122804,0.9633083,-212.23087,16.0,15.999988,0.0,24.303493
133,resource_maturation,0.026615294,1.0226562,0.96836275,-173.35954,15.0,14.999999,0.0,26.36556
134,resource_maturation,0.016308576,0.31784767,0.996976,0.24424696,24.0,24.000006,2837.0,1690.5111
135,resource_maturation,0.020866217,0.35273558,0.9955116,0.1002602,21.0,21.000004,2004.0,1068.2683
136,resource_maturation,0.0060418975,0.5940413,0.99955285,-1.1931427,39.0,39.0,162.0,30.085018
137,resource_maturation,0.011617845,0.41081604,0.99796003,-0.18679261,37.0,36.999996,282.0,137.77626
138,resource_maturation,0.013459434,0.66202575,0.99747103,-1.6817801,32.0,32.000008,2067.5,175.61345
139,resource_maturation,0.011412123,0.6270251,0.998062,-1.3859503,37.0,37.000004,1650.0,217.50914
140,resource_maturation,0.011354588,0.6290446,0.9972385,-1.4596848,36.0,36.000004,3249.0,329.33066
141,resource_maturation,0.009865428,0.6165721,0.9972839,-1.3864288,35.0,35.000004,4762.0,450.1626
142,resource_maturation,0.01454949,0.6144915,0.9943504,-1.3614285,31.0,31.000002,5101.0,495.24374
143,resource_maturation,0.012781135,0.60695595,0.9957242,-1.3342111,30.0,29.999996,4394.5,412.07693
144,resource_maturation,0.02697735,0.23765051,0.9808923,0.52326596,20.0,20.000002,348.5,230.96182
145,resource_maturation,0.014707076,0.26958463,0.9856976,0.41274357,39.0,39.0,466.5,285.6435
146,resource_maturation,0.015450862,0.29318514,0.9840555,0.29685557,38.0,38.0,477.5,269.78967
147,resource_maturation,0.012639617,0.3610685,0.99138963,-0.0046514273,42.0,42.000004,539.5,264.00516
148,resource_maturation,0.012506723,0.35961783,0.98874694,0.033700824,42.0,42.0,624.5,305.2576
149,resource_maturation,0.024556566,0.22238754,0.98034346,0.55584395,19.0,18.999998,340.0,231.59142
150,resource_maturation,0.029126344,0.26623005,0.9787105,0.4357469,16.0,15.999999,385.5,233.34192
151,resource_maturation,0.032138012,0.261696,0.97480524,0.457487,18.0,18.0,437.0,270.25775
152,resource_maturation,0.024284506,0.30365965,0.9866525,0.262151,16.0,16.0,412.0,231.02016
153,resource_maturation,0.017530004,0.28614956,0.98010665,0.3150047,27.0,27.000002,537.0,303.27838
154,resource_maturation,0.018742912,0.024934854,0.9937035,0.99363357,27.0,27.000004,302.5,314.91205
155,resource_maturation,0.01213804,0.25830317,0.98981965,0.45916897,31.0,31.000004,485.0,299.7372
156,resource_maturation,0.024414897,0.17699215,0.97679484,0.6982782,22.0,21.999998,232.5,174.5834
157,resource_maturation,0.031228116,0.17589395,0.9703802,0.68083453,20.0,20.00247,182.5,139.34265
158,resource_maturation,0.021454722,0.22025521,0.9882314,0.49023134,9.0,8.999999,371.0,266.00754
159,resource_maturation,0.006539247,0.15154988,0.9995546,0.8107429,80.0,80.00002,1262.5,978.4284
160,resource_maturation,0.0153327985,0.11731864,0.9947741,0.8698436,30.0,30.0,355.0,293.20963
161,resource_maturation,0.0143573,0.28946632,0.9920031,0.26921654,30.0,30.0,323.0,196.28304
162,resource_maturation,0.009861908,0.17930657,0.9945202,0.7217179,32.0,32.000008,412.5,303.61612
163,resource_maturation,0.008155956,0.217584,0.99504334,0.61893,44.0,44.0,404.0,274.7609
164,resource_maturation,0.009150428,0.31443882,0.9947721,0.23166233,46.0,46.000004,624.5,338.0248
165,resource_maturation,0.007952406,0.3060292,0.99629617,0.28943592,63.0,63.0,629.5,348.63885
166,resource_maturation,0.0071554235,0.3430939,0.99719495,0.10366291,60.0,60.0,610.5,313.16507
167,resource_maturation,0.022341536,0.25873208,0.98450726,0.4714021,17.0,17.000004,397.0,247.16576
168,resource_maturation,0.017974408,0.3175324,0.98719746,-0.25738335,20.0,20.0,42.0,39.21034
169,resource_maturation,0.0149744125,0.21730913,0.99115443,0.57310796,23.0,23.000004,106.5,76.73142
170,resource_maturation,0.01474565,0.21396643,0.9926272,0.57974434,22.0,22.0,116.0,82.49038
171,resource_maturation,0.021998249,0.2646309,0.9887956,0.44233847,18.0,18.000002,128.0,80.17029
172,resource_maturation,0.023931727,0.22308376,0.98362243,0.5688235,20.0,20.000004,115.5,78.835915
173,resource_maturation,0.023396565,0.2826316,0.9864124,0.32703167,18.0,17.999996,123.5,75.02341
174,resource_maturation,0.020538965,0.21977429,0.9914243,0.55307853,21.0,21.000004,125.5,87.12017
175,resource_maturation,0.0154489335,0.21969278,0.99074864,0.50597656,22.0,22.000002,97.0,67.380104
176,resource_maturation,0.01772652,0.2754387,0.990886,0.26278007,21.0,21.000002,94.5,60.902374
177,resource_maturation,0.018509867,0.19972421,0.996136,0.42722374,15.0,15.000002,69.0,54.05611
178,resource_maturation,0.020470206,0.20975769,0.99484277,0.416214,19.0,19.000008,77.5,59.8891
179,resource_maturation,0.023711484,0.19498608,0.99434817,0.47148144,13.0,13.000002,74.0,58.390217
180,resource_maturation,0.017388811,0.2638139,0.993791,0.3591289,20.0,20.000002,106.5,69.48285
181,resource_maturation,0.02259602,0.21474381,0.98698145,0.5644258,20.0,20.000006,91.5,63.81167
182,resource_maturation,0.022316685,0.19541554,0.99138826,0.5595814,13.0,13.0,92.5,68.71358
183,resource_maturation,0.01597224,0.42695674,0.99455434,-3.0648794,13.0,13.0,37.5,49.531292
184,resource_maturation,0.02966335,0.25959733,0.9873318,0.06000614,15.0,15.000002,55.0,48.862293
185,resource_maturation,0.019272722,0.545518,0.99334794,-5.0057883,18.0,18.000002,32.5,47.09082
186,resource_maturation,0.027679456,0.44753414,0.98764586,-1.9702063,17.0,17.000002,31.0,38.55334
187,resource_maturation,0.024943236,0.48475102,0.9855422,-2.1226792,15.0,15.000002,32.0,39.76339
188,resource_maturation,0.034102853,0.32090613,0.9741408,-0.036194086,14.0,14.000001,59.0,45.620304
189,resource_maturation,0.021296712,0.30878732,0.9814334,0.11073893,19.0,19.000002,60.0,42.4935
190,resource_maturation,0.027257413,0.2611633,0.97681105,0.17730236,15.0,15.000002,58.5,42.391666
191,resource_maturation,0.01850712,0.24074607,0.98975587,0.5133711,19.0,19.000004,117.5,78.827995
192,resource_maturation,0.016016558,0.42790577,0.9963149,-0.2409544,20.0,20.0,141.5,57.294624
193,resource_maturation,0.018856859,0.5285981,0.9952725,-1.0458603,18.0,18.0,175.0,41.188274
194,resource_maturation,0.017373232,0.47961876,0.9957886,-0.720325,18.0,18.000002,163.5,46.02261
195,resource_maturation,0.017901149,0.5193649,0.9956642,-0.9338255,19.0,19.0,177.5,45.29898
196,resource_maturation,0.01353408,0.55030453,0.9972544,-1.1072466,18.0,17.999998,161.0,35.453392
197,resource_maturation,0.016510747,0.5303594,0.99637717,-0.98615384,17.0,17.000002,162.0,40.452637
198,resource_maturation,0.020074153,0.37608075,0.9941498,-0.032609344,18.0,18.0,173.5,77.56973
199,resource_maturation,0.008920286,0.523737,0.9981599,-1.0205815,29.0,28.999987,433.0,127.95286
200,resource_maturation,0.011198872,0.47896928,0.9969223,-0.6970298,32.0,31.999983,418.5,148.15378
201,resource_maturation,0.01094828,0.43856278,0.9972304,-0.39606392,36.0,35.99999,364.5,153.753
202,resource_maturation,0.011648685,0.38459638,0.9981853,-0.10516107,26.0,26.000677,617.5,298.9985
203,resource_maturation,0.008553597,0.44241613,0.99812126,-0.37210715,36.0,35.999973,490.5,204.6631
204,resource_maturation,0.010507116,0.17627832,0.99768734,0.7804827,34.0,33.999996,534.0,403.1224
205,resource_maturation,0.009389076,0.3761527,0.9982566,-6.055832e-05,36.0,36.05504,541.5,277.24152
206,resource_maturation,0.0085554,0.24687074,0.99871093,0.58568263,48.0,48.000015,2462.5,1507.8516
207,resource_maturation,0.007713134,0.34481767,0.9991519,0.1873709,51.0,51.000004,1920.0,963.2109
208,resource_maturation,0.011860653,0.44958264,0.99631745,-0.3778559,26.0,25.999996,1176.0,427.9014
209,resource_maturation,0.010270561,0.4346486,0.9979851,-0.31181824,26.0,26.000002,1292.5,514.5957
210,resource_maturation,0.014819362,0.4110094,0.9964137,-0.21972,27.0,26.999973,440.0,200.29999
211,resource_maturation,0.015747124,0.38568944,0.99654025,-0.09234452,25.0,24.99997,721.5,349.80988
212,resource_maturation,0.017517036,0.51423234,0.99599844,-0.8049612,22.0,21.999992,529.5,169.4728
213,resource_maturation,0.015326131,0.41422462,0.99731374,-0.21236026,25.0,24.999998,516.5,232.70657
214,resource_maturation,0.006915437,0.24464488,0.9995913,0.53196514,58.0,57.999996,90.0,52.84784
215,resource_maturation,0.016651146,0.49305207,0.99570924,-0.6902176,21.0,21.000002,186.0,57.241848
216,resource_maturation,0.002980395,0.32518065,0.99987054,-0.41599798,42.0,42.0,17.5,7.2730217
217,resource_maturation,0.008969527,0.27539778,0.9990735,-1.6278982,43.0,43.002697,7.0,7.9256597
218,resource_maturation,0.010317667,0.18435375,0.9989133,-0.44686913,40.0,40.0,5.0,5.4383674
219,resource_maturation,0.009728602,0.98278743,0.99852973,-31.31607,37.0,36.99997,0.0,5.008041
220,resource_maturation,0.012172546,0.94985634,0.9977974,-63.94935,35.0,35.000004,0.0,4.621157
221,resource_maturation,0.01369324,0.14437652,0.99733454,0.84701735,33.0,33.016834,108.0,89.06679
222,resource_maturation,0.018202595,0.121927276,0.99578625,0.8946827,27.0,27.0,151.5,123.832466
223,resource_maturation,0.0076563233,0.369417,0.9991994,0.032650232,45.0,45.00523,243.0,120.59798
224,resource_maturation,0.009816384,0.25415596,0.99868304,0.55970794,46.0,46.0,244.5,161.52745
225,resource_maturation,0.0080138,5.341905e+11,0.99924916,-4.2718315e+14,41.0,41.0,0.0,0.66139364
226,resource_maturation,0.0031178456,0.37545162,0.9998673,0.076744616,164.0,164.00343,2031.5,793.89075
227,resource_maturation,0.01840892,1.104407,0.9964393,-139.78358,26.0,26.000002,0.0,3.5990837
228,resource_maturation,0.0069632996,0.15452544,0.9994599,0.82777905,70.0,70.008804,181.5,146.71735
229,resource_maturation,0.005963199,0.16739284,0.99961,0.7910243,60.0,59.99998,115.0,89.03573
230,resource_maturation,0.008342455,0.107042,0.9988797,0.9046236,22.0,22.000006,756.0,662.36694
231,resource_maturation,0.015777161,0.21478245,0.9956639,0.65537447,14.0,14.004403,754.5,551.6408
232,resource_maturation,0.0026934014,0.24309568,0.9999227,0.596696,183.0,183.00003,600.0,386.3656
233,resource_maturation,0.004633512,0.39712733,0.9996847,-0.099434376,56.0,55.99999,114.0,44.524353
234,resource_maturation,0.005165768,0.34806824,0.9996403,0.16128337,75.0,75.01375,534.5,278.09534
235,resource_maturation,0.0057558026,0.31146985,0.9996134,0.25778466,60.0,59.99998,81.5,40.186974
236,resource_maturation,0.0058967904,0.2168817,0.9995822,0.59235394,70.0,70.00001,104.0,65.01884
237,resource_maturation,0.006074706,1.174898,0.9993975,-98.32507,38.0,38.0,0.0,13.20256
238,resource_maturation,0.008077226,1.5225931,0.9990058,-106.50737,39.0,38.999996,0.0,9.773347
239,resource_maturation,0.003511797,0.14586614,0.99982095,0.57962537,44.0,44.000004,17.5,15.114882
240,resource_maturation,0.00457665,0.70850897,0.99967754,-72.113205,315.0,314.99994,18.0,54.211067
241,resource_maturation,0.012574294,0.19887622,0.9958133,0.69451237,42.0,42.00002,125.0,87.228134
242,resource_maturation,0.0144941015,0.19946715,0.9948397,0.6846093,42.0,42.00026,113.5,81.61403
243,resource_maturation,0.017718475,0.120550945,0.9970175,0.8822358,388.0,367.98727,119.0,117.97727
244,resource_maturation,0.02222905,0.17512564,0.9955758,0.715065,632.0,594.7424,83.0,85.00125
245,resource_maturation,0.014279113,0.09983303,0.9974174,0.9092071,683.0,656.0591,133.0,150.42009
246,resource_maturation,0.012523706,0.82774216,0.99786466,-81.69254,657.0,648.5206,13.0,52.490265
247,resource_maturation,0.012784611,0.70795083,0.9973614,-71.932434,362.0,361.62286,14.5,46.70034
248,resource_maturation,0.011001811,0.7547858,0.9984603,-97.780716,413.0,405.80624,14.5,50.985466
249,resource_maturation,0.006315584,0.59440243,0.99960935,-60.42811,235.0,231.99904,18.0,49.833176
250,resource_maturation,0.010620276,1.0230566,0.9987333,-47.083183,566.0,559.67645,0.0,46.352665
251,resource_maturation,0.009828067,0.72761834,0.99863,-58.576756,88.0,87.00002,10.5,45.146797
252,resource_maturation,0.018521236,0.68938124,0.9873614,-74.51586,36.0,36.000008,10.5,39.929844
253,resource_maturation,0.021865346,0.5264453,0.98066515,-50.163013,36.0,35.99994,18.0,43.47648
254,resource_maturation,0.011542648,0.07023674,0.99655944,0.95661485,40.0,40.0012,492.0,460.99182
255,resource_maturation,0.014339708,0.076256104,0.9964449,0.9445732,45.0,45.00004,234.5,215.99734
256,resource_maturation,0.010810623,0.7028888,0.998653,-65.19749,566.0,560.5703,11.5,46.946625
257,resource_maturation,0.008206981,0.8051214,0.99938744,-56.59578,400.0,399.36047,1.5,37.41891
258,resource_maturation,0.010115344,0.6154781,0.9990427,-54.81325,423.0,421.41565,11.5,39.99673
259,resource_maturation,0.006837429,0.29965666,0.9987374,0.39542854,74.0,74.00077,789.0,401.81464
260,resource_maturation,0.005948826,0.322823,0.9992094,0.30302298,93.0,93.000465,823.5,409.07516
261,resource_maturation,0.010662206,0.46999642,0.9985489,-1.8772013,220.0,219.00006,41.0,51.792686
262,resource_maturation,0.02235772,0.49557534,0.99304056,-2.2106493,246.0,235.4001,40.5,48.860256
263,resource_maturation,0.0042634197,0.7821117,0.9997321,-78.91025,348.0,348.00003,15.0,51.919174
264,resource_maturation,0.005086156,0.20556921,0.9996712,0.5306414,267.0,267.00003,82.5,77.33491
265,resource_maturation,0.019897012,0.44501188,0.9951276,-0.38323164,23.0,23.000004,771.5,166.56055
