time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
1.003344506025314331e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.476654171943664551e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070981264114379883e-01,7.073354125022888184e-01
2.006689012050628662e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.476089715957641602e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070896029472351074e-01,7.075623273849487305e-01
3.010033369064331055e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.475528240203857422e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070811986923217773e-01,7.077874541282653809e-01
4.013378024101257324e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.474972128868103027e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070727348327636719e-01,7.080110907554626465e-01
5.016722679138183594e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.474421381950378418e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070645689964294434e-01,7.082328200340270996e-01
6.020066738128662109e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.473878383636474609e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070562243461608887e-01,7.084526419639587402e-01
7.023411393165588379e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.473335981369018555e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070480585098266602e-01,7.086710333824157715e-01
8.026756048202514648e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.472797751426696777e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070397734642028809e-01,7.088878154754638672e-01
9.030100107192993164e-01,2.236068248748779297e+00,4.472136199474334717e-01,5.472266077995300293e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070319056510925293e-01,7.091029286384582520e-01
1.003344535827636719e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.471738576889038086e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070239782333374023e-01,7.093166112899780273e-01
1.103678941726684570e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.471211671829223633e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070158720016479492e-01,7.095286250114440918e-01
1.204013347625732422e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.470695495605468750e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070080041885375977e-01,7.097391486167907715e-01
1.304347872734069824e+00,2.236068248748779297e+00,4.472136199474334717e-01,5.470178723335266113e-01,4.472136199474334717e-01,1.000000089406967163e-01,4.472136497497558594e-02,3.162277936935424805e+00,4.472136199474334717e-01,4.472136199474334717e-01,2.236068010330200195e+00,1.414213329553604126e-01,7.071065902709960938e-01,4.472136199474334717e-01,2.000000000000000000e+00,7.070001959800720215e-01,7.099480032920837402e-01
