time,loss_onestep,loss_rollout
6.000000000000000000e+01,3.050347864627838135e-01,3.050325512886047363e-01
1.200000000000000000e+02,0.000000000000000000e+00,2.994477748870849609e-01
1.800000000000000000e+02,0.000000000000000000e+00,2.940664887428283691e-01
2.400000000000000000e+02,0.000000000000000000e+00,2.888831198215484619e-01
3.000000000000000000e+02,0.000000000000000000e+00,2.838922142982482910e-01
3.600000000000000000e+02,0.000000000000000000e+00,2.790883183479309082e-01
4.200000000000000000e+02,0.000000000000000000e+00,2.744660377502441406e-01
4.800000000000000000e+02,0.000000000000000000e+00,2.700202167034149170e-01
5.400000000000000000e+02,0.000000000000000000e+00,2.657455205917358398e-01
6.000000000000000000e+02,0.000000000000000000e+00,2.616368234157562256e-01
6.600000000000000000e+02,0.000000000000000000e+00,2.576890587806701660e-01
7.200000000000000000e+02,0.000000000000000000e+00,2.538972795009613037e-01
7.800000000000000000e+02,0.000000000000000000e+00,2.502565383911132812e-01
8.400000000000000000e+02,0.000000000000000000e+00,2.467620819807052612e-01
9.000000000000000000e+02,0.000000000000000000e+00,2.434090673923492432e-01
9.600000000000000000e+02,0.000000000000000000e+00,2.401929348707199097e-01
1.020000000000000000e+03,1.920272827148437500e+00,2.157382011413574219e+00
1.080000000000000000e+03,2.988536493830906693e-07,2.154426097869873047e+00
1.140000000000000000e+03,2.988536493830906693e-07,2.151593685150146484e+00
1.200000000000000000e+03,1.117997050285339355e+00,7.930315136909484863e-01
1.260000000000000000e+03,3.107434451976587297e-07,7.904332876205444336e-01
1.320000000000000000e+03,3.107434451976587297e-07,7.879459857940673828e-01
1.380000000000000000e+03,3.107434451976587297e-07,7.855656743049621582e-01
1.440000000000000000e+03,3.107434451976587297e-07,7.832883596420288086e-01
1.500000000000000000e+03,2.605978213250637054e-02,8.344116806983947754e-01
1.560000000000000000e+03,3.196473983280156972e-07,8.323292136192321777e-01
1.620000000000000000e+03,3.196473983280156972e-07,8.303388953208923340e-01
1.680000000000000000e+03,3.196473983280156972e-07,8.284371495246887207e-01
1.740000000000000000e+03,3.196473983280156972e-07,8.266203999519348145e-01
1.800000000000000000e+03,3.196473983280156972e-07,8.248854279518127441e-01
1.860000000000000000e+03,3.196473983280156972e-07,8.232291340827941895e-01
1.920000000000000000e+03,3.196473983280156972e-07,8.216482400894165039e-01
1.980000000000000000e+03,1.001165032386779785e+00,1.342549204826354980e+00
2.040000000000000000e+03,2.245462979999501840e-07,1.341110348701477051e+00
2.100000000000000000e+03,2.245462979999501840e-07,1.339738249778747559e+00
2.160000000000000000e+03,2.092410326004028320e-01,1.837818264961242676e+00
2.220000000000000000e+03,3.326152011595695512e-07,1.836571335792541504e+00
2.280000000000000000e+03,3.326152011595695512e-07,1.835383176803588867e+00
2.340000000000000000e+03,3.326152011595695512e-07,1.834251523017883301e+00
2.400000000000000000e+03,3.326152011595695512e-07,1.833173513412475586e+00
2.460000000000000000e+03,0.000000000000000000e+00,1.764418363571166992e+00
2.520000000000000000e+03,3.268199009198724525e-07,1.763441324234008789e+00
2.580000000000000000e+03,3.268199009198724525e-07,1.762511491775512695e+00
2.640000000000000000e+03,3.268199009198724525e-07,1.761626601219177246e+00
2.700000000000000000e+03,3.268199009198724525e-07,1.760785222053527832e+00
2.760000000000000000e+03,1.025591045618057251e-01,2.392142772674560547e+00
2.820000000000000000e+03,3.196473983280156972e-07,2.391381740570068359e+00
2.880000000000000000e+03,3.196473983280156972e-07,2.390658140182495117e+00
2.940000000000000000e+03,3.196473983280156972e-07,2.389970779418945312e+00
3.000000000000000000e+03,3.196473983280156972e-07,2.389317512512207031e+00
3.060000000000000000e+03,3.196473983280156972e-07,2.388696670532226562e+00
3.120000000000000000e+03,1.171100363135337830e-01,1.887678146362304688e+00
3.180000000000000000e+03,3.373090748937102035e-07,1.887117981910705566e+00
3.240000000000000000e+03,3.373090748937102035e-07,1.886586666107177734e+00
3.300000000000000000e+03,3.373090748937102035e-07,1.886082053184509277e+00
3.360000000000000000e+03,3.373090748937102035e-07,1.885603070259094238e+00
3.420000000000000000e+03,8.804991096258163452e-02,1.478900551795959473e+00
3.480000000000000000e+03,3.414036484628013568e-07,1.478469371795654297e+00
3.540000000000000000e+03,3.414036484628013568e-07,1.478060364723205566e+00
3.600000000000000000e+03,3.414036484628013568e-07,1.477672338485717773e+00
3.660000000000000000e+03,3.414036484628013568e-07,1.477304577827453613e+00
3.720000000000000000e+03,3.414036484628013568e-07,1.476955771446228027e+00
3.780000000000000000e+03,3.414036484628013568e-07,1.476625084877014160e+00
3.840000000000000000e+03,3.414036484628013568e-07,1.476311802864074707e+00
3.900000000000000000e+03,3.414036484628013568e-07,1.476014733314514160e+00
3.960000000000000000e+03,5.117255449295043945e-02,1.476810216903686523e+00
4.020000000000000000e+03,3.107434451976587297e-07,1.476543784141540527e+00
4.080000000000000000e+03,3.107434451976587297e-07,1.476291060447692871e+00
4.140000000000000000e+03,3.107434451976587297e-07,1.476051926612854004e+00
4.200000000000000000e+03,2.927210368216037750e-02,1.756301641464233398e+00
4.260000000000000000e+03,3.373090748937102035e-07,1.756087422370910645e+00
4.320000000000000000e+03,3.373090748937102035e-07,1.755884289741516113e+00
4.380000000000000000e+03,3.373090748937102035e-07,1.755692243576049805e+00
4.440000000000000000e+03,3.373090748937102035e-07,1.755510330200195312e+00
4.500000000000000000e+03,1.292325556278228760e-02,1.638594746589660645e+00
4.560000000000000000e+03,3.414036484628013568e-07,1.638431906700134277e+00
4.620000000000000000e+03,3.414036484628013568e-07,1.638277649879455566e+00
4.680000000000000000e+03,3.414036484628013568e-07,1.638131856918334961e+00
4.740000000000000000e+03,3.414036484628013568e-07,1.637993931770324707e+00
4.800000000000000000e+03,3.414036484628013568e-07,1.637863516807556152e+00
4.860000000000000000e+03,3.414036484628013568e-07,1.637740015983581543e+00
4.920000000000000000e+03,3.414036484628013568e-07,1.637623429298400879e+00
4.980000000000000000e+03,3.414036484628013568e-07,1.637513041496276855e+00
5.040000000000000000e+03,3.414036484628013568e-07,1.637408852577209473e+00
5.100000000000000000e+03,3.414036484628013568e-07,1.637310385704040527e+00
5.160000000000000000e+03,1.005072221159934998e-01,2.494237899780273438e+00
