run,nrmse,Glc,G6P,F6P,FBP,GAP,DHAP,BPG13,PG3,PG2,PEP,Pyr,Lac,ATP,ADP,NAD,NADH,I_HK,I_PFK,I_GAPDH,I_PGK,I_ENO,I_PK
A5_unbounded_n1000,0.003114,0.001348,0.003109,0.001367,0.004551,0.004030,0.012771,0.008039,0.004432,0.002704,0.008542,0.001676,0.003612,0.001962,0.000928,0.001914,0.002653,0.000960,0.000663,0.000889,0.000342,0.001225,0.000787
A5_unbounded_n1000,0.003114,0.001348,0.003109,0.001367,0.004551,0.004030,0.012771,0.008040,0.004432,0.002704,0.008542,0.001677,0.003612,0.001962,0.000928,0.001914,0.002653,0.000960,0.000663,0.000890,0.000342,0.001225,0.000787
A7_l1reg_n1000,0.005086,0.001105,0.004048,0.001994,0.004901,0.006756,0.029939,0.009569,0.012028,0.008032,0.012647,0.003893,0.002486,0.001870,0.001091,0.002764,0.004240,0.001078,0.000763,0.000688,0.000177,0.000939,0.000888
A2_sample_theta_n1000,0.012246,0.004312,0.024517,0.009056,0.015449,0.026723,0.025594,0.018676,0.040180,0.022471,0.028977,0.010175,0.010072,0.003427,0.001947,0.006599,0.008933,0.002191,0.004599,0.001152,0.000436,0.002326,0.001606
A5_unbounded_n100,0.014519,0.002857,0.011838,0.010294,0.006551,0.017042,0.139380,0.028058,0.024148,0.012608,0.021032,0.010819,0.007318,0.003714,0.002712,0.003074,0.017194,0.000000,0.000270,0.000233,0.000000,0.000000,0.000283
A6_baseline_n100,0.019715,0.005275,0.021098,0.009832,0.029219,0.030019,0.059571,0.108616,0.018999,0.031005,0.031824,0.023607,0.018488,0.010153,0.005973,0.003176,0.023727,0.000000,0.000865,0.001983,0.000000,0.000000,0.000293
A7_l1reg_n100,0.025232,0.004868,0.030469,0.013625,0.022670,0.034156,0.110602,0.069042,0.032904,0.049654,0.095316,0.030683,0.014541,0.008989,0.005380,0.004648,0.024954,0.000000,0.000649,0.001664,0.000000,0.000000,0.000291
A2_sample_theta_n100,0.027182,0.008792,0.013827,0.013746,0.031087,0.027662,0.235386,0.047831,0.032830,0.035965,0.055600,0.026662,0.034773,0.003641,0.002232,0.006527,0.019285,0.000000,0.000504,0.001371,0.000000,0.000000,0.000285
A1_fixed_theta_n1000,0.037478,0.011513,0.129165,0.045347,0.071334,0.054046,0.148637,0.057760,0.050953,0.056655,0.090969,0.029254,0.022040,0.005913,0.003215,0.013792,0.023582,0.007582,0.000678,0.000361,0.000259,0.000670,0.000798
A5_unbounded_n10,0.041261,0.014038,0.048676,0.028458,0.055291,0.048247,0.263629,0.106108,0.055748,0.040210,0.067137,0.062081,0.044461,0.007315,0.005241,0.007408,0.048780,0.000000,0.000542,0.000000,0.000000,0.000000,0.004383
A4_neural_ode_mlp_n1000,0.056401,0.021539,0.027005,0.020816,0.070711,0.095688,0.091339,0.207850,0.067701,0.094632,0.276759,0.049116,0.050413,0.008980,0.007952,0.038237,0.048796,0.007805,0.007337,0.021161,0.013114,0.008740,0.005138
A6_baseline_n10,0.069134,0.022677,0.123584,0.037001,0.064842,0.128077,0.256596,0.255172,0.053190,0.085314,0.119119,0.089530,0.046148,0.022514,0.016129,0.022372,0.147324,0.000000,0.010737,0.000000,0.000000,0.000000,0.020622
A7_l1reg_n10,0.069363,0.019810,0.104480,0.047579,0.091870,0.143567,0.205458,0.098183,0.089464,0.138232,0.105743,0.067152,0.072765,0.026086,0.018688,0.032498,0.214006,0.000000,0.029283,0.000000,0.000000,0.000000,0.021117
A5_unbounded_n3,0.094719,0.036919,0.143300,0.113903,0.080398,0.216497,0.304330,0.046594,0.031903,0.068953,0.024818,0.088266,0.012460,0.063729,0.038415,0.020201,0.024689,0.288973,0.254172,0.012815,0.000000,0.000000,0.212492
A5_unbounded_first_last_n1000,0.103115,0.001489,0.189602,0.165385,0.167985,0.046932,0.702586,0.264013,0.157956,0.106548,0.021671,0.347135,0.024725,0.005764,0.003357,0.013052,0.022730,0.003132,0.001719,0.000764,0.019271,0.002125,0.000586
A2_sample_theta_n10,0.112326,0.022033,0.100137,0.055296,0.209878,0.173629,0.512740,0.343724,0.106071,0.129905,0.347097,0.089065,0.045942,0.012793,0.009165,0.038082,0.250786,0.000000,0.024271,0.000000,0.000000,0.000000,0.000566
A3_neural_ode_gru_n1000,0.129896,0.014162,0.060489,0.020784,0.131156,0.141684,0.168852,1.406024,0.084506,0.105651,0.397562,0.057596,0.046822,0.013031,0.008923,0.030890,0.045422,0.009900,0.022535,0.049218,0.012049,0.008422,0.022044
A6_baseline_first_last_n100,0.166743,0.012804,0.642509,0.216751,0.180973,0.239990,0.310374,0.341851,0.110966,0.214182,0.335041,0.416875,0.303869,0.055629,0.048922,0.027438,0.179758,0.000000,0.001153,0.028950,0.000000,0.000000,0.000307
A7_l1reg_first_last_n100,0.202088,0.012808,0.519056,0.265329,0.183275,0.227598,0.360781,0.382608,0.076604,0.194433,0.777045,0.569440,0.421784,0.046296,0.042455,0.045271,0.256805,0.000000,0.025654,0.038378,0.000000,0.000000,0.000304
A6_baseline_first_last_n1000,0.206141,0.005940,0.521089,0.253038,0.319254,0.416982,0.235931,1.164534,0.111924,0.296899,0.149787,0.574911,0.256942,0.032550,0.020997,0.023693,0.056123,0.003260,0.018344,0.003051,0.052302,0.016521,0.001029
A9_neural_ode_correction_n10,0.230539,0.070897,0.199073,0.045470,0.311915,0.663800,0.811590,0.669802,0.287643,0.375304,0.490846,0.105230,0.120499,0.069558,0.113215,0.109435,0.445033,0.000000,0.080646,0.000000,0.000000,0.000000,0.101906
A7_l1reg_first_last_n1000,0.236209,0.008898,0.658152,0.328940,0.319764,0.377747,0.360837,0.725386,0.223276,0.145008,0.702955,0.559234,0.395102,0.044795,0.031004,0.066474,0.118595,0.002397,0.057289,0.013511,0.046350,0.009729,0.001153
A1_fixed_theta_n100,0.254640,0.213440,0.652339,0.291624,0.287186,0.318998,0.275410,0.302918,0.436914,0.401512,0.396097,0.565849,0.429442,0.139674,0.118561,0.150606,0.425549,0.000000,0.076076,0.119652,0.000000,0.000000,0.000242
A2_sample_theta_first_last_n10,0.270239,0.058768,0.684802,0.627027,0.615047,0.375246,0.387768,0.355819,0.430027,0.494641,0.145411,0.179821,0.345088,0.041369,0.029637,0.110905,0.730339,0.000000,0.320521,0.000000,0.000000,0.000000,0.013024
A2_sample_theta_first_last_n100,0.270939,0.019816,0.897483,0.848937,0.237586,0.460923,0.709465,1.122669,0.187701,0.315816,0.201897,0.117393,0.408382,0.063627,0.057504,0.033734,0.197252,0.000000,0.031828,0.048368,0.000000,0.000000,0.000267
A6_baseline_first_last_n10,0.272740,0.033504,0.660677,0.355052,0.313624,0.193563,0.292856,0.629726,0.247673,0.141401,1.996874,0.235314,0.294457,0.072014,0.051590,0.025239,0.166200,0.000000,0.245314,0.000000,0.000000,0.000000,0.045209
A5_unbounded_first_last_n100,0.280438,0.007136,0.438312,0.405882,0.224808,0.119356,1.211548,1.090707,0.774474,0.107236,0.310240,0.520244,0.424319,0.009350,0.008086,0.093625,0.320606,0.000000,0.042474,0.060971,0.000000,0.000000,0.000256
A9_neural_ode_correction_n3,0.285049,0.134614,0.323469,0.349478,0.204674,0.565517,0.586970,0.555913,0.393959,0.384631,0.454893,0.245770,0.295800,0.227132,0.127012,0.216360,0.104299,0.537829,0.115984,0.098729,0.000000,0.000000,0.348040
A2_sample_theta_n3,0.310412,0.235271,0.392252,0.322061,0.202533,0.158478,0.321263,0.260679,0.339629,0.332687,1.312282,0.203727,0.049461,0.494318,0.297974,0.059903,0.073210,0.873766,0.144809,0.045421,0.000000,0.000000,0.709337
A1_fixed_theta_n10,0.342678,0.210492,0.984239,0.342821,0.531995,0.560937,0.409918,0.444440,0.537010,0.564528,0.478857,0.568093,0.406879,0.212769,0.152426,0.079330,0.522404,0.000000,0.306248,0.000000,0.000000,0.000000,0.225539
A1_fixed_theta_first_last_n100,0.363153,0.179879,2.071442,0.713116,0.447273,0.408516,0.421523,0.332953,0.471949,0.463495,0.392241,0.558850,0.432431,0.148745,0.121389,0.152932,0.478631,0.000000,0.085811,0.107958,0.000000,0.000000,0.000242
A6_baseline_n3,0.375393,0.292020,0.506136,0.383275,0.333958,0.308425,0.373144,0.390085,0.252809,0.233089,2.446948,0.094873,0.123095,0.284141,0.171280,0.110108,0.134568,0.903416,0.145658,0.022181,0.000000,0.000000,0.749435
A7_l1reg_first_last_n10,0.387224,0.109022,0.801231,0.525503,0.665604,0.645435,0.697934,0.975333,0.618031,0.576643,0.492118,0.568531,0.406884,0.077571,0.055572,0.120230,0.791745,0.000000,0.334215,0.000000,0.000000,0.000000,0.057330
A1_fixed_theta_first_last_n10,0.388369,0.200067,1.763128,0.550410,0.615876,0.629056,0.488361,0.347504,0.507335,0.552716,0.449435,0.566904,0.406870,0.218254,0.156356,0.072139,0.475059,0.000000,0.319105,0.000000,0.000000,0.000000,0.225539
A1_fixed_theta_n3,0.397266,0.397040,0.605029,0.454233,0.264984,0.421584,0.359258,0.552681,0.557556,0.541191,0.451570,0.425391,0.360754,0.304113,0.183318,0.207649,0.253777,0.877717,0.143295,0.661243,0.000000,0.000000,0.717475
A5_unbounded_first_last_n10,0.423220,0.018329,0.814257,0.563483,0.406493,0.337567,3.070237,1.678196,0.617766,0.153166,0.213854,0.486462,0.360233,0.021747,0.015580,0.044924,0.295838,0.000000,0.196577,0.000000,0.000000,0.000000,0.016139
A1_fixed_theta_first_last_n3,0.433702,0.394196,1.064528,0.599822,0.434257,0.387976,0.398747,0.542032,0.555389,0.540064,0.446692,0.425309,0.360752,0.332959,0.200707,0.207532,0.253634,0.877717,0.143295,0.658353,0.000000,0.000000,0.717475
