run,nrmse,Glc,HexP,TriP,BPG13,PG3,PEP,Pyr,Lac,ATP,ADP,NAD,NADH
lstm_glyc12_n10_s42,0.190916,0.060286,0.115749,0.426488,0.329974,0.292920,0.200804,0.134276,0.130501,0.112931,0.080903,0.053545,0.352611
trans_glyc12_n10_s42,0.221078,0.051343,0.068268,0.712678,1.003850,0.223398,0.186985,0.109284,0.056121,0.032635,0.023378,0.024389,0.160612
mamba_glyc12_n10_s42,0.257493,0.051421,0.045987,0.865910,1.072052,0.302046,0.227919,0.146655,0.115405,0.024981,0.017897,0.028957,0.190690
A6_baseline_n10,0.266150,0.039468,0.061269,0.805168,1.327593,0.260529,0.212403,0.124374,0.062145,0.035328,0.025309,0.031668,0.208546
slstm_glyc12_n10_s42,0.311901,0.019497,0.077248,0.997278,1.565317,0.293012,0.231731,0.121758,0.131346,0.069797,0.050002,0.024498,0.161329
lstm_glyc12_n10_fl_s42,0.319000,0.167671,0.097305,0.303189,0.355789,0.576931,0.480203,0.568080,0.406882,0.145668,0.104356,0.081991,0.539935
trans_glyc12_n10_fl_s42,0.359251,0.064173,0.267129,0.766351,1.174970,0.580526,0.295849,0.190970,0.042381,0.260232,0.186428,0.063544,0.418461
A6_baseline_first_last_n10,0.375530,0.095760,0.131045,0.646940,1.060320,0.503715,0.568666,0.377495,0.405159,0.063730,0.045656,0.080138,0.527739
mamba_glyc12_n10_fl_s42,0.454691,0.086298,0.169863,0.604230,2.652260,0.369816,0.736598,0.130110,0.345425,0.128690,0.092193,0.018564,0.122251
slstm_glyc12_n10_fl_s42,0.792690,0.049484,0.085885,0.771841,6.039381,0.237766,1.242880,0.329807,0.305063,0.131418,0.094147,0.029611,0.194994
