run,nrmse,Glc,HexP,TriP,BPG13,PG3,PEP,Pyr,Lac,ATP,ADP,NAD,NADH
trans_glyc12_n3_s42,0.221580,0.053164,0.258090,0.252142,1.055306,0.086807,0.039275,0.222664,0.220605,0.201533,0.121484,0.066553,0.081338
mamba_glyc12_n3_s42,0.249103,0.065039,0.114269,0.644661,0.709241,0.123205,0.124814,0.265883,0.256656,0.169689,0.102288,0.186080,0.227417
A6_baseline_first_last_n3,0.308900,0.054512,0.446807,0.989879,0.452343,0.395571,0.113071,0.109329,0.357478,0.091552,0.055188,0.288491,0.352577
mamba_glyc12_n3_fl_s42,0.332655,0.070435,0.319304,0.587192,0.555498,0.551307,0.454011,0.423503,0.360738,0.359433,0.216665,0.042198,0.051573
slstm_glyc12_n3_s42,0.337886,0.081502,0.161409,0.611962,1.836959,0.331163,0.287751,0.199277,0.110264,0.079215,0.047751,0.138326,0.169054
slstm_glyc12_n3_fl_s42,0.347005,0.060143,0.843355,0.460144,0.478098,0.543725,0.416952,0.374996,0.360649,0.314515,0.189589,0.054856,0.067042
lstm_glyc12_n3_s42,0.371026,0.097715,0.744390,0.588555,0.518344,0.506851,0.449162,0.424097,0.351471,0.393027,0.236916,0.063804,0.077977
lstm_glyc12_n3_fl_s42,0.384483,0.094499,0.763959,0.596398,0.556836,0.551447,0.454799,0.424668,0.360753,0.386566,0.233021,0.085889,0.104969
trans_glyc12_n3_fl_s42,0.396077,0.078392,0.709684,0.437623,1.503492,0.513922,0.130780,0.243476,0.358430,0.112292,0.067689,0.268722,0.328417
A6_baseline_n3,0.609922,0.108947,0.366133,1.947866,2.748515,0.594158,0.166177,0.236830,0.145961,0.211232,0.127330,0.299670,0.366240
