run,nrmse,Glc,HexP,TriP,BPG13,PG3,PEP,Pyr,Lac,ATP,ADP,NAD,NADH
A6_baseline_n1000,0.064514,0.016367,0.016590,0.128445,0.263989,0.062058,0.130357,0.047767,0.037353,0.008129,0.005482,0.019924,0.037702
A7_l1reg_n1000,0.068017,0.013042,0.014529,0.136332,0.267490,0.065293,0.197579,0.031292,0.024095,0.010554,0.006586,0.015589,0.033824
A5_unbounded_n1000,0.077070,0.017836,0.018515,0.180849,0.295185,0.076557,0.172027,0.044560,0.035335,0.008708,0.005729,0.026903,0.042634
A4_neural_ode_mlp_n1000,0.116028,0.029811,0.044027,0.176146,0.356765,0.138254,0.275195,0.087284,0.103238,0.018113,0.015680,0.057953,0.089876
A3_neural_ode_gru_n1000,0.122761,0.030594,0.044557,0.179163,0.517095,0.132632,0.245098,0.080884,0.084946,0.017432,0.012713,0.046346,0.081676
A6_baseline_n100,0.131684,0.044088,0.045232,0.319061,0.518282,0.133799,0.136228,0.085520,0.103519,0.025474,0.017168,0.031768,0.120064
A7_l1reg_n100,0.147636,0.048453,0.049370,0.313590,0.552418,0.137323,0.242886,0.094301,0.112481,0.029142,0.019975,0.035864,0.135830
A9_neural_ode_correction_n1000,0.149471,0.026657,0.038515,0.175195,0.548013,0.126723,0.542696,0.089418,0.077948,0.019951,0.012234,0.051949,0.084352
A2_sample_theta_n100,0.151164,0.052336,0.057659,0.335134,0.614149,0.113599,0.172419,0.118394,0.083621,0.041751,0.023724,0.047110,0.154066
A9_neural_ode_correction_n100,0.151969,0.032008,0.038028,0.160428,0.534009,0.129378,0.469625,0.077833,0.100809,0.038935,0.040930,0.041231,0.160409
A3_neural_ode_gru_n100,0.156582,0.056427,0.081827,0.206833,0.274751,0.163515,0.442432,0.128399,0.132772,0.035418,0.038237,0.049863,0.268506
A1_fixed_theta_n1000,0.159911,0.047326,0.058732,0.365126,0.614421,0.175306,0.205686,0.097803,0.075122,0.039061,0.026103,0.077779,0.136473
A5_unbounded_n100,0.161458,0.036409,0.038005,0.375241,0.718732,0.126812,0.233845,0.066660,0.094842,0.030349,0.018109,0.037028,0.161470
A2_sample_theta_n1000,0.162463,0.045420,0.056175,0.405876,0.609400,0.183029,0.221803,0.090404,0.068573,0.033830,0.023742,0.077216,0.134088
A4_neural_ode_mlp_n100,0.187889,0.065923,0.057143,0.266455,0.530893,0.243100,0.348516,0.128270,0.196875,0.032079,0.048610,0.066170,0.270635
A2_sample_theta_n10,0.210927,0.040292,0.116670,0.401568,0.935085,0.062357,0.301066,0.115648,0.178482,0.067419,0.048299,0.034835,0.229397
A5_unbounded_n3,0.215182,0.052799,0.247924,0.286396,1.012143,0.279540,0.384654,0.052101,0.014857,0.045683,0.027538,0.080349,0.098198
A5_unbounded_first_last_n1000,0.248769,0.005741,0.126073,0.975891,1.221049,0.071255,0.219993,0.176934,0.116920,0.021437,0.012916,0.013115,0.023905
A4_neural_ode_mlp_n3,0.252424,0.192880,0.159584,0.368465,0.211885,0.276802,0.387156,0.343340,0.296844,0.298859,0.206075,0.178539,0.108656
A2_sample_theta_n3,0.252919,0.071181,0.225021,0.685493,0.752595,0.329517,0.274938,0.190675,0.151360,0.056435,0.034019,0.118709,0.145080
A7_l1reg_n3,0.259328,0.065496,0.141968,0.503093,1.020953,0.108124,0.198299,0.252582,0.234844,0.132969,0.080153,0.168061,0.205395
