run,nrmse,Glc,SugarP,PEP,Pyr,Lac,ATP,NAD,NADH
mamba_glyc8_n10_s42,0.108045,0.040692,0.048175,0.191739,0.254817,0.071579,0.037862,0.028937,0.190560
slstm_glyc8_n10_s42,0.110823,0.029888,0.045729,0.157478,0.308004,0.123511,0.041888,0.023742,0.156347
A6_baseline_n10,0.112370,0.033271,0.054090,0.120583,0.324868,0.111978,0.052746,0.026554,0.174867
trans_glyc8_n10_s42,0.113765,0.030679,0.043636,0.214660,0.270573,0.078848,0.040278,0.030512,0.200933
lstm_glyc8_n10_s42,0.131800,0.033728,0.056011,0.117873,0.371378,0.209486,0.059238,0.027248,0.179438
lstm_glyc8_n10_fl_s42,0.299907,0.050304,0.160130,0.268466,1.041623,0.075900,0.246463,0.073348,0.483024
mamba_glyc8_n10_fl_s42,0.386995,0.032886,0.243806,0.667078,0.865200,0.471259,0.316992,0.065751,0.432986
A6_baseline_first_last_n10,0.485378,0.027329,0.232561,1.770173,0.957485,0.040943,0.225111,0.082979,0.546440
trans_glyc8_n10_fl_s42,0.537477,0.034387,0.300989,1.366658,0.406595,1.458178,0.415243,0.041893,0.275877
slstm_glyc8_n10_fl_s42,0.703994,0.030034,0.217411,3.701267,0.921585,0.075114,0.184408,0.066199,0.435939
