run,nrmse,Base,Mod,Am,MOF_C
trans_mof4_n10_s42,0.125924,0.011978,0.085957,0.188052,0.217708
lstm_mof4_n10_s42,0.151374,0.020944,0.132258,0.145870,0.306424
mamba_mof4_n10_s42,0.152006,0.032276,0.073469,0.141113,0.361168
A6_baseline_n10,0.154532,0.017920,0.161536,0.143748,0.294924
slstm_mof4_n10_s42,0.154944,0.015559,0.125519,0.150125,0.328575
slstm_mof4_n10_fl_s42,0.413848,0.024153,0.423943,0.857571,0.349723
A6_baseline_first_last_n10,0.539616,0.029871,0.488626,1.338972,0.300993
trans_mof4_n10_fl_s42,0.584581,0.077075,0.469189,1.539884,0.252176
lstm_mof4_n10_fl_s42,0.680749,0.088146,0.502650,1.863505,0.268693
mamba_mof4_n10_fl_s42,0.692935,0.076563,0.536877,1.833256,0.325045
