run,nrmse,Base,Mod,SBU,Am,Nuc_C,MOF_C
slstm_mof6_n100_s42,0.056146,0.035112,0.088768,0.077503,0.060007,0.038742,0.036743
A6_baseline_n100,0.056629,0.030197,0.088768,0.078551,0.057220,0.045657,0.039379
A6_baseline_n100_s42,0.056629,0.030197,0.088768,0.078551,0.057220,0.045657,0.039379
lstm_mof6_n100_s42,0.057716,0.034603,0.088768,0.078774,0.066790,0.040187,0.037177
trans_mof6_n100_s42,0.060007,0.032737,0.088768,0.076406,0.072947,0.045525,0.043658
mamba_mof6_n100_s42,0.065124,0.044193,0.088768,0.083358,0.084207,0.044215,0.046004
lstm_mof6_n100_fl_s42,0.115715,0.021482,0.088768,0.095671,0.342021,0.089211,0.057136
A6_baseline_first_last_n100,0.121045,0.023697,0.088768,0.096530,0.254812,0.229719,0.032742
A6_baseline_fl_n100_s42,0.121045,0.023697,0.088768,0.096530,0.254812,0.229719,0.032742
trans_mof6_n100_fl_s42,0.128736,0.030862,0.088768,0.060768,0.133556,0.434008,0.024452
slstm_mof6_n100_fl_s42,0.175529,0.027631,0.088768,0.166639,0.629505,0.088336,0.052296
mamba_mof6_n100_fl_s42,0.177585,0.043881,0.088768,0.138856,0.295185,0.415193,0.083630
