run,nrmse,Base,Mod,SBU,Am,Nuc_C,MOF_C
A6_baseline_n1000,0.039220,0.017793,0.067844,0.032882,0.047846,0.033213,0.035741
A6_baseline_n100,0.056629,0.030197,0.088768,0.078551,0.057220,0.045657,0.039379
A7_l1reg_n100,0.056896,0.044379,0.088768,0.066488,0.062419,0.037858,0.041467
A6_baseline_n10,0.066936,0.025436,0.097044,0.071505,0.104683,0.034982,0.067968
A7_l1reg_n1000,0.073696,0.026872,0.067844,0.069096,0.195200,0.039217,0.043947
A7_l1reg_n10,0.075247,0.056701,0.097044,0.067162,0.087139,0.036195,0.107238
A9_neural_ode_correction_n100,0.076336,0.073436,0.056511,0.078047,0.072264,0.103265,0.074493
A5_unbounded_n10,0.078923,0.046637,0.097044,0.041619,0.093811,0.121832,0.072597
A2_sample_theta_n100,0.093616,0.084059,0.088768,0.068039,0.150697,0.090338,0.079792
A1_fixed_theta_n100,0.109199,0.090640,0.088768,0.102535,0.133737,0.112046,0.127467
A2_sample_theta_n3,0.110566,0.059561,0.079466,0.086251,0.198492,0.106926,0.132701
A6_baseline_first_last_n100,0.121045,0.023697,0.088768,0.096530,0.254812,0.229719,0.032742
A5_unbounded_n1000,0.125702,0.019555,0.067844,0.033135,0.080349,0.513019,0.040311
A7_l1reg_first_last_n100,0.129777,0.028708,0.088768,0.087498,0.185231,0.331464,0.056995
A6_baseline_first_last_n10,0.129876,0.006971,0.097044,0.117915,0.251445,0.212352,0.093527
A5_unbounded_first_last_n10,0.132064,0.039422,0.097044,0.134171,0.364943,0.088388,0.068414
A1_fixed_theta_first_last_n100,0.132553,0.088183,0.088768,0.176234,0.153345,0.159511,0.129276
A9_neural_ode_correction_n10,0.140245,0.074162,0.087901,0.137269,0.091983,0.341937,0.108217
A7_l1reg_first_last_n10,0.143954,0.023978,0.097044,0.127269,0.320577,0.240031,0.054827
A6_baseline_first_last_n1000,0.154166,0.013514,0.067844,0.132789,0.503985,0.184387,0.022475
A2_sample_theta_n10,0.154263,0.093882,0.097044,0.157213,0.179422,0.183269,0.214745
A6_baseline_n3,0.156076,0.062765,0.079466,0.097914,0.211258,0.187859,0.297192
A2_sample_theta_first_last_n10,0.172208,0.120534,0.097044,0.274018,0.106628,0.288084,0.146943
A3_neural_ode_gru_n10,0.181334,0.048068,0.138289,0.236545,0.125793,0.343767,0.195544
A4_neural_ode_mlp_n10,0.182187,0.063319,0.058139,0.236545,0.158545,0.336298,0.240274
A2_sample_theta_first_last_n100,0.191331,0.080423,0.088768,0.196847,0.625575,0.073615,0.082757
A5_unbounded_n3,0.195589,0.060034,0.079466,0.093722,0.275869,0.192042,0.472399
A2_sample_theta_first_last_n1000,0.213476,0.066988,0.067844,0.188801,0.772679,0.097157,0.087384
A5_unbounded_first_last_n1000,0.222753,0.014283,0.067844,0.092394,0.549653,0.586360,0.025985
A1_fixed_theta_first_last_n3,0.229140,0.035278,0.079466,0.132765,0.294157,0.271207,0.561964
A1_fixed_theta_n1000,0.235503,0.073060,0.067844,0.068782,0.981599,0.106265,0.115465
A1_fixed_theta_first_last_n10,0.239880,0.091609,0.097044,0.168025,0.189058,0.384166,0.509377
A1_fixed_theta_n3,0.240453,0.035350,0.079466,0.121191,0.297555,0.296701,0.612452
A2_sample_theta_n1000,0.246330,0.072181,0.067844,0.069034,1.039884,0.110398,0.118636
A7_l1reg_n3,0.249704,0.045891,0.079466,0.124994,0.293125,0.688630,0.266117
A1_fixed_theta_n10,0.255146,0.086469,0.097044,0.107870,0.158210,0.542982,0.538298
A5_unbounded_first_last_n3,0.264066,0.094474,0.079466,0.085510,0.064170,0.592627,0.668149
A2_sample_theta_first_last_n3,0.264728,0.058792,0.079466,0.174849,0.460448,0.348343,0.466469
A7_l1reg_first_last_n3,0.272595,0.036923,0.079466,0.094985,0.340465,0.428530,0.655202
A9_neural_ode_correction_first_last_n10,0.309485,0.073907,0.533268,0.135553,0.347960,0.638238,0.127981
A9_neural_ode_correction_n3,0.316913,0.040150,0.060870,0.125491,0.322047,0.537809,0.815112
A9_neural_ode_correction_first_last_n3,0.327786,0.040170,0.072181,0.124639,0.323635,0.553479,0.852612
A6_baseline_first_last_n3,0.337749,0.058015,0.079466,0.131593,0.462641,0.539434,0.755342
A1_fixed_theta_first_last_n1000,0.353416,0.067989,0.067844,0.171768,1.630834,0.086650,0.095411
A3_neural_ode_gru_n3,0.392714,0.063210,0.235390,0.165955,0.697573,0.531154,0.663003
A4_neural_ode_mlp_n3,0.408207,0.081103,0.315359,0.165955,0.692668,0.531154,0.663003
A7_l1reg_first_last_n1000,0.459485,0.017241,0.067844,0.074964,1.385371,1.163810,0.047679
A5_unbounded_n100,0.536996,0.034594,0.088768,0.081183,1.238477,1.738540,0.040417
A3_neural_ode_gru_first_last_n10,1.173093,0.175209,5.221722,0.236545,0.500478,0.638238,0.266369
A3_neural_ode_gru_first_last_n3,1.540377,0.057021,0.718789,0.165955,0.697573,6.939918,0.663003
A4_neural_ode_mlp_first_last_n3,5.558993,0.150075,0.074993,0.165955,0.427893,31.872037,0.663003
A5_unbounded_first_last_n100,8.914882,0.020295,0.088768,0.067137,2.054438,51.210181,0.048474
A4_neural_ode_mlp_first_last_n10,16.192851,0.188917,4.902421,0.236545,1.816857,89.701084,0.311282
A9_neural_ode_correction_first_last_n100,11490.732564,0.067593,0.365695,0.130473,68943.296087,0.417135,0.118402
A9_neural_ode_correction_n1000,14089.438564,2645.550879,81890.746316,0.057959,0.072934,0.100980,0.102316
A3_neural_ode_gru_n1000,17381.917730,0.017743,98939.561920,995.726716,452.525364,2295.729211,1607.945424
A4_neural_ode_mlp_n1000,51625.010707,0.026130,266145.958161,0.055684,0.153831,43603.693467,0.176971
A4_neural_ode_mlp_n100,192637.673946,0.049293,0.100958,402731.953707,239291.974909,513801.775200,0.189611
A3_neural_ode_gru_n100,194820.602529,0.031704,0.102497,245014.969024,221140.016997,689960.093033,12808.401922
A9_neural_ode_correction_first_last_n1000,469046.977956,1854.301894,1595321.108383,0.141846,1215312.850412,1669.494171,123.971031
A4_neural_ode_mlp_first_last_n1000,5582320.735437,0.049398,23152476.378615,20926.917276,550462.074175,9465072.169597,304986.823562
A3_neural_ode_gru_first_last_n1000,7407684.459121,0.015366,15088825.640036,1.892947,15927543.739934,13429678.071784,57.394661
A3_neural_ode_gru_first_last_n100,16289763.658773,0.067749,6.604791,0.169684,96276315.337625,0.417135,1462259.355654
A4_neural_ode_mlp_first_last_n100,34937229.687222,21.272981,4.535850,0.169700,48995763.119152,157720493.895959,2907095.129688
