run,nrmse,Base,Mod,SBU,SBU_capped,Nuc_A,Am,Nuc_C,MOF_C
A6_baseline_n1000,0.014759,0.014911,0.002292,0.024023,0.029043,0.015299,0.009941,0.012674,0.009889
A7_l1reg_n1000,0.019523,0.025728,0.003194,0.034579,0.027715,0.015443,0.012313,0.013865,0.023349
A6_baseline_n100,0.020900,0.029264,0.006354,0.039996,0.032907,0.017552,0.007948,0.019440,0.013736
A7_l1reg_n100,0.029405,0.041344,0.006899,0.035484,0.031584,0.018738,0.018712,0.041445,0.041033
A6_baseline_first_last_n1000,0.042114,0.013040,0.009951,0.068241,0.094997,0.049874,0.066822,0.022752,0.011231
A6_baseline_n10,0.052345,0.027629,0.020691,0.045765,0.066594,0.055866,0.040340,0.055506,0.106365
A6_baseline_first_last_n100,0.070314,0.028862,0.017808,0.086631,0.096250,0.107437,0.157112,0.052852,0.015563
A5_unbounded_n1000,0.073987,0.016824,0.003005,0.030022,0.025938,0.147550,0.011911,0.343128,0.013514
A5_unbounded_first_last_n1000,0.092718,0.013418,0.009664,0.058527,0.083027,0.129211,0.056458,0.379933,0.011508
A2_sample_theta_n100,0.093809,0.079794,0.019088,0.067808,0.097490,0.084263,0.134973,0.136380,0.130675
A1_fixed_theta_n1000,0.095039,0.069579,0.013943,0.061436,0.111078,0.091438,0.121900,0.141610,0.149326
A2_sample_theta_n1000,0.095159,0.064216,0.013059,0.068244,0.113942,0.086732,0.124290,0.151064,0.139722
A7_l1reg_n10,0.113991,0.104081,0.050075,0.073579,0.161164,0.134033,0.112265,0.217256,0.059472
A5_unbounded_n10,0.117671,0.094831,0.016548,0.097702,0.053261,0.120870,0.060701,0.230590,0.266867
A2_sample_theta_n10,0.130032,0.083495,0.049645,0.071838,0.159780,0.160231,0.185503,0.135609,0.194153
A1_fixed_theta_first_last_n1000,0.149857,0.067541,0.021564,0.165308,0.261252,0.119374,0.440163,0.061162,0.062490
A6_baseline_first_last_n10,0.150906,0.006270,0.040217,0.102073,0.129437,0.210458,0.374507,0.221904,0.122385
A5_unbounded_first_last_n10,0.151986,0.033533,0.030665,0.138618,0.098696,0.272553,0.473421,0.092618,0.075787
A7_l1reg_first_last_n10,0.156363,0.014791,0.044467,0.097036,0.143116,0.239949,0.429742,0.229411,0.052392
A2_sample_theta_first_last_n10,0.159751,0.099668,0.070375,0.237437,0.226498,0.251862,0.123882,0.111476,0.156808
A1_fixed_theta_n100,0.159928,0.091008,0.046487,0.072241,0.173347,0.169514,0.159388,0.254746,0.312692
A1_fixed_theta_first_last_n100,0.168117,0.088420,0.048369,0.174630,0.181559,0.279933,0.240416,0.174230,0.157379
A7_l1reg_first_last_n100,0.169941,0.028860,0.034514,0.077696,0.141613,0.143886,0.214667,0.679379,0.038913
A9_neural_ode_correction_n10,0.172743,0.074205,0.090137,0.120525,0.230539,0.241107,0.124638,0.358173,0.142624
A5_unbounded_n3,0.200240,0.089946,0.042535,0.062164,0.243387,0.215299,0.215443,0.291254,0.441894
A2_sample_theta_first_last_n1000,0.201968,0.066936,0.062561,0.172855,0.444558,0.267949,0.486740,0.060440,0.053702
A6_baseline_n3,0.215045,0.051348,0.063716,0.115707,0.364586,0.092916,0.341799,0.238334,0.451952
A4_neural_ode_mlp_n10,0.215567,0.052780,0.102620,0.159064,0.263750,0.260006,0.097676,0.364372,0.424269
A2_sample_theta_first_last_n100,0.216244,0.081004,0.096692,0.185248,0.420325,0.229584,0.598129,0.080580,0.038389
A2_sample_theta_first_last_n3,0.239595,0.059468,0.030291,0.109866,0.173326,0.216194,0.648987,0.289328,0.389304
A3_neural_ode_gru_n10,0.246127,0.075018,0.161398,0.236545,0.280642,0.465271,0.244068,0.418606,0.087467
A2_sample_theta_n3,0.249207,0.052683,0.089917,0.133106,0.514512,0.111833,0.214195,0.288841,0.588564
A7_l1reg_first_last_n1000,0.250131,0.017593,0.016496,0.048260,0.088446,0.083458,0.175349,1.540376,0.031073
A1_fixed_theta_first_last_n10,0.258557,0.092202,0.057824,0.158962,0.186105,0.258062,0.419344,0.385932,0.510025
A1_fixed_theta_n10,0.264863,0.088125,0.056942,0.104778,0.183265,0.216267,0.342036,0.586706,0.540782
A6_baseline_first_last_n3,0.264913,0.059075,0.024952,0.131296,0.142778,0.186750,0.564705,0.394826,0.614925
A5_unbounded_first_last_n3,0.268271,0.100870,0.068074,0.078628,0.389525,0.251212,0.146125,0.477444,0.634289
A1_fixed_theta_first_last_n3,0.272445,0.035278,0.063241,0.115320,0.361868,0.203026,0.529800,0.285711,0.585315
A7_l1reg_first_last_n3,0.288829,0.036048,0.044179,0.094076,0.252798,0.199962,0.592005,0.436359,0.655202
A1_fixed_theta_n3,0.300071,0.048874,0.101316,0.087269,0.579738,0.172839,0.405926,0.362167,0.642440
A7_l1reg_n3,0.303475,0.036961,0.164329,0.122631,0.940306,0.148361,0.114888,0.604847,0.295479
A9_neural_ode_correction_first_last_n10,0.331656,0.065248,0.486859,0.193759,0.307175,0.624049,0.453237,0.402390,0.120534
A9_neural_ode_correction_n3,0.345775,0.040281,0.118429,0.105020,0.778426,0.273475,0.218148,0.491630,0.740789
A3_neural_ode_gru_n3,0.370447,0.068289,0.092208,0.165955,0.454713,0.290679,0.697573,0.531154,0.663003
A4_neural_ode_mlp_n3,0.388362,0.065147,0.239993,0.167136,0.454713,0.290679,0.697544,0.531154,0.660528
A9_neural_ode_correction_first_last_n3,0.408612,0.040111,0.144348,0.124924,0.814405,0.229212,0.605484,0.517674,0.792734
A5_unbounded_n100,0.859836,0.036011,0.007722,0.042866,0.036935,3.253700,0.017506,3.454066,0.029882
A5_unbounded_first_last_n100,1.495616,0.029225,0.041223,0.054757,0.160235,2.565707,0.187821,8.895689,0.030269
A3_neural_ode_gru_first_last_n10,3.087054,0.074643,0.807288,0.236545,0.312333,0.451089,0.504732,22.087964,0.221835
A4_neural_ode_mlp_first_last_n3,3.183252,0.126110,0.444186,9.954323,0.908023,0.290679,0.497789,12.581903,0.663003
A3_neural_ode_gru_first_last_n3,3.368876,0.062959,0.763133,0.165955,0.454713,0.660861,0.697573,23.482813,0.663003
A4_neural_ode_mlp_first_last_n10,10.428650,0.174833,5.029432,26.538728,10.400430,13.855090,0.500832,26.536478,0.393376
A3_neural_ode_gru_n1000,2953.642617,0.016305,16184.621831,931.244424,4984.566803,874.503024,0.091669,450.761080,203.335799
A9_neural_ode_correction_n1000,10222.170548,0.027087,15164.356867,0.048497,66612.682068,0.042475,0.049137,0.048118,0.110138
A4_neural_ode_mlp_n1000,10651.106627,0.022963,34841.655426,0.042859,50194.514431,0.066649,0.119413,172.295541,0.135733
A9_neural_ode_correction_n100,44815.699439,58312.023419,0.039174,0.066667,300213.126308,0.100408,0.067558,0.094602,0.077381
A3_neural_ode_gru_n100,76484.175931,0.039221,0.111525,69074.025868,516902.907653,11757.668223,4651.748946,845.735527,8641.170485
A9_neural_ode_correction_first_last_n100,171818.769949,0.060731,0.269678,33921.077729,1339410.641278,0.432817,0.235757,0.415672,1217.025930
A4_neural_ode_mlp_n100,435320.526422,0.060468,0.096200,80860.720635,1646227.674720,1080574.214252,468384.471651,17072.708456,189444.264995
A9_neural_ode_correction_first_last_n1000,1066573.999158,0.017748,1281238.612090,0.203693,7021167.163776,205268.263552,4978.860498,19938.746632,0.125276
A4_neural_ode_mlp_first_last_n1000,18618675.579031,2487.653318,27669725.221746,45038999.201971,45711051.629105,15764945.331319,2160.518890,13605653.935613,1154381.140286
A3_neural_ode_gru_first_last_n1000,25526101.147641,0.015907,908077.171927,0.180377,61745111.387057,0.323131,0.534737,141550849.637266,4769.930726
A4_neural_ode_mlp_first_last_n100,43496004.274465,0.081642,6.523769,178716392.548242,43989697.839195,67013635.989550,0.382556,56568415.889375,1679884.941390
A3_neural_ode_gru_first_last_n100,115254410.177275,0.087908,0.582147,0.169700,0.332470,0.302110,0.382556,918639420.137491,3395859.423815
