run,nrmse,Base,Mod,SBU,SBU_capped,Nuc_A,Am,Nuc_C,MOF_C
A6_baseline_n1000,0.011378,0.014109,0.001821,0.022539,0.012077,0.015381,0.005200,0.012080,0.007816
A5_unbounded_n1000,0.015370,0.016126,0.002522,0.031277,0.016098,0.019007,0.011507,0.013216,0.013209
A7_l1reg_n1000,0.017511,0.024237,0.003200,0.034756,0.018324,0.014656,0.007241,0.013540,0.024137
A6_baseline_n100,0.018623,0.019765,0.006062,0.041407,0.023382,0.019450,0.008094,0.017300,0.013522
A5_unbounded_n100,0.025587,0.021015,0.008811,0.044656,0.031202,0.033775,0.018209,0.029513,0.017514
A7_l1reg_n100,0.025910,0.026948,0.007861,0.041399,0.026095,0.021378,0.015489,0.034374,0.033734
A6_baseline_first_last_n1000,0.035239,0.012096,0.007546,0.071163,0.053892,0.046268,0.063038,0.018653,0.009253
A5_unbounded_first_last_n1000,0.042723,0.013269,0.006270,0.062500,0.037856,0.109673,0.040480,0.064195,0.007540
A9_neural_ode_correction_n1000,0.045063,0.027494,0.012734,0.047459,0.098194,0.033212,0.034711,0.042173,0.064530
A6_baseline_n10,0.052345,0.027629,0.020691,0.045765,0.066594,0.055866,0.040340,0.055506,0.106365
A3_neural_ode_gru_n1000,0.054354,0.015198,0.018980,0.025913,0.130607,0.024908,0.044637,0.055762,0.118829
A6_baseline_first_last_n100,0.060454,0.007862,0.014282,0.109829,0.047588,0.134432,0.114048,0.044991,0.010600
A7_l1reg_first_last_n1000,0.066654,0.017959,0.011516,0.049069,0.079299,0.063618,0.165716,0.124263,0.021788
A4_neural_ode_mlp_n1000,0.066801,0.018508,0.023354,0.031947,0.144648,0.050348,0.095977,0.063426,0.106197
A2_sample_theta_n100,0.072094,0.048554,0.020967,0.078521,0.063207,0.100361,0.063640,0.121157,0.080348
A9_neural_ode_correction_n100,0.078400,0.063807,0.041075,0.073315,0.121598,0.106461,0.047195,0.094371,0.079382
A2_sample_theta_n1000,0.082112,0.056751,0.010471,0.068514,0.059625,0.087609,0.114443,0.138766,0.120717
A1_fixed_theta_n1000,0.084409,0.065966,0.010116,0.061399,0.067676,0.091059,0.110656,0.140113,0.128285
A7_l1reg_first_last_n100,0.091949,0.019019,0.041255,0.097502,0.151694,0.190814,0.166432,0.048035,0.020843
A5_unbounded_first_last_n100,0.110700,0.020678,0.039230,0.067738,0.182331,0.248675,0.105141,0.198721,0.023087
A7_l1reg_n10,0.113991,0.104081,0.050075,0.073579,0.161164,0.134033,0.112265,0.217256,0.059472
A1_fixed_theta_first_last_n1000,0.116800,0.062473,0.016370,0.171997,0.111195,0.109352,0.350800,0.057351,0.054859
