run,nrmse,A,B,C,D
A6_baseline_first_last_n1000,0.003815,0.003292,0.004417,0.003775,0.003775
A5_unbounded_n1000,0.003828,0.003268,0.004461,0.003792,0.003792
A6_baseline_n1000,0.003857,0.003301,0.004490,0.003819,0.003819
A6_baseline_n100,0.004984,0.004632,0.005034,0.005136,0.005136
A6_baseline_first_last_n100,0.005003,0.004588,0.005201,0.005111,0.005111
A5_unbounded_first_last_n100,0.006260,0.005771,0.006422,0.006423,0.006423
A4_neural_ode_mlp_n1000,0.006320,0.004816,0.005643,0.007181,0.007639
A7_l1reg_n1000,0.006909,0.006029,0.007389,0.007110,0.007110
A7_l1reg_first_last_n1000,0.007478,0.006352,0.008195,0.007683,0.007683
A7_l1reg_n100,0.009272,0.008126,0.009997,0.009483,0.009483
A7_l1reg_first_last_n100,0.009454,0.008162,0.010380,0.009638,0.009638
A3_neural_ode_gru_n1000,0.010648,0.006225,0.008502,0.013306,0.014559
A5_unbounded_n100,0.014908,0.013435,0.015670,0.015264,0.015264
A5_unbounded_first_last_n10,0.024158,0.008303,0.035779,0.026276,0.026276
A2_sample_theta_n10,0.028085,0.009653,0.041595,0.030547,0.030547
A2_sample_theta_first_last_n10,0.028340,0.009740,0.041972,0.030824,0.030824
A1_fixed_theta_n10,0.030206,0.010381,0.044736,0.032854,0.032854
A6_baseline_first_last_n3,0.030256,0.011190,0.050703,0.029566,0.029566
A2_sample_theta_n3,0.030447,0.011260,0.051022,0.029752,0.029752
A6_baseline_n3,0.030709,0.011357,0.051461,0.030008,0.030008
A1_fixed_theta_first_last_n10,0.030781,0.010579,0.045587,0.033478,0.033478
A9_neural_ode_correction_n10,0.031016,0.011242,0.043667,0.034604,0.034550
A2_sample_theta_first_last_n3,0.031050,0.011484,0.052033,0.030341,0.030341
A1_fixed_theta_n3,0.031191,0.011536,0.052269,0.030479,0.030479
A1_fixed_theta_first_last_n3,0.031191,0.011536,0.052269,0.030479,0.030479
A3_neural_ode_gru_n100,0.031445,0.017081,0.030409,0.034588,0.043702
A5_unbounded_n10,0.032308,0.011104,0.047848,0.035139,0.035139
A9_neural_ode_correction_n100,0.034669,0.029512,0.038760,0.035192,0.035211
A2_sample_theta_n100,0.036111,0.030881,0.040297,0.036633,0.036633
A2_sample_theta_first_last_n100,0.036379,0.030856,0.041189,0.036735,0.036735
A1_fixed_theta_n100,0.036446,0.031437,0.040204,0.037072,0.037072
A1_fixed_theta_first_last_n100,0.036665,0.031414,0.040960,0.037144,0.037144
A5_unbounded_first_last_n3,0.037255,0.013779,0.062432,0.036405,0.036405
A7_l1reg_first_last_n3,0.037573,0.013896,0.062964,0.036716,0.036716
A7_l1reg_n3,0.038150,0.014110,0.063931,0.037280,0.037280
A9_neural_ode_correction_n3,0.039122,0.026638,0.056323,0.036893,0.036634
A7_l1reg_n10,0.041453,0.014247,0.061392,0.045086,0.045086
A1_fixed_theta_first_last_n1000,0.041583,0.037850,0.043652,0.042415,0.042415
A1_fixed_theta_n1000,0.041814,0.038060,0.043912,0.042642,0.042642
A4_neural_ode_mlp_n100,0.041842,0.023897,0.037037,0.042605,0.063828
A5_unbounded_n3,0.046121,0.017058,0.077289,0.045069,0.045069
A9_neural_ode_correction_first_last_n10,0.050033,0.014361,0.048650,0.099338,0.037785
A7_l1reg_first_last_n10,0.060213,0.020694,0.089177,0.065491,0.065491
A6_baseline_first_last_n10,0.060297,0.020723,0.089301,0.065582,0.065582
A9_neural_ode_correction_first_last_n3,0.067187,0.055840,0.068250,0.040976,0.103682
A6_baseline_n10,0.074143,0.025482,0.109807,0.080641,0.080641
A9_neural_ode_correction_first_last_n1000,0.085681,0.038465,0.054213,0.199066,0.050982
A9_neural_ode_correction_first_last_n100,0.103134,0.027286,0.054824,0.297084,0.033342
A3_neural_ode_gru_n10,0.138995,0.127759,0.110928,0.162204,0.155089
A4_neural_ode_mlp_n10,0.184246,0.101390,0.109649,0.242172,0.283775
A4_neural_ode_mlp_first_last_n10,0.192932,0.028264,0.213562,0.254164,0.275740
A3_neural_ode_gru_first_last_n1000,0.256628,0.014543,0.294177,0.695829,0.021962
A4_neural_ode_mlp_first_last_n100,0.264913,0.080935,0.236022,0.609070,0.133624
A4_neural_ode_mlp_first_last_n3,0.278543,0.096678,0.562948,0.287277,0.167269
A4_neural_ode_mlp_first_last_n1000,0.290816,0.071697,0.321334,0.654213,0.116021
A3_neural_ode_gru_first_last_n100,0.305452,0.039483,0.400238,0.679824,0.102264
A3_neural_ode_gru_first_last_n10,0.477885,0.021778,0.334493,1.464562,0.090707
A4_neural_ode_mlp_n3,0.508741,0.326669,0.712665,0.621511,0.374120
A3_neural_ode_gru_first_last_n3,0.519990,0.220115,0.316634,0.443338,1.099870
A3_neural_ode_gru_n3,0.733096,0.241604,0.297750,1.147226,1.245803
A2_sample_theta_n1000,1072057.501334,1068360.688985,1070910.402007,1074479.457172,1074479.457172
A5_unbounded_first_last_n1000,1072057.501334,1068360.688985,1070910.402007,1074479.457172,1074479.457172
A9_neural_ode_correction_n1000,1072057.501334,1068360.688985,1070910.402007,1074479.457172,1074479.457172
A2_sample_theta_first_last_n1000,1072057.501334,1068360.688985,1070910.402007,1074479.457172,1074479.457172
