run,nrmse,A,B,C,D
A6_baseline_first_last_n1000,0.003239,0.002801,0.003583,0.003286,0.003286
A6_baseline_n1000,0.003301,0.002745,0.003636,0.003412,0.003412
A5_unbounded_n1000,0.003339,0.002839,0.003589,0.003464,0.003464
A6_baseline_n100,0.004391,0.004349,0.004018,0.004599,0.004599
A6_baseline_first_last_n100,0.004421,0.004364,0.004174,0.004574,0.004574
A4_neural_ode_mlp_n1000,0.005384,0.004005,0.004881,0.006277,0.006374
A5_unbounded_first_last_n100,0.005745,0.005643,0.004622,0.006357,0.006357
A7_l1reg_n1000,0.006318,0.005223,0.006200,0.006924,0.006924
A7_l1reg_first_last_n1000,0.006810,0.006031,0.006924,0.007143,0.007143
A3_neural_ode_gru_n1000,0.008211,0.005985,0.006676,0.009794,0.010390
A7_l1reg_first_last_n100,0.008490,0.008801,0.007613,0.008772,0.008772
A7_l1reg_n100,0.008515,0.008886,0.007858,0.008659,0.008659
A5_unbounded_n100,0.014521,0.012736,0.013076,0.016136,0.016136
A3_neural_ode_gru_n100,0.019759,0.015005,0.018081,0.022500,0.023450
A5_unbounded_first_last_n10,0.024158,0.008303,0.035779,0.026276,0.026276
A4_neural_ode_mlp_n100,0.027543,0.024505,0.019236,0.026073,0.040356
A2_sample_theta_n10,0.028085,0.009653,0.041595,0.030547,0.030547
A2_sample_theta_first_last_n10,0.028340,0.009740,0.041972,0.030824,0.030824
A1_fixed_theta_n10,0.030206,0.010381,0.044736,0.032854,0.032854
A6_baseline_first_last_n3,0.030256,0.011190,0.050703,0.029566,0.029566
A2_sample_theta_n3,0.030447,0.011260,0.051022,0.029752,0.029752
A6_baseline_n3,0.030709,0.011357,0.051461,0.030008,0.030008
A1_fixed_theta_first_last_n10,0.030781,0.010579,0.045587,0.033478,0.033478
A9_neural_ode_correction_n10,0.031016,0.011242,0.043667,0.034604,0.034550
A2_sample_theta_first_last_n3,0.031050,0.011484,0.052033,0.030341,0.030341
A1_fixed_theta_n3,0.031191,0.011536,0.052269,0.030479,0.030479
A1_fixed_theta_first_last_n3,0.031191,0.011536,0.052269,0.030479,0.030479
A5_unbounded_n10,0.032308,0.011104,0.047848,0.035139,0.035139
A9_neural_ode_correction_n100,0.032911,0.029944,0.035404,0.033136,0.033160
A2_sample_theta_n100,0.033824,0.030068,0.036299,0.034464,0.034464
A2_sample_theta_first_last_n100,0.034765,0.031175,0.037691,0.035096,0.035096
A1_fixed_theta_first_last_n100,0.035181,0.031410,0.037896,0.035709,0.035709
A1_fixed_theta_n100,0.035967,0.033011,0.036487,0.037186,0.037186
A5_unbounded_first_last_n3,0.037255,0.013779,0.062432,0.036405,0.036405
A7_l1reg_first_last_n3,0.037573,0.013896,0.062964,0.036716,0.036716
A7_l1reg_n3,0.038150,0.014110,0.063931,0.037280,0.037280
A9_neural_ode_correction_n3,0.039122,0.026638,0.056323,0.036893,0.036634
A1_fixed_theta_first_last_n1000,0.040873,0.039030,0.042530,0.040967,0.040967
A1_fixed_theta_n1000,0.041162,0.039372,0.042765,0.041255,0.041255
A7_l1reg_n10,0.041453,0.014247,0.061392,0.045086,0.045086
A5_unbounded_n3,0.046121,0.017058,0.077289,0.045069,0.045069
A9_neural_ode_correction_first_last_n10,0.050033,0.014361,0.048650,0.099338,0.037785
A7_l1reg_first_last_n10,0.060213,0.020694,0.089177,0.065491,0.065491
A6_baseline_first_last_n10,0.060297,0.020723,0.089301,0.065582,0.065582
A9_neural_ode_correction_first_last_n1000,0.062626,0.039579,0.054708,0.109157,0.047059
A9_neural_ode_correction_first_last_n3,0.067187,0.055840,0.068250,0.040976,0.103682
A6_baseline_n10,0.074143,0.025482,0.109807,0.080641,0.080641
A9_neural_ode_correction_first_last_n100,0.093759,0.026738,0.044867,0.269049,0.034384
A3_neural_ode_gru_n10,0.138995,0.127759,0.110928,0.162204,0.155089
A4_neural_ode_mlp_n10,0.184246,0.101390,0.109649,0.242172,0.283775
A4_neural_ode_mlp_first_last_n10,0.192932,0.028264,0.213562,0.254164,0.275740
A3_neural_ode_gru_first_last_n1000,0.232255,0.011062,0.248886,0.655914,0.013157
A4_neural_ode_mlp_first_last_n100,0.237347,0.072860,0.254792,0.511424,0.110312
A3_neural_ode_gru_first_last_n100,0.252647,0.037969,0.324925,0.573546,0.074149
A4_neural_ode_mlp_first_last_n1000,0.262585,0.058478,0.294981,0.604929,0.091950
A4_neural_ode_mlp_first_last_n3,0.278543,0.096678,0.562948,0.287277,0.167269
A3_neural_ode_gru_first_last_n10,0.477885,0.021778,0.334493,1.464562,0.090707
A4_neural_ode_mlp_n3,0.508741,0.326669,0.712665,0.621511,0.374120
A3_neural_ode_gru_first_last_n3,0.519990,0.220115,0.316634,0.443338,1.099870
A3_neural_ode_gru_n3,0.733096,0.241604,0.297750,1.147226,1.245803
A2_sample_theta_n1000,1045862.402355,1049838.960121,1040466.991664,1046571.828817,1046571.828817
A5_unbounded_first_last_n1000,1045862.402355,1049838.960121,1040466.991664,1046571.828817,1046571.828817
A9_neural_ode_correction_n1000,1045862.402355,1049838.960121,1040466.991664,1046571.828817,1046571.828817
A2_sample_theta_first_last_n1000,1045862.402355,1049838.960121,1040466.991664,1046571.828817,1046571.828817
