run,nrmse,A,B,C,D,E,I
A2_sample_theta_n10,0.001724,0.000889,0.003830,0.002812,0.002812,0.000000,0.000000
A2_sample_theta_first_last_n10,0.002122,0.001094,0.004714,0.003462,0.003462,0.000000,0.000000
A6_baseline_n1000,0.002466,0.003186,0.004328,0.003641,0.003641,0.000000,0.000000
A5_unbounded_n1000,0.002483,0.003212,0.004335,0.003676,0.003676,0.000000,0.000000
A6_baseline_first_last_n1000,0.002523,0.003257,0.004408,0.003737,0.003737,0.000000,0.000000
A5_unbounded_first_last_n1000,0.002540,0.003254,0.004450,0.003767,0.003767,0.000000,0.000000
A6_baseline_n100,0.002566,0.003372,0.004328,0.003849,0.003849,0.000000,0.000000
A6_baseline_first_last_n100,0.002620,0.003434,0.004417,0.003935,0.003935,0.000000,0.000000
A2_sample_theta_n100,0.003024,0.003907,0.005093,0.004572,0.004572,0.000000,0.000000
A2_sample_theta_first_last_n100,0.003117,0.003922,0.005343,0.004719,0.004719,0.000000,0.000000
A2_sample_theta_first_last_n1000,0.003501,0.004684,0.005741,0.005292,0.005292,0.000000,0.000000
A2_sample_theta_n1000,0.003533,0.004739,0.005776,0.005341,0.005341,0.000000,0.000000
A7_l1reg_first_last_n100,0.003901,0.005577,0.005968,0.005930,0.005930,0.000000,0.000000
A5_unbounded_n100,0.004137,0.005918,0.005938,0.006483,0.006483,0.000000,0.000000
A5_unbounded_first_last_n100,0.004694,0.006636,0.006778,0.007376,0.007376,0.000000,0.000000
A7_l1reg_n1000,0.004730,0.006321,0.007676,0.007193,0.007193,0.000000,0.000000
A5_unbounded_first_last_n10,0.005194,0.002678,0.011539,0.008474,0.008474,0.000000,0.000000
A7_l1reg_first_last_n1000,0.005221,0.006466,0.008800,0.008031,0.008031,0.000000,0.000000
A5_unbounded_n10,0.005228,0.002695,0.011614,0.008529,0.008529,0.000000,0.000000
A6_baseline_n10,0.006977,0.003597,0.015499,0.011382,0.011382,0.000000,0.000000
A1_fixed_theta_n1000,0.007059,0.009262,0.011017,0.011039,0.011039,0.000000,0.000000
A7_l1reg_n3,0.007314,0.004057,0.018384,0.010720,0.010720,0.000000,0.000000
A1_fixed_theta_first_last_n1000,0.008099,0.010466,0.012712,0.012709,0.012709,0.000000,0.000000
A7_l1reg_n100,0.008321,0.011888,0.012853,0.012591,0.012591,0.000000,0.000000
A2_sample_theta_first_last_n3,0.008761,0.004860,0.022023,0.012842,0.012842,0.000000,0.000000
A6_baseline_first_last_n10,0.009051,0.004666,0.020106,0.014766,0.014766,0.000000,0.000000
A2_sample_theta_n3,0.009098,0.005047,0.022869,0.013335,0.013335,0.000000,0.000000
A7_l1reg_first_last_n3,0.009587,0.005319,0.024099,0.014053,0.014053,0.000000,0.000000
A7_l1reg_first_last_n10,0.009609,0.004954,0.021346,0.015676,0.015676,0.000000,0.000000
A7_l1reg_n10,0.010205,0.005261,0.022670,0.016649,0.016649,0.000000,0.000000
A5_unbounded_n3,0.010677,0.005923,0.026837,0.015649,0.015649,0.000000,0.000000
A5_unbounded_first_last_n3,0.011611,0.006441,0.029186,0.017019,0.017019,0.000000,0.000000
A6_baseline_first_last_n3,0.012354,0.006853,0.031053,0.018108,0.018108,0.000000,0.000000
A6_baseline_n3,0.013068,0.007249,0.032848,0.019154,0.019154,0.000000,0.000000
A1_fixed_theta_n100,0.014233,0.019734,0.021699,0.021982,0.021982,0.000000,0.000000
A1_fixed_theta_first_last_n100,0.014339,0.019834,0.021942,0.022130,0.022130,0.000000,0.000000
A1_fixed_theta_n10,0.014436,0.007442,0.032070,0.023552,0.023552,0.000000,0.000000
A1_fixed_theta_n3,0.019488,0.010812,0.048987,0.028566,0.028566,0.000000,0.000000
A1_fixed_theta_first_last_n3,0.020388,0.011311,0.051249,0.029884,0.029884,0.000000,0.000000
A1_fixed_theta_first_last_n10,0.020885,0.010767,0.046396,0.034073,0.034073,0.000000,0.000000
A9_neural_ode_correction_n1000,13162.733411,0.004418,0.005588,0.005008,0.005030,78976.380420,0.000000
A4_neural_ode_mlp_n1000,69125.706069,0.005406,0.006555,0.008686,0.009130,414754.206639,0.000000
A9_neural_ode_correction_n100,104718.088116,0.011557,0.010890,0.013098,0.013162,628308.479992,0.000000
A3_neural_ode_gru_n1000,157866.227473,0.010138,0.010686,0.015149,0.009545,947197.319318,0.000000
A9_neural_ode_correction_n10,244830.097938,0.011966,0.044933,0.025400,0.025352,1468980.479979,0.000000
A4_neural_ode_mlp_n100,409963.908753,0.024491,0.036600,0.025716,0.029633,2459783.336075,0.000000
A3_neural_ode_gru_n100,615591.922851,0.027380,0.027318,0.077291,0.079264,3693551.325849,0.000000
A4_neural_ode_mlp_n10,1013168.361029,0.063932,0.093700,0.252038,0.228545,6079009.527956,0.000000
A3_neural_ode_gru_n10,1857419.196864,0.088273,0.112466,0.169764,0.211136,11144514.599546,0.000000
A9_neural_ode_correction_n3,2970457.113058,0.081749,0.098282,0.169444,0.212045,17822742.116829,0.000000
A3_neural_ode_gru_n3,4294803.616293,0.227118,0.152750,1.471915,1.617225,25768818.228753,0.000000
A4_neural_ode_mlp_n3,7181353.377490,0.314783,1.166110,0.816167,0.778976,40826971.659959,2261145.528942
A9_neural_ode_correction_first_last_n3,7698655.150333,0.004124,0.034588,0.140575,0.101388,46191930.621321,0.000000
A4_neural_ode_mlp_first_last_n3,14324582.673484,0.423779,0.865722,0.576205,0.267810,85947493.907389,0.000000
A9_neural_ode_correction_first_last_n1000,15312768.459796,0.004224,0.006511,0.067232,0.076885,91876610.603925,0.000000
A3_neural_ode_gru_first_last_n100,16063512.808162,0.076604,0.768569,0.711292,1.188703,96381074.103804,0.000000
A4_neural_ode_mlp_first_last_n100,18888731.337824,0.192401,0.549511,0.413576,0.710262,113332386.161192,0.000000
A9_neural_ode_correction_first_last_n100,20865388.305798,0.006847,0.013370,0.185748,0.153024,125192329.475797,0.000000
A3_neural_ode_gru_first_last_n1000,22136619.984233,0.017455,0.370774,0.694444,0.694203,132819718.128521,0.000000
A9_neural_ode_correction_first_last_n10,24156053.391359,0.002673,0.016333,0.063459,0.072849,144936320.192841,0.000000
A4_neural_ode_mlp_first_last_n1000,27025627.662574,0.173596,0.250106,0.359459,0.695273,162153764.497012,0.000000
A4_neural_ode_mlp_first_last_n10,49868860.251533,0.206753,0.411168,0.748149,0.733052,299213159.410077,0.000000
A3_neural_ode_gru_first_last_n3,54304203.820159,0.402768,0.187620,0.591167,0.498951,325825221.240449,0.000000
A3_neural_ode_gru_first_last_n10,66364937.698957,0.029484,0.430119,0.748149,0.747790,398189624.238199,0.000000
