run,nrmse,A,B,C,D,E,I
A2_sample_theta_n10,0.001724,0.000889,0.003830,0.002812,0.002812,0.000000,0.000000
A6_baseline_n1000,0.002067,0.002602,0.003376,0.003212,0.003212,0.000000,0.000000
A5_unbounded_n1000,0.002093,0.002623,0.003510,0.003214,0.003214,0.000000,0.000000
A2_sample_theta_first_last_n10,0.002122,0.001094,0.004714,0.003462,0.003462,0.000000,0.000000
A6_baseline_first_last_n1000,0.002125,0.002676,0.003527,0.003272,0.003272,0.000000,0.000000
A5_unbounded_first_last_n1000,0.002130,0.002647,0.003597,0.003269,0.003269,0.000000,0.000000
A6_baseline_first_last_n100,0.002259,0.002950,0.004046,0.003280,0.003280,0.000000,0.000000
A6_baseline_n100,0.002342,0.003097,0.004028,0.003465,0.003465,0.000000,0.000000
A2_sample_theta_n100,0.002597,0.003503,0.004159,0.003961,0.003961,0.000000,0.000000
A2_sample_theta_first_last_n100,0.002700,0.003197,0.004692,0.004155,0.004155,0.000000,0.000000
A2_sample_theta_first_last_n1000,0.003056,0.004237,0.004773,0.004663,0.004663,0.000000,0.000000
A2_sample_theta_n1000,0.003183,0.004176,0.004963,0.004978,0.004978,0.000000,0.000000
A7_l1reg_first_last_n100,0.003616,0.004680,0.005666,0.005676,0.005676,0.000000,0.000000
A5_unbounded_n100,0.003812,0.006007,0.005784,0.005539,0.005539,0.000000,0.000000
A7_l1reg_n1000,0.004028,0.005207,0.006184,0.006387,0.006387,0.000000,0.000000
A5_unbounded_first_last_n100,0.004143,0.006578,0.006571,0.005856,0.005856,0.000000,0.000000
A7_l1reg_first_last_n1000,0.004577,0.005589,0.007463,0.007204,0.007204,0.000000,0.000000
A5_unbounded_first_last_n10,0.005194,0.002678,0.011539,0.008474,0.008474,0.000000,0.000000
A5_unbounded_n10,0.005228,0.002695,0.011614,0.008529,0.008529,0.000000,0.000000
A1_fixed_theta_n1000,0.006515,0.009043,0.010264,0.009892,0.009892,0.000000,0.000000
A6_baseline_n10,0.006977,0.003597,0.015499,0.011382,0.011382,0.000000,0.000000
A7_l1reg_n3,0.007314,0.004057,0.018384,0.010720,0.010720,0.000000,0.000000
A1_fixed_theta_first_last_n1000,0.007333,0.009748,0.011610,0.011321,0.011321,0.000000,0.000000
A7_l1reg_n100,0.007863,0.009160,0.013846,0.012087,0.012087,0.000000,0.000000
A2_sample_theta_first_last_n3,0.008761,0.004860,0.022023,0.012842,0.012842,0.000000,0.000000
A6_baseline_first_last_n10,0.009051,0.004666,0.020106,0.014766,0.014766,0.000000,0.000000
A2_sample_theta_n3,0.009098,0.005047,0.022869,0.013335,0.013335,0.000000,0.000000
A7_l1reg_first_last_n3,0.009587,0.005319,0.024099,0.014053,0.014053,0.000000,0.000000
A7_l1reg_first_last_n10,0.009609,0.004954,0.021346,0.015676,0.015676,0.000000,0.000000
A7_l1reg_n10,0.010205,0.005261,0.022670,0.016649,0.016649,0.000000,0.000000
A5_unbounded_n3,0.010677,0.005923,0.026837,0.015649,0.015649,0.000000,0.000000
A5_unbounded_first_last_n3,0.011611,0.006441,0.029186,0.017019,0.017019,0.000000,0.000000
A6_baseline_first_last_n3,0.012354,0.006853,0.031053,0.018108,0.018108,0.000000,0.000000
A6_baseline_n3,0.013068,0.007249,0.032848,0.019154,0.019154,0.000000,0.000000
A1_fixed_theta_n100,0.013384,0.017563,0.019415,0.021662,0.021662,0.000000,0.000000
A1_fixed_theta_first_last_n100,0.013545,0.017706,0.019481,0.022043,0.022043,0.000000,0.000000
A1_fixed_theta_n10,0.014436,0.007442,0.032070,0.023552,0.023552,0.000000,0.000000
A1_fixed_theta_n3,0.019488,0.010812,0.048987,0.028566,0.028566,0.000000,0.000000
