run,nrmse,A,C
A5_unbounded_n1000,0.012044,0.010225,0.013863
A6_baseline_n1000,0.014908,0.011983,0.017834
A7_l1reg_n1000,0.015582,0.013437,0.017727
A8_l2reg_n1000,0.015893,0.013104,0.018681
A3_neural_ode_gru_n1000,0.020473,0.015470,0.025476
A7_l1reg_n100,0.043730,0.041232,0.046227
A7_l1reg_first_last_n100,0.043730,0.041232,0.046227
A6_baseline_n100,0.046183,0.042637,0.049728
A6_baseline_first_last_n100,0.046183,0.042637,0.049728
A5_unbounded_n100,0.054833,0.050267,0.059398
A5_unbounded_first_last_n100,0.054833,0.050267,0.059398
A5_unbounded_n10,0.079999,0.038418,0.121580
A5_unbounded_first_last_n10,0.079999,0.038418,0.121580
A3_neural_ode_gru_n100,0.082642,0.070699,0.094586
A3_neural_ode_gru_first_last_n100,0.082642,0.070699,0.094586
A9_neural_ode_correction_n10,0.083092,0.031797,0.134387
A9_neural_ode_correction_first_last_n10,0.083092,0.031797,0.134387
A3_neural_ode_gru_n10,0.103359,0.046825,0.159893
A3_neural_ode_gru_first_last_n10,0.103359,0.046825,0.159893
A4_neural_ode_mlp_n10,0.116311,0.085229,0.147394
A4_neural_ode_mlp_first_last_n10,0.116311,0.085229,0.147394
A7_l1reg_n10,0.147670,0.070916,0.224424
A7_l1reg_first_last_n10,0.147670,0.070916,0.224424
A6_baseline_n10,0.148040,0.071094,0.224986
A6_baseline_first_last_n10,0.148040,0.071094,0.224986
A9_neural_ode_correction_n100,0.176669,0.145581,0.207756
A9_neural_ode_correction_first_last_n100,0.176669,0.145581,0.207756
A2_sample_theta_n10,0.180382,0.086625,0.274138
A2_sample_theta_first_last_n10,0.180382,0.086625,0.274138
A4_neural_ode_mlp_n100,0.181380,0.147511,0.215248
A4_neural_ode_mlp_first_last_n100,0.181380,0.147511,0.215248
A1_fixed_theta_n100,0.240918,0.233820,0.248016
A1_fixed_theta_first_last_n100,0.240918,0.233820,0.248016
A2_sample_theta_n100,0.265733,0.261513,0.269953
A2_sample_theta_first_last_n100,0.265733,0.261513,0.269953
A9_neural_ode_correction_n1000,0.304596,0.215215,0.393977
A4_neural_ode_mlp_n1000,0.318870,0.227419,0.410321
A1_fixed_theta_n10,0.347841,0.167044,0.528638
A1_fixed_theta_first_last_n10,0.347841,0.167044,0.528638
A1_fixed_theta_first_last_n1000,0.413236,0.260829,0.565644
A1_fixed_theta_n1000,0.413236,0.260829,0.565644
A2_sample_theta_first_last_n1000,0.421584,0.258676,0.584493
A2_sample_theta_n1000,0.421584,0.258676,0.584493
A9_neural_ode_correction_n3,0.423692,0.245313,0.602071
A9_neural_ode_correction_first_last_n3,0.423692,0.245313,0.602071
A1_fixed_theta_n3,0.465938,0.255859,0.676018
A1_fixed_theta_first_last_n3,0.465938,0.255859,0.676018
A2_sample_theta_n3,0.500366,0.274764,0.725968
A2_sample_theta_first_last_n3,0.500366,0.274764,0.725968
A7_l1reg_n3,0.525749,0.288702,0.762796
A7_l1reg_first_last_n3,0.525749,0.288702,0.762796
A6_baseline_n3,0.525764,0.288710,0.762818
A6_baseline_first_last_n3,0.525764,0.288710,0.762818
A5_unbounded_n3,0.606146,0.332850,0.879442
A5_unbounded_first_last_n3,0.606146,0.332850,0.879442
A4_neural_ode_mlp_n3,0.728794,0.390467,1.067122
A4_neural_ode_mlp_first_last_n3,0.728794,0.390467,1.067122
A3_neural_ode_gru_n3,0.776008,0.394116,1.157900
A3_neural_ode_gru_first_last_n3,0.776008,0.394116,1.157900
