run,n,r2_protein_final,r2_mrna_max
lr_super,64,-0.166179,-0.253729
dropout_super,64,-0.195767,0.010835
tf_lr_dropout_super,64,-0.203260,-0.463194
supervisor_combined_no_bounds_widen,64,-0.203260,-0.463194
arch_head_bottle,64,-0.220931,0.030420
arch_supervisor_full,64,-0.224553,-6.600753
bs128_ep600,64,-0.337075,0.050380
arch_lift_skip,64,-0.344222,-0.119066
supervisor_pure_2000ep,64,-0.353700,-0.228900
tf_super,64,-0.374813,-0.030415
bs200_ep1000_lr_sqrt,64,-0.396700,-0.028200
bounds_widen_both,64,-0.415783,-0.131870
o_plus_bounds_both,64,-0.415783,-0.131870
arch_gamma_linear,64,-0.430800,-0.055800
bs200_ep1000_cosine,64,-0.478600,-0.218800
bounds_widen_vtl,64,-0.483370,-0.143553
bounds_widen_vtx,64,-0.487568,-0.146509
lr_dropout_super,64,-0.499331,0.058400
bs64_ep400,64,-0.512801,-0.108217
bs64_ep1000,64,-0.512801,-0.108217
anchor_b5_bs200_ep400,64,-0.534257,-0.154938
plus_o_term_low,64,-0.534257,-0.154938
plus_o_term_mid,64,-0.534257,-0.154938
plus_o_term_high,64,-0.534257,-0.154938
ep1000,64,-0.534257,-0.154938
hybrid_best_x_super_2000ep,64,-0.537000,-0.131800
supervisor_combined_full,64,-0.537011,-0.132147
arch_supervisor_full_2000ep,64,-0.570993,-0.058387
