run,nrmse,R,O,m,mm,p,pm,DNA,r2_pm_final,r2_mm_max
A1_old_native_plain_seed2,2510180.305046,61717225.336650,68828474.469270,296379584.041387,5020359.443887,22910909414.157253,1.166205,216069565.508829,0.680618,0.375926
A1_old_native_plain_seed3,4333826.717685,66107185.854872,65137898.014184,230309273.569251,8667652.609781,20551275558.283928,0.825590,216069565.508829,0.604131,0.501451
A1_old_native_drecipe_seed2,4761972.834660,61465068.448573,64574984.600968,397080431.961134,9523944.610735,20865096258.007465,1.058585,216069565.508829,0.687622,0.554631
A1_old_native_plain_seed1,6113247.133415,66671745.046014,68703290.320590,193232793.243887,12226493.480501,16740036550.863062,0.786328,216069565.508829,0.423501,0.355639
A1_old_native_drecipe_seed3,12718518.016728,67824203.592422,66184023.599375,201679316.062496,25437034.728036,22055852797.953506,1.305421,216069565.508829,0.067548,-0.193343
A1_old_native_drecipe_seed1,21278725.949506,64240148.913475,74895626.320068,180795790.800799,42557450.511572,18482022576.413307,1.387440,216069565.508829,0.125982,-0.211363
A2_old_interp_drecipe_seed3,138387485.787413,57813741.597004,41054775.727073,221681257.948578,5623014.509608,13368316107.935061,271151957.065218,205757198.457548,0.457384,0.234128
A2_old_interp_plain_seed2,174086562.486565,54643352.302860,39980270.499274,211480492.754834,6997280.099049,15975717547.371563,341175844.874080,205757198.457548,0.337749,0.225184
A2_old_interp_plain_seed3,186190410.366816,55221967.126269,39262797.669343,187432007.497996,2714877.104322,13445245441.734457,369665943.629311,205757198.457548,0.283822,0.229844
A2_old_interp_drecipe_seed1,218049191.487467,56270621.559435,43720118.559243,225950066.217750,8643887.261161,12492607764.314451,427454495.713774,205757198.457548,0.296929,0.200208
A2_old_interp_plain_seed1,228323456.455366,54865595.509205,43501324.053739,204220588.089690,3124006.332417,12674310420.039986,453522906.578315,205757198.457548,0.278653,0.270512
A2_old_interp_drecipe_seed2,243146500.519161,57952153.147898,41818042.336316,212811301.706838,9015629.657496,14523577051.038649,477277371.380827,205757198.457548,0.442058,0.112396
A3_old_plus_new_real_plain_seed3,365627342.901483,60032033.227875,37820128.346197,272936171.456056,6275250.140862,9013790250.452696,724979435.662103,154002914.584232,-0.035048,-0.304479
A3_old_plus_new_real_drecipe_seed2,487312181.645915,59574267.719926,36177851.179674,264770298.396196,14749883.999692,10628565546.557203,959874479.292138,154002914.584232,-0.373387,-0.492884
A3_old_plus_new_real_drecipe_seed1,498905920.193171,66024523.260554,39414337.493307,172266226.317262,11357097.825262,12936684966.971249,986454742.561080,154002914.584232,0.002836,0.079801
A3_old_plus_new_real_plain_seed1,780686092.741290,63717116.163936,37409360.476886,264817775.424118,8097735.461370,16265941995.729591,1553274450.021210,154002914.584232,-0.009490,0.041172
A3_old_plus_new_real_drecipe_seed3,794715844.194275,67304431.211168,37390390.641679,230164897.741660,22990122.673875,15110151036.611506,1566441565.714675,154002914.584232,0.053454,-0.383858
A3_old_plus_new_real_plain_seed2,898851421.269868,60968459.041734,35464180.968879,313061335.590101,8950511.903510,14686388178.703901,1788752330.636227,154002914.584232,-0.173469,-0.419607
