run,nrmse,R,O,m,mm,p,pm,DNA,r2_pm_final,r2_mm_max
A1_old_native_plain_seed3,0.226928,65443740.562984,70403778.083539,164439114.136462,0.215031,12318648291.072399,0.238824,216134144.777904,0.604131,0.501451
A2_old_interp_drecipe_seed2,0.242929,58641486.248904,43262859.420912,177443409.240241,0.167561,10621696085.734890,0.318296,205391006.636674,0.442058,0.112396
A2_old_interp_plain_seed3,0.246671,52170342.110897,41531674.647639,169248068.343138,0.155239,10948609672.788826,0.338102,205391006.636674,0.283822,0.229844
A2_old_interp_plain_seed1,0.247918,55452145.801492,44873584.819199,193883219.528687,0.173420,8290394677.222491,0.322416,205391006.636674,0.278653,0.270512
A2_old_interp_drecipe_seed3,0.252480,56159280.296164,42597180.425809,187742122.341307,0.180778,9483946730.590302,0.324183,205391006.636674,0.457384,0.234128
A1_old_native_plain_seed2,0.265370,60092337.040239,72729623.906223,172762069.356016,0.216137,16466854626.944429,0.314603,216134144.777904,0.680618,0.375926
A1_old_native_plain_seed1,0.269084,66906771.472962,74180640.899405,152530429.873632,0.217954,13271668119.891424,0.320213,216134144.777904,0.423501,0.355639
A2_old_interp_drecipe_seed1,0.275618,57612920.399025,44936442.696896,193226803.171927,0.175678,8655939934.489319,0.375558,205391006.636674,0.296929,0.200208
A1_old_native_drecipe_seed2,0.281458,62571601.454856,68115780.198719,205243900.126554,0.207094,15230866856.496325,0.355822,216134144.777904,0.687622,0.554631
A2_old_interp_plain_seed2,0.287933,54057467.064637,43064198.044054,186549006.882060,0.192952,11358391998.122910,0.382914,205391006.636674,0.337749,0.225184
A3_old_plus_new_real_drecipe_seed3,0.292272,64056948.659042,41555338.648978,180811070.566463,0.226238,12131418881.024429,0.358305,203646763.103784,0.053454,-0.383858
A1_old_native_drecipe_seed3,0.316991,68772479.681074,68629424.854653,187535869.011725,0.241181,20737235291.150139,0.392800,216134144.777904,0.067548,-0.193343
A1_old_native_drecipe_seed1,0.355431,64332600.151405,74531430.787791,183329453.849738,0.285216,18969895069.187950,0.425646,216134144.777904,0.125982,-0.211363
A3_old_plus_new_real_drecipe_seed2,0.383648,50934654.199989,42143095.429294,196198325.502549,0.305807,6790710245.924902,0.461488,203646763.103784,-0.373387,-0.492884
A3_old_plus_new_real_plain_seed2,0.390630,54813591.367524,35232231.891238,245036773.118366,0.298562,10283356408.403793,0.482697,203646763.103784,-0.173469,-0.419607
A3_old_plus_new_real_plain_seed1,0.412062,62307753.084632,38375352.862097,221021138.049598,0.385782,13177720991.837162,0.438342,203646763.103784,-0.009490,0.041172
A3_old_plus_new_real_drecipe_seed1,0.414907,62275903.972828,40814264.073958,156582470.095245,0.357138,9599957693.615707,0.472676,203646763.103784,0.002836,0.079801
A3_old_plus_new_real_plain_seed3,0.419102,56548115.620996,38418016.484811,203901676.688937,0.293139,7614035137.499762,0.545066,203646763.103784,-0.035048,-0.304479
