sample_idx,os_mm,ro_mm,os_pm,ro_pm
0,0.009490,0.004368,0.006029,0.413401
1,0.028415,0.020239,0.004314,0.560588
2,0.027584,0.020424,0.003506,0.524600
3,0.031924,0.020365,0.003955,0.482130
4,0.025419,0.013925,0.004159,0.495935
5,0.037657,0.025806,0.005009,0.503821
6,0.032946,0.021306,0.005252,0.478725
7,0.032792,0.019072,0.003888,0.469781
8,0.009958,0.018280,0.076271,1.709323
9,0.012749,0.006785,0.013097,0.261214
10,0.011896,0.007723,0.004689,0.333220
11,0.010544,0.005041,0.018137,0.187921
12,0.013093,0.006659,0.023796,0.193720
13,0.012812,0.007263,0.025867,0.212442
14,0.021745,0.009099,0.006619,0.481667
15,0.022038,0.010305,0.006381,0.483914
16,0.019187,0.011232,0.005599,0.557291
17,0.027374,0.016890,0.008412,0.465182
18,0.021660,0.012127,0.008130,0.449718
19,0.018530,0.012800,0.004824,0.478428
20,0.017378,0.009393,0.004692,0.478136
21,0.010597,0.005531,0.007995,0.397596
22,0.010262,0.004289,0.006689,0.377699
23,0.010372,0.005342,0.006568,0.396991
24,0.013911,0.007700,0.033495,0.216719
25,0.014230,0.017586,nan,nan
26,0.015476,0.008496,0.079475,0.132884
27,0.026368,0.016915,0.015323,0.171364
28,0.027566,0.017018,0.031704,0.230840
29,0.026734,0.019081,0.022733,0.211434
30,0.020651,0.011937,0.028289,0.351092
31,0.012788,0.006304,0.096515,0.205026
32,0.011492,0.005385,0.083031,0.228801
33,0.020456,0.036875,0.048491,0.279734
34,0.019752,0.011076,0.006360,0.441467
35,0.020339,0.012864,0.087314,0.230609
36,0.011123,0.020527,nan,nan
37,0.010707,0.009737,0.075987,0.142016
38,0.029068,0.016272,0.004680,0.283811
39,0.024764,0.013396,0.007993,0.431335
40,0.028614,0.019158,0.014148,0.236755
41,0.011141,0.006110,0.017576,0.467831
42,0.011330,0.006558,0.012715,0.240624
43,0.026978,0.018603,0.019736,0.199694
44,0.023259,0.013949,0.019441,0.289935
45,0.022745,0.014501,0.008812,0.230624
46,0.023072,0.013234,0.009985,0.250491
47,0.015625,0.008802,0.046538,0.219903
48,0.023661,0.019412,0.006243,0.412980
49,0.027094,0.018295,0.005377,0.468567
50,0.023129,0.014454,0.006183,0.456923
51,0.039341,0.025621,0.006653,0.436677
52,0.042149,0.025459,0.006545,0.500240
53,0.018362,0.013482,0.005380,0.440941
