run,nrmse,R,O,m,mm,p,pm,DNA,r2_pm_final,r2_mm_max
I1_y0_theta_init_seed3,2116431.664670,36206450.769248,48891266.832269,919104532.091911,3738669.379934,37103590859.485497,494193.949406,0.000000,0.320850,0.410591
I0_baseline_seed2,5275012.412125,37383918.286837,39700549.130482,1229639600.997797,5842532.886886,65795305484.481750,4707491.937364,0.000000,0.283270,0.328140
I2_forget_bias1_seed2,5275012.412125,37383918.286837,39700549.130482,1229639600.997797,5842532.886886,65795305484.481750,4707491.937364,0.000000,0.283270,0.328140
I4_nsubsteps2_seed2,5275012.412125,37383918.286837,39700549.130482,1229639600.997797,5842532.886886,65795305484.481750,4707491.937364,0.000000,0.283270,0.328140
I3_l2_smooth_seed3,5481881.945262,39273359.416789,60995174.135422,1020024180.029545,8448900.047876,46163341710.889084,2514863.842649,0.000000,0.303272,0.382634
I0_baseline_seed3,5647274.904975,35696182.321351,58934206.002490,1090683851.375864,9945496.915713,45048751375.532906,1349052.894237,0.000000,0.491871,0.414139
I2_forget_bias1_seed3,5647274.904975,35696182.321351,58934206.002490,1090683851.375864,9945496.915713,45048751375.532906,1349052.894237,0.000000,0.491871,0.414139
I4_nsubsteps2_seed3,5647274.904975,35696182.321351,58934206.002490,1090683851.375864,9945496.915713,45048751375.532906,1349052.894237,0.000000,0.491871,0.414139
I3_l2_smooth_seed2,6006996.646821,40260057.582833,42063976.599021,1651671889.923190,7418963.545391,64288095903.581306,4595029.748252,0.000000,0.344479,0.352867
I0_baseline_seed1,9872511.912083,31397458.073682,59532618.713087,905776626.299451,8296188.846654,35598241005.387665,11448834.977512,0.000000,0.209005,0.352954
I2_forget_bias1_seed1,9872511.912083,31397458.073682,59532618.713087,905776626.299451,8296188.846654,35598241005.387665,11448834.977512,0.000000,0.209005,0.352954
I4_nsubsteps2_seed1,9872511.912083,31397458.073682,59532618.713087,905776626.299451,8296188.846654,35598241005.387665,11448834.977512,0.000000,0.209005,0.352954
I1_y0_theta_init_seed2,13850641.088233,39570194.604222,41756913.535274,939982434.214068,7251457.490622,73297201945.039658,20449824.685845,0.000000,0.184265,0.256632
I1_y0_theta_init_seed1,21387335.232992,36871900.438246,71270741.610500,1167477217.505819,3726645.597094,31133179462.829498,39048024.868890,0.000000,0.449985,0.556843
I3_l2_smooth_seed1,40473081.226739,36087902.558645,74960382.642127,489382619.202291,9095308.929976,30297851094.312164,71850853.523502,0.000000,0.438029,0.286545
II_strat_split_seed3,52221529.435029,40349320.063979,63318067.026466,386845082.629091,17901211.335454,25828964263.192932,86541847.534604,0.000000,0.247581,0.239383
II_strat_split_seed2,133459757.467560,34928644.875563,65037898.577085,308476834.720665,13657840.275654,33263723055.997513,253261674.659467,0.000000,0.352739,0.153293
II_strat_split_seed1,283842965.125480,38100038.250012,64846805.242574,1067000740.492940,14764234.559052,40047877161.905487,552921695.691908,0.000000,0.508611,0.337575
