run,nrmse,R,O,m,mm,p,pm,DNA,r2_pm_final,r2_mm_max
II_strat_split_seed1,0.287443,38310022.582599,69129143.881795,168435365.879322,0.240834,25226411346.295704,0.334052,0.000000,0.508611,0.337575
I1_y0_theta_init_seed3,0.294479,36648901.479006,44133346.024787,213652166.788490,0.277073,20978619480.066490,0.311884,0.000000,0.320850,0.410591
I0_baseline_seed2,0.309875,37418011.949993,34183462.925132,146297526.582893,0.256214,41100381337.492432,0.363535,0.000000,0.283270,0.328140
I2_forget_bias1_seed2,0.309875,37418011.949993,34183462.925132,146297526.582893,0.256214,41100381337.492432,0.363535,0.000000,0.283270,0.328140
I4_nsubsteps2_seed2,0.309875,37418011.949993,34183462.925132,146297526.582893,0.256214,41100381337.492432,0.363535,0.000000,0.283270,0.328140
I1_y0_theta_init_seed2,0.312569,40210500.526162,36840100.133321,292141249.699056,0.241080,52824075464.602997,0.384059,0.000000,0.184265,0.256632
I0_baseline_seed1,0.325122,32463873.061634,61862839.545998,138493346.851524,0.295946,25586158556.325787,0.354297,0.000000,0.209005,0.352954
I2_forget_bias1_seed1,0.325122,32463873.061634,61862839.545998,138493346.851524,0.295946,25586158556.325787,0.354297,0.000000,0.209005,0.352954
I4_nsubsteps2_seed1,0.325122,32463873.061634,61862839.545998,138493346.851524,0.295946,25586158556.325787,0.354297,0.000000,0.209005,0.352954
I1_y0_theta_init_seed1,0.331256,38807076.185372,77997154.862137,217410137.546196,0.272595,19197385869.570549,0.389918,0.000000,0.449985,0.556843
I0_baseline_seed3,0.332952,36889193.919536,66502768.213628,254431019.078670,0.282050,31013679928.741516,0.383855,0.000000,0.491871,0.414139
I2_forget_bias1_seed3,0.332952,36889193.919536,66502768.213628,254431019.078670,0.282050,31013679928.741516,0.383855,0.000000,0.491871,0.414139
I4_nsubsteps2_seed3,0.332952,36889193.919536,66502768.213628,254431019.078670,0.282050,31013679928.741516,0.383855,0.000000,0.491871,0.414139
I3_l2_smooth_seed3,0.344842,39091952.129926,65421551.659711,170104785.556643,0.257587,32347111176.772324,0.432097,0.000000,0.303272,0.382634
I3_l2_smooth_seed2,0.352004,40851793.035266,35778653.716013,213774666.752650,0.275316,39508696790.647629,0.428692,0.000000,0.344479,0.352867
I3_l2_smooth_seed1,0.352934,38057237.501176,83400132.304963,107783868.966494,0.303529,23723920419.023972,0.402339,0.000000,0.438029,0.286545
II_strat_split_seed2,0.353458,35364334.664176,66830775.765267,133917946.661816,0.285963,24627245728.371170,0.420953,0.000000,0.352739,0.153293
II_strat_split_seed3,0.370087,39062226.887554,68760026.081359,142358595.371510,0.311206,20358003151.328789,0.428967,0.000000,0.247581,0.239383
