run,nrmse,R,O,m,mm,p,pm,DNA
D_composable_n3_clamp1_seed3,0.312280,70288936.332580,47970323.778477,283260666.386109,0.257579,7534408369.144054,0.366981,0.000000
B_composable_n3_seed1,0.313292,42903741.821363,62834169.940952,325257137.486323,0.275920,21824235512.726921,0.350665,0.000000
D_composable_n3_clamp1_seed1,0.326736,42542545.302851,48562070.464996,217735541.848901,0.290558,33057812303.759789,0.362914,0.000000
B_composable_n3_seed2,0.336522,38147354.105000,68550233.957706,303478224.421148,0.264332,21087815115.840698,0.408712,0.000000
A_verbatim_seed1,0.347548,36147756.479100,54912983.056516,97807366.403572,0.261115,28357017535.614925,0.433981,0.000000
D_composable_n3_clamp1_seed2,0.349980,37445913.420492,79993351.790234,210340873.938925,0.264047,26679521922.842819,0.435913,0.000000
C_composable_n1_seed1,0.362987,41008127.449766,72584848.743485,419172516.808222,0.270392,23919736873.391129,0.455583,0.000000
A_verbatim_seed3,0.364904,69065674.679091,41019633.743209,321962738.419398,0.272410,9926131413.635792,0.457398,0.000000
C_composable_n1_seed3,0.374214,77265262.453406,36193534.625246,385235830.425278,0.291289,39261973697.843903,0.457138,0.000000
C_composable_n1_seed2,0.374817,35113212.839513,80411193.442120,185701742.019209,0.314494,20645174141.705158,0.435140,0.000000
B_composable_n3_seed3,0.400267,76453027.661559,45337851.353841,186999290.795507,0.300186,21971772210.272598,0.500348,0.000000
A_verbatim_seed2,0.400521,37046435.420306,80164972.628369,179279723.073864,0.294083,24485061988.319641,0.506959,0.000000
