run,nrmse,R,O,m,mm,p,pm,DNA
C_composable_n1_seed1,607383.370159,62807785.644133,58905778.906522,316968545.952116,933892.508663,22034673361.858829,280874.231655,0.000000
C_composable_n1_seed2,1014844.445835,59122041.840970,61389811.991971,281749723.937734,1463147.649159,26897862002.070930,566541.242512,0.000000
B_composable_n3_seed2,1228156.247316,61024864.789768,55572775.266494,271379190.214491,2323530.740579,29826455314.473305,132781.754053,0.000000
B_composable_n3_seed3,2044022.367334,63009360.566076,62041017.771308,328216547.418067,3851712.272666,27124653948.290436,236332.462002,0.000000
C_composable_n1_seed3,2824580.817428,63457194.435762,58488616.109943,324528512.053766,2159634.534993,20608716589.850677,3489527.099863,0.000000
D_composable_n3_clamp1_seed2,3291915.859707,62681896.463739,57258809.792225,303426187.105854,4449044.829963,20906363679.527615,2134786.889451,0.000000
D_composable_n3_clamp1_seed3,3479272.591799,61357330.754752,58853074.163356,259122363.113143,4113507.463309,22080795133.761799,2845037.720289,0.000000
A_verbatim_seed3,4539992.351429,61888933.242259,57679627.431521,280086103.741378,8339571.622623,22048003962.131042,740413.080234,0.000000
A_verbatim_seed2,6424398.208791,61819392.468656,55007162.798758,339235631.295989,4149908.679000,20606192976.992294,8698887.738582,0.000000
B_composable_n3_seed1,15712428.728937,62306173.375137,60760880.810377,348109426.535960,2907079.143052,22846754561.378269,28517778.314821,0.000000
D_composable_n3_clamp1_seed1,27142377.310751,65207713.123222,57325926.458987,344925280.262496,4243141.643638,22433708147.741192,50041612.977864,0.000000
A_verbatim_seed1,40140829.891073,64177455.469458,62509722.118647,345469638.353546,3556377.399490,20627428005.495655,76725282.382655,0.000000
