run,nrmse,R,O,m,mm,p,pm,DNA
D_composable_n3_clamp1_seed1,0.317550,67035147.859161,59536193.591226,276286119.906490,0.269711,19333215511.467613,0.365389,0.000000
C_composable_n1_seed3,0.319693,64610165.805500,62670176.646365,215161292.806847,0.267243,14191004957.776958,0.372143,0.000000
D_composable_n3_clamp1_seed2,0.321858,62562584.892988,60988280.700358,234149906.556441,0.248935,13344873359.164629,0.394782,0.000000
A_verbatim_seed2,0.328778,62957895.582898,58693732.966484,234592386.182900,0.227145,16621529070.829586,0.430411,0.000000
D_composable_n3_clamp1_seed3,0.342986,61628109.547735,62411916.496473,178813734.747569,0.278355,15458424880.699242,0.407617,0.000000
A_verbatim_seed3,0.352255,65588077.385547,61363134.471178,199512457.072966,0.275739,18625593291.165474,0.428771,0.000000
C_composable_n1_seed1,0.353798,64125411.258154,62212224.233550,214298416.773613,0.255920,14177569448.635925,0.451676,0.000000
B_composable_n3_seed3,0.357875,62259103.029217,66110558.714141,249586495.764310,0.232745,20400454043.739578,0.483004,0.000000
A_verbatim_seed1,0.364405,65027388.477831,68470991.922850,245876161.443886,0.313739,13349350776.679075,0.415071,0.000000
B_composable_n3_seed1,0.375988,63319817.595369,64595734.939276,263613809.116479,0.277789,17702417397.340172,0.474188,0.000000
B_composable_n3_seed2,0.398897,61159396.506544,59450007.379056,206955642.667183,0.302639,17713833957.192101,0.495154,0.000000
C_composable_n1_seed2,0.406770,60043657.335099,65992023.076795,217999707.840367,0.276943,17473593624.050095,0.536597,0.000000
