run,nrmse,R,O,m,mm,p,pm,DNA,r2_pm_final,r2_mm_max
D_composable_n3_clamp1_seed3,2719659.778707,66365809.094837,51388976.395789,994634754.668134,4792217.660898,12151292650.852404,647101.896517,0.000000,0.163230,0.353490
B_composable_n3_seed3,3721061.539058,70934429.515981,45682521.296184,1039493771.772292,7148296.502110,64121131671.526466,293826.576005,0.000000,0.029384,0.260964
A_verbatim_seed3,3878330.342875,66337734.816114,43066544.631613,1047969960.595865,6636936.512213,15641729560.116512,1119724.173538,0.000000,0.036470,0.379839
B_composable_n3_seed2,3961915.169809,36512874.158963,64372954.258943,1078547652.845502,7741099.203364,35026172998.655365,182731.136254,0.000000,0.189114,0.327689
A_verbatim_seed1,5046673.896933,34398534.879871,54603271.971220,581941428.600660,7942834.983348,38967597070.504303,2150512.810518,0.000000,0.299063,0.279878
C_composable_n1_seed1,5788357.073915,40293319.283648,65818324.388893,1466673032.279996,8656971.243550,46317709963.360565,2919742.904280,0.000000,-0.072023,0.393639
D_composable_n3_clamp1_seed1,6321563.420184,39817603.126118,50122674.315437,772136214.581636,9506583.607870,43120899104.450508,3136543.232497,0.000000,0.385337,0.272715
C_composable_n1_seed2,7250189.824561,34289733.242584,75409665.745521,696204073.196142,2978634.276005,29627785704.227665,11521745.373117,0.000000,0.185073,0.214305
D_composable_n3_clamp1_seed2,8105132.855159,37134211.340250,69867805.241481,1080188327.067936,6540850.781372,36964613312.355881,9669414.928946,0.000000,0.221319,0.394454
B_composable_n3_seed1,8721126.919985,40680691.843162,61784901.411469,1402142526.651404,5617334.952297,31701479887.467991,11824918.887673,0.000000,0.439337,0.412898
C_composable_n1_seed3,9594304.397105,72573265.154257,40832683.817832,1220757892.382403,19041558.943998,105091586522.146896,147049.850212,0.000000,0.069492,0.428257
A_verbatim_seed2,26773146.348417,36206776.822444,71192776.358935,715272000.751022,7188699.404917,44484117972.331932,46357593.291916,0.000000,-0.334216,0.296973
