time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5
6.000000000000000000e+01,4.965475527569651604e-04,1.897366251796483994e-03,3.162277571391314268e-04,1.549193053506314754e-03,5.916079317103140056e-05,4.183299897704273462e-04
1.200000000000000000e+02,4.964981344528496265e-04,1.085454860003665090e-04,8.783340454101562500e-03,3.802895662374794483e-04,1.099614310078322887e-04,2.693272428587079048e-03
1.800000000000000000e+02,4.964981344528496265e-04,1.009125335258431733e-04,9.368338622152805328e-03,2.903049753513187170e-04,1.655739033594727516e-04,3.039119997993111610e-03
2.400000000000000000e+02,4.965061089023947716e-04,9.902187593979761004e-05,9.487699717283248901e-03,2.278587053297087550e-04,2.596445847302675247e-04,3.102308139204978943e-03
3.000000000000000000e+02,4.965057014487683773e-04,9.898441930999979377e-05,9.502228349447250366e-03,2.019799285335466266e-04,3.007512714248150587e-04,3.092131111770868301e-03
3.600000000000000000e+02,4.965057014487683773e-04,9.913807298289611936e-05,9.509513154625892639e-03,1.842302735894918442e-04,3.179970080964267254e-04,3.083654213696718216e-03
4.200000000000000000e+02,4.965054104104638100e-04,9.937133290804922581e-05,9.513041935861110687e-03,1.711473742034286261e-04,3.264906699769198895e-04,3.077326342463493347e-03
4.800000000000000000e+02,4.965049447491765022e-04,9.963730553863570094e-05,9.514538571238517761e-03,1.609821047168225050e-04,3.313094493933022022e-04,3.072742838412523270e-03
5.400000000000000000e+02,4.965049447491765022e-04,9.991555270971730351e-05,9.514947421848773956e-03,1.527680287836119533e-04,3.343292919453233480e-04,3.069373080506920815e-03
6.000000000000000000e+02,4.965047119185328484e-04,1.001969940261915326e-04,9.514761157333850861e-03,1.459314808016642928e-04,3.363583527971059084e-04,3.066792385652661324e-03
6.600000000000000000e+02,4.965047119185328484e-04,1.004774530883878469e-04,9.514252655208110809e-03,1.401106128469109535e-04,3.377908724360167980e-04,3.064704826101660728e-03
7.200000000000000000e+02,4.965042462572455406e-04,1.007547762128524482e-04,9.513568133115768433e-03,1.350663660559803247e-04,3.388391342014074326e-04,3.062925534322857857e-03
7.800000000000000000e+02,4.965040134266018867e-04,1.010282066999934614e-04,9.512796998023986816e-03,1.306333579123020172e-04,3.396257816348224878e-04,3.061336930841207504e-03
8.400000000000000000e+02,4.965040134266018867e-04,1.012971551972441375e-04,9.511984884738922119e-03,1.266932813450694084e-04,3.402262518648058176e-04,3.059873124584555626e-03
9.000000000000000000e+02,4.965035477653145790e-04,1.015613524941727519e-04,9.511159732937812805e-03,1.231587666552513838e-04,3.406886244192719460e-04,3.058490110561251640e-03
9.600000000000000000e+02,4.965030238963663578e-04,1.018207549350336194e-04,9.510325267910957336e-03,1.199636390083469450e-04,3.410452918615192175e-04,3.057167632505297661e-03
1.020000000000000000e+03,4.965030238963663578e-04,1.020752533804625273e-04,9.509503841400146484e-03,1.170566465589217842e-04,3.413182857912033796e-04,3.055889625102281570e-03
1.080000000000000000e+03,4.965027910657227039e-04,1.023250224534422159e-04,9.508692659437656403e-03,1.143967019743286073e-04,3.415230021346360445e-04,3.054646775126457214e-03
1.140000000000000000e+03,4.965023254044353962e-04,1.025697201839648187e-04,9.507890790700912476e-03,1.119518201448954642e-04,3.416705585550516844e-04,3.053437918424606323e-03
1.200000000000000000e+03,4.965021507814526558e-04,1.028099359245970845e-04,9.507114998996257782e-03,1.096948690246790648e-04,3.417683183215558529e-04,3.052257467061281204e-03
1.260000000000000000e+03,4.965021507814526558e-04,1.030450221151113510e-04,9.506348520517349243e-03,1.076039698091335595e-04,3.418218984734266996e-04,3.051104955375194550e-03
1.320000000000000000e+03,4.965113475918769836e-04,1.024906450766138732e-04,9.554077871143817902e-03,9.635036258259788156e-05,3.421098517719656229e-04,3.082708921283483505e-03
1.380000000000000000e+03,4.965113475918769836e-04,1.039604248944669962e-04,9.528364054858684540e-03,9.635967580834403634e-05,3.420495777390897274e-04,3.051505191251635551e-03
1.440000000000000000e+03,4.965108819305896759e-04,1.047119367285631597e-04,9.514203295111656189e-03,9.582781785866245627e-05,3.419280401431024075e-04,3.040376584976911545e-03
1.500000000000000000e+03,4.965108819305896759e-04,1.051409635692834854e-04,9.506580419838428497e-03,9.500793385086581111e-05,3.417579282540827990e-04,3.037172835320234299e-03
1.560000000000000000e+03,4.965105908922851086e-04,1.054280292009934783e-04,9.502392262220382690e-03,9.405626769876107574e-05,3.415429673623293638e-04,3.036489477381110191e-03
1.620000000000000000e+03,4.965101834386587143e-04,1.056516048265621066e-04,9.499950334429740906e-03,9.305981802754104137e-05,3.412824589759111404e-04,3.036363516002893448e-03
1.680000000000000000e+03,4.965097177773714066e-04,1.058455309248529375e-04,9.498405270278453827e-03,9.206433605868369341e-05,3.409729979466646910e-04,3.036192851141095161e-03
1.740000000000000000e+03,4.965094849467277527e-04,1.060243303072638810e-04,9.497337043285369873e-03,9.109302482102066278e-05,3.406081814318895340e-04,3.035855479538440704e-03
1.800000000000000000e+03,4.965089610777795315e-04,1.061941075022332370e-04,9.496517479419708252e-03,9.015687828650698066e-05,3.401800058782100677e-04,3.035369096323847771e-03
1.860000000000000000e+03,4.965087282471358776e-04,1.063576855813153088e-04,9.495842270553112030e-03,8.926059672376140952e-05,3.396771789994090796e-04,3.034781664609909058e-03
1.920000000000000000e+03,4.965082625858485699e-04,1.065164542524144053e-04,9.495249018073081970e-03,8.840536611387506127e-05,3.390851488802582026e-04,3.034134628251194954e-03
1.980000000000000000e+03,4.965080297552049160e-04,1.066711265593767166e-04,9.494701400399208069e-03,8.759057527640834451e-05,3.383845905773341656e-04,3.033454762771725655e-03
2.040000000000000000e+03,4.965075640939176083e-04,1.068218116415664554e-04,9.494185447692871094e-03,8.681514736963436007e-05,3.375498636160045862e-04,3.032763488590717316e-03
2.100000000000000000e+03,4.965073312632739544e-04,1.069686186383478343e-04,9.493692778050899506e-03,8.607711060903966427e-05,3.365461016073822975e-04,3.032069420441985130e-03
2.160000000000000000e+03,4.965068073943257332e-04,1.071119841071777046e-04,9.493215940892696381e-03,8.537459507351741195e-05,3.353249630890786648e-04,3.031382570043206215e-03
2.220000000000000000e+03,4.965063417330384254e-04,1.072519080480560660e-04,9.492764249444007874e-03,8.470563625451177359e-05,3.338179376441985369e-04,3.030706429854035378e-03
2.280000000000000000e+03,4.965061089023947716e-04,1.073883977369405329e-04,9.492316283285617828e-03,8.406818233197554946e-05,3.319259267300367355e-04,3.030040068551898003e-03
2.340000000000000000e+03,4.965057014487683773e-04,1.075215404853224754e-04,9.491876699030399323e-03,8.346026879735291004e-05,3.294996859040111303e-04,3.029386978596448898e-03
2.400000000000000000e+03,4.965054104104638100e-04,1.076514090527780354e-04,9.491447359323501587e-03,8.287953096441924572e-05,3.263074031565338373e-04,3.028748789802193642e-03
2.460000000000000000e+03,4.965049447491765022e-04,1.077780470950528979e-04,9.491031058132648468e-03,8.232366235461086035e-05,3.219747159164398909e-04,3.028123406693339348e-03
2.520000000000000000e+03,4.965047119185328484e-04,1.079014909919351339e-04,9.490618482232093811e-03,8.178990537999197841e-05,3.158715262543410063e-04,3.027511294931173325e-03
2.580000000000000000e+03,4.965042462572455406e-04,1.080218789866194129e-04,9.490220807492733002e-03,8.127502951538190246e-05,3.068986698053777218e-04,3.026910591870546341e-03
2.640000000000000000e+03,4.965040134266018867e-04,1.081393638742156327e-04,9.489835239946842194e-03,8.077504753600805998e-05,2.931167546194046736e-04,3.026323392987251282e-03
2.700000000000000000e+03,4.965035477653145790e-04,1.082535818568430841e-04,9.489450603723526001e-03,8.028582669794559479e-05,2.713428984861820936e-04,3.025747602805495262e-03
2.760000000000000000e+03,4.965030238963663578e-04,1.083652314264327288e-04,9.489071555435657501e-03,7.980477676028385758e-05,2.379998477408662438e-04,3.025183454155921936e-03
2.820000000000000000e+03,4.965027910657227039e-04,1.084739342331886292e-04,9.488713927567005157e-03,7.933363667689263821e-05,1.945795956999063492e-04,3.024632576853036880e-03
2.880000000000000000e+03,4.965023254044353962e-04,1.085797848645597696e-04,9.488351643085479736e-03,7.887841638876125216e-05,1.526454434497281909e-04,3.024090547114610672e-03
2.940000000000000000e+03,4.965023254044353962e-04,1.086829724954441190e-04,9.487998671829700470e-03,7.844393257983028889e-05,1.217664321302436292e-04,3.023558296263217926e-03
3.000000000000000000e+03,4.965021507814526558e-04,1.087835480575449765e-04,9.487650357186794281e-03,7.803289190633222461e-05,1.012285792967304587e-04,3.023037919774651527e-03
3.060000000000000000e+03,4.965016269125044346e-04,1.088813660317100585e-04,9.487311355769634247e-03,7.764710608171299100e-05,8.735942537896335125e-05,3.022526158019900322e-03
3.120000000000000000e+03,4.965013940818607807e-04,1.089768484234809875e-04,9.486980736255645752e-03,7.728733180556446314e-05,7.753325917292386293e-05,3.022023010998964310e-03
3.180000000000000000e+03,4.965009284205734730e-04,1.090697114705108106e-04,9.486660361289978027e-03,7.695370004512369633e-05,7.023153011687099934e-05,3.021527547389268875e-03
3.240000000000000000e+03,4.965013940818607807e-04,1.089938086806796491e-04,9.491899050772190094e-03,7.626955630257725716e-05,6.443189340643584728e-05,3.024976002052426338e-03
3.300000000000000000e+03,4.965054104104638100e-04,1.076606349670328200e-04,9.534157812595367432e-03,7.319851283682510257e-05,5.892157787457108498e-05,3.054422559216618538e-03
3.360000000000000000e+03,4.965049447491765022e-04,1.089074139599688351e-04,9.510220959782600403e-03,7.406132499454542994e-05,5.513057112693786621e-05,3.025681246072053909e-03
3.420000000000000000e+03,4.965049447491765022e-04,1.094947292585857213e-04,9.497245773673057556e-03,7.449676195392385125e-05,5.203105683904141188e-05,3.015900962054729462e-03
3.480000000000000000e+03,4.965047119185328484e-04,1.097877393476665020e-04,9.490387514233589172e-03,7.469271804438903928e-05,4.943312160321511328e-05,3.013448324054479599e-03
3.540000000000000000e+03,4.965042462572455406e-04,1.099518485716544092e-04,9.486722759902477264e-03,7.476423343177884817e-05,4.721470395452342927e-05,3.013280220329761505e-03
3.600000000000000000e+03,4.965040134266018867e-04,1.100595764000900090e-04,9.484683163464069366e-03,7.477674080291762948e-05,4.529258512775413692e-05,3.013581968843936920e-03
3.660000000000000000e+03,4.965035477653145790e-04,1.101415036828257143e-04,9.483476169407367706e-03,7.476637256331741810e-05,4.360741877462714911e-05,3.013807814568281174e-03
3.720000000000000000e+03,4.965030238963663578e-04,1.102111564250662923e-04,9.482698515057563782e-03,7.475290476577356458e-05,4.211537088849581778e-05,3.013843670487403870e-03
3.780000000000000000e+03,4.965027910657227039e-04,1.102742971852421761e-04,9.482146240770816803e-03,7.474704761989414692e-05,4.078325946466065943e-05,3.013717010617256165e-03
3.840000000000000000e+03,4.965023254044353962e-04,1.103336617234162986e-04,9.481716901063919067e-03,7.475500024156644940e-05,3.958534944104030728e-05,3.013472771272063255e-03
3.900000000000000000e+03,4.965021507814526558e-04,1.103902686736546457e-04,9.481345303356647491e-03,7.478025509044528008e-05,3.850127541227266192e-05,3.013149602338671684e-03
3.960000000000000000e+03,4.965016269125044346e-04,1.104448019759729505e-04,9.481010958552360535e-03,7.482448563678190112e-05,3.751474650925956666e-05,3.012775909155607224e-03
4.020000000000000000e+03,4.965013940818607807e-04,1.104975090129300952e-04,9.480699896812438965e-03,7.488919800380244851e-05,3.661254231701605022e-05,3.012368222698569298e-03
4.080000000000000000e+03,4.965009284205734730e-04,1.105486298911273479e-04,9.480383247137069702e-03,7.497503247577697039e-05,3.578378891688771546e-05,3.011939814314246178e-03
4.140000000000000000e+03,4.965006955899298191e-04,1.105978881241753697e-04,9.480084292590618134e-03,7.508270937250927091e-05,3.501951869111508131e-05,3.011494642123579979e-03
4.200000000000000000e+03,4.965002299286425114e-04,1.106460331357084215e-04,9.479776956140995026e-03,7.521263614762574434e-05,3.431212098803371191e-05,3.011038061231374741e-03
4.260000000000000000e+03,4.964997060596942902e-04,1.106924828491173685e-04,9.479461237788200378e-03,7.536543125752359629e-05,3.365524389664642513e-05,3.010570304468274117e-03
4.320000000000000000e+03,4.965002299286425114e-04,1.103905087802559137e-04,9.488967247307300568e-03,7.513851596741005778e-05,3.302562254248186946e-05,3.017106093466281891e-03
4.380000000000000000e+03,4.965013940818607807e-04,1.098080683732405305e-04,9.506367146968841553e-03,7.467742398148402572e-05,3.241637386963702738e-05,3.027219790965318680e-03
4.440000000000000000e+03,4.965009284205734730e-04,1.104842158383689821e-04,9.491931647062301636e-03,7.561520033050328493e-05,3.187413312844000757e-05,3.011055523529648781e-03
4.500000000000000000e+03,4.965006955899298191e-04,1.107969874283298850e-04,9.484357200562953949e-03,7.628294406458735466e-05,3.136817758786492050e-05,3.005633130669593811e-03
4.560000000000000000e+03,4.965002299286425114e-04,1.109514632844366133e-04,9.480319917201995850e-03,7.681356510147452354e-05,3.089391975663602352e-05,3.004091326147317886e-03
4.620000000000000000e+03,4.964997060596942902e-04,1.110372541006654501e-04,9.478059597313404083e-03,7.728244236204773188e-05,3.044784898520447314e-05,3.003694582730531693e-03
4.680000000000000000e+03,4.964995314367115498e-04,1.110926314140670002e-04,9.476690553128719330e-03,7.773125980747863650e-05,3.002725679834838957e-05,3.003495512530207634e-03
4.740000000000000000e+03,4.964990075677633286e-04,1.111342135118320584e-04,9.475750848650932312e-03,7.818310405127704144e-05,2.962978942377958447e-05,3.003210527822375298e-03
4.800000000000000000e+03,4.964983672834932804e-04,1.111690144171006978e-04,9.475028142333030701e-03,7.865153747843578458e-05,2.925345506810117513e-05,3.002786776050925255e-03
4.860000000000000000e+03,4.964981344528496265e-04,1.112001191359013319e-04,9.474413469433784485e-03,7.914423622423782945e-05,2.889652023441158235e-05,3.002244047820568085e-03
4.920000000000000000e+03,4.964976105839014053e-04,1.112289828597567976e-04,9.473844431340694427e-03,7.966640987433493137e-05,2.855744241969659925e-05,3.001600038260221481e-03
4.980000000000000000e+03,4.968822468072175980e-04,7.135070394724607468e-03,1.107432126445928589e-05,3.697738793562166393e-05,2.864868838514667004e-05,3.490047063678503036e-03
5.040000000000000000e+03,4.964668187312781811e-04,9.047391358762979507e-04,1.076656280929455534e-05,4.778613947564736009e-05,3.116311199846677482e-05,3.473444608971476555e-03
5.100000000000000000e+03,4.964798572473227978e-04,1.191703951917588711e-03,1.197480560222174972e-05,4.767733116750605404e-05,3.222093073418363929e-05,3.473798977211117744e-03
5.160000000000000000e+03,4.964699619449675083e-04,1.036260509863495827e-03,1.236294974660268053e-05,4.778132279170677066e-05,3.361777999089099467e-05,3.473545657470822334e-03
5.220000000000000000e+03,4.964725230820477009e-04,1.105541130527853966e-03,1.256921586900716648e-05,4.777671347255818546e-05,3.520198515616357327e-05,3.473645308986306190e-03
5.280000000000000000e+03,4.964701365679502487e-04,1.053134095855057240e-03,1.268443338631186634e-05,4.781316602020524442e-05,3.712129910127259791e-05,3.473595250397920609e-03
