time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5
6.000000000000000000e+01,4.991934401914477348e-04,1.897366251796483994e-03,3.162277571391314268e-04,1.549193053506314754e-03,5.916079317103140056e-05,4.183299897704273462e-04
1.200000000000000000e+02,4.991815076209604740e-04,7.230529445223510265e-05,9.443593211472034454e-03,3.501585160847753286e-04,1.138200459536164999e-04,3.085694508627057076e-03
1.800000000000000000e+02,4.991815076209604740e-04,6.729524466209113598e-05,9.709707461297512054e-03,2.439116069581359625e-04,1.860798220150172710e-04,3.273187670856714249e-03
2.400000000000000000e+02,4.991836613044142723e-04,6.602810026379302144e-05,9.769679047167301178e-03,1.817288430174812675e-04,2.782334049697965384e-04,3.306537168100476265e-03
3.000000000000000000e+02,4.991836613044142723e-04,6.600618507945910096e-05,9.776631370186805725e-03,1.589499588590115309e-04,3.107549273408949375e-04,3.300664480775594711e-03
3.600000000000000000e+02,4.991836613044142723e-04,6.609730189666152000e-05,9.780064225196838379e-03,1.438292674720287323e-04,3.242204256821423769e-04,3.295933827757835388e-03
4.200000000000000000e+02,4.991834284737706184e-04,6.623599620070308447e-05,9.781663306057453156e-03,1.328959478996694088e-04,3.309706808067858219e-04,3.292453009635210037e-03
4.800000000000000000e+02,4.991834284737706184e-04,6.639425555476918817e-05,9.782297536730766296e-03,1.244992454303428531e-04,3.348585451021790504e-04,3.289946587756276131e-03
5.400000000000000000e+02,4.991834284737706184e-04,6.655995093751698732e-05,9.782409295439720154e-03,1.177614758489653468e-04,3.373161598574370146e-04,3.288103500381112099e-03
6.000000000000000000e+02,4.991834284737706184e-04,6.672773452010005713e-05,9.782241657376289368e-03,1.121768073062412441e-04,3.389715857338160276e-04,3.286689985543489456e-03
6.600000000000000000e+02,4.991834284737706184e-04,6.689483416266739368e-05,9.781920351088047028e-03,1.074332249118015170e-04,3.401363792363554239e-04,3.285536542534828186e-03
7.200000000000000000e+02,4.991834284737706184e-04,6.706021667923778296e-05,9.781518019735813141e-03,1.033273583743721247e-04,3.409802156966179609e-04,3.284548176452517509e-03
7.800000000000000000e+02,4.991834284737706184e-04,6.722307443851605058e-05,9.781089611351490021e-03,9.972060797736048698e-05,3.416025429032742977e-04,3.283663420006632805e-03
8.400000000000000000e+02,4.991829628124833107e-04,6.738344382029026747e-05,9.780632331967353821e-03,9.651503205532208085e-05,3.420643042773008347e-04,3.282842924818396568e-03
9.000000000000000000e+02,4.991829628124833107e-04,6.754086643923074007e-05,9.780175052583217621e-03,9.363814751850441098e-05,3.424054011702537537e-04,3.282066667452454567e-03
9.600000000000000000e+02,4.991829628124833107e-04,6.769539322704076767e-05,9.779718704521656036e-03,9.103605407290160656e-05,3.426518524065613747e-04,3.281321609392762184e-03
1.020000000000000000e+03,4.991829628124833107e-04,6.784708239138126373e-05,9.779270738363265991e-03,8.866684947861358523e-05,3.428216732572764158e-04,3.280597273260354996e-03
1.080000000000000000e+03,4.991829628124833107e-04,6.799577386118471622e-05,9.778822772204875946e-03,8.649718802189454436e-05,3.429272619541734457e-04,3.279898082837462425e-03
1.140000000000000000e+03,4.991827299818396568e-04,6.814162043156102300e-05,9.778389707207679749e-03,8.450070890830829740e-05,3.429768257774412632e-04,3.279214724898338318e-03
1.200000000000000000e+03,4.991827299818396568e-04,6.828446930740028620e-05,9.777960367500782013e-03,8.265594806289300323e-05,3.429763310123234987e-04,3.278548829257488251e-03
1.260000000000000000e+03,4.991827299818396568e-04,6.842446600785478950e-05,9.777545928955078125e-03,8.094521763268858194e-05,3.429288335610181093e-04,3.277896903455257416e-03
1.320000000000000000e+03,4.991848254576325417e-04,6.797977403039112687e-05,9.802773594856262207e-03,7.172340701799839735e-05,3.429698990657925606e-04,3.295172704383730888e-03
1.380000000000000000e+03,4.991848254576325417e-04,6.891543307574465871e-05,9.788885712623596191e-03,7.174054917413741350e-05,3.427602350711822510e-04,3.277878044173121452e-03
1.440000000000000000e+03,4.991848254576325417e-04,6.939018931007012725e-05,9.781365282833576202e-03,7.129646110115572810e-05,3.424921014811843634e-04,3.271755063906311989e-03
1.500000000000000000e+03,4.991848254576325417e-04,6.965732609387487173e-05,9.777377359569072723e-03,7.061257201712578535e-05,3.421678557060658932e-04,3.270019544288516045e-03
1.560000000000000000e+03,4.991845926269888878e-04,6.983310595387592912e-05,9.775196202099323273e-03,6.982153718126937747e-05,3.417848784010857344e-04,3.269657725468277931e-03
1.620000000000000000e+03,4.991845926269888878e-04,6.996820593485608697e-05,9.773941710591316223e-03,6.899571599205955863e-05,3.413369995541870594e-04,3.269588807597756386e-03
1.680000000000000000e+03,4.991845926269888878e-04,7.008441752986982465e-05,9.773154743015766144e-03,6.817293615313246846e-05,3.408146440051496029e-04,3.269484732300043106e-03
1.740000000000000000e+03,4.991845926269888878e-04,7.019098848104476929e-05,9.772604331374168396e-03,6.737147487001493573e-05,3.402057045605033636e-04,3.269286593422293663e-03
1.800000000000000000e+03,4.991841269657015800e-04,7.029210973996669054e-05,9.772166609764099121e-03,6.660060898866504431e-05,3.394935920368880033e-04,3.269004402682185173e-03
1.860000000000000000e+03,4.991841269657015800e-04,7.038930925773456693e-05,9.771808050572872162e-03,6.586355448234826326e-05,3.386570315342396498e-04,3.268662840127944946e-03
1.920000000000000000e+03,4.991841269657015800e-04,7.048375846352428198e-05,9.771491400897502899e-03,6.516143912449479103e-05,3.376676177140325308e-04,3.268289146944880486e-03
1.980000000000000000e+03,4.991841269657015800e-04,7.057545735733583570e-05,9.771193377673625946e-03,6.449396460084244609e-05,3.364879812579602003e-04,3.267897758632898331e-03
2.040000000000000000e+03,4.991836613044142723e-04,7.066490798024460673e-05,9.770913049578666687e-03,6.385983579093590379e-05,3.350674232933670282e-04,3.267500549554824829e-03
2.100000000000000000e+03,4.991836613044142723e-04,7.075220491969957948e-05,9.770652279257774353e-03,6.325781578198075294e-05,3.333352506160736084e-04,3.267103107646107674e-03
2.160000000000000000e+03,4.991836613044142723e-04,7.083737727953121066e-05,9.770386852324008942e-03,6.268645665841177106e-05,3.311925684101879597e-04,3.266707994043827057e-03
2.220000000000000000e+03,4.991836613044142723e-04,7.092025043675675988e-05,9.770140051841735840e-03,6.214407039806246758e-05,3.284972044639289379e-04,3.266318468376994133e-03
2.280000000000000000e+03,4.991834284737706184e-04,7.100121729308739305e-05,9.769893251359462738e-03,6.162906356621533632e-05,3.250383015256375074e-04,3.265933599323034286e-03
2.340000000000000000e+03,4.991834284737706184e-04,7.108021236490458250e-05,9.769655764102935791e-03,6.114002462709322572e-05,3.204975801054388285e-04,3.265558509156107903e-03
2.400000000000000000e+03,4.991834284737706184e-04,7.115719199646264315e-05,9.769422002136707306e-03,6.067471258575096726e-05,3.143827780149877071e-04,3.265187377110123634e-03
2.460000000000000000e+03,4.991834284737706184e-04,7.123226532712578773e-05,9.769184514880180359e-03,6.023129026289097965e-05,3.059233422391116619e-04,3.264826489612460136e-03
2.520000000000000000e+03,4.991829628124833107e-04,7.130541780497878790e-05,9.768965654075145721e-03,5.980770583846606314e-05,2.939321275334805250e-04,3.264468396082520485e-03
2.580000000000000000e+03,4.991829628124833107e-04,7.137674401747062802e-05,9.768742136657238007e-03,5.940144546912051737e-05,2.767286205198615789e-04,3.264118218794465065e-03
2.640000000000000000e+03,4.991829628124833107e-04,7.144635310396552086e-05,9.768527932465076447e-03,5.901077383896335959e-05,2.525410673115402460e-04,3.263775957748293877e-03
2.700000000000000000e+03,4.991829628124833107e-04,7.151414320105686784e-05,9.768309071660041809e-03,5.863421029062010348e-05,2.212196995969861746e-04,3.263436490669846535e-03
2.760000000000000000e+03,4.991827299818396568e-04,7.158009975682944059e-05,9.768099524080753326e-03,5.827228596899658442e-05,1.866573293227702379e-04,3.263103310018777847e-03
2.820000000000000000e+03,4.991827299818396568e-04,7.164459384512156248e-05,9.767894633114337921e-03,5.792643059976398945e-05,1.552844332763925195e-04,3.262779908254742622e-03
2.880000000000000000e+03,4.991827299818396568e-04,7.170718163251876831e-05,9.767694398760795593e-03,5.759914347436279058e-05,1.306885533267632127e-04,3.262454411014914513e-03
2.940000000000000000e+03,4.991827299818396568e-04,7.176840153988450766e-05,9.767494164407253265e-03,5.729283293476328254e-05,1.125498529290780425e-04,3.262139158323407173e-03
3.000000000000000000e+03,4.991827299818396568e-04,7.182776607805863023e-05,9.767303243279457092e-03,5.700951805920340121e-05,9.920325101120397449e-05,3.261827863752841949e-03
3.060000000000000000e+03,4.991822643205523491e-04,7.188591553131118417e-05,9.767103008925914764e-03,5.675080319633707404e-05,8.916149090509861708e-05,3.261516569182276726e-03
3.120000000000000000e+03,4.991822643205523491e-04,7.194224599516019225e-05,9.766912087798118591e-03,5.651703031617216766e-05,8.139064448187127709e-05,3.261213656514883041e-03
3.180000000000000000e+03,4.991822643205523491e-04,7.199714309535920620e-05,9.766730479896068573e-03,5.630887972074560821e-05,7.521273073507472873e-05,3.260911908000707626e-03
3.240000000000000000e+03,4.991822643205523491e-04,7.193900091806426644e-05,9.769459255039691925e-03,5.587732084677554667e-05,7.005723455222323537e-05,3.262761281803250313e-03
3.300000000000000000e+03,4.991829628124833107e-04,7.104266842361539602e-05,9.791719727218151093e-03,5.394008258008398116e-05,6.506716454168781638e-05,3.278776770457625389e-03
3.360000000000000000e+03,4.991829628124833107e-04,7.184896821854636073e-05,9.778743609786033630e-03,5.461756518343463540e-05,6.149274850031360984e-05,3.262728452682495117e-03
3.420000000000000000e+03,4.991829628124833107e-04,7.222575368359684944e-05,9.771849960088729858e-03,5.500265615410171449e-05,5.846396379638463259e-05,3.257309319451451302e-03
3.480000000000000000e+03,4.991829628124833107e-04,7.241139246616512537e-05,9.768262505531311035e-03,5.522938226931728423e-05,5.585575854638591409e-05,3.255955409258604050e-03
3.540000000000000000e+03,4.991829628124833107e-04,7.251353963511064649e-05,9.766357950866222382e-03,5.537932156585156918e-05,5.358109410735778511e-05,3.255843650549650192e-03
3.600000000000000000e+03,4.991827299818396568e-04,7.257931429194286466e-05,9.765295311808586121e-03,5.549834895646199584e-05,5.157666964805684984e-05,3.255969146266579628e-03
3.660000000000000000e+03,4.991827299818396568e-04,7.262850704137235880e-05,9.764658287167549133e-03,5.561167927226051688e-05,4.979469304089434445e-05,3.256035968661308289e-03
3.720000000000000000e+03,4.991827299818396568e-04,7.267011824296787381e-05,9.764229878783226013e-03,5.573352973442524672e-05,4.819840614800341427e-05,3.255994291976094246e-03
3.780000000000000000e+03,4.991827299818396568e-04,7.270764035638421774e-05,9.763913229107856750e-03,5.587134000961668789e-05,4.675887976191006601e-05,3.255853196606040001e-03
3.840000000000000000e+03,4.991822643205523491e-04,7.274269592016935349e-05,9.763652458786964417e-03,5.602963574347086251e-05,4.545307456282898784e-05,3.255643416196107864e-03
3.900000000000000000e+03,4.991822643205523491e-04,7.277629629243165255e-05,9.763419628143310547e-03,5.621109085041098297e-05,4.426232771947979927e-05,3.255387069657444954e-03
3.960000000000000000e+03,4.991822643205523491e-04,7.280858699232339859e-05,9.763205423951148987e-03,5.641725510940887034e-05,4.317133425502106547e-05,3.255095100030303001e-03
4.020000000000000000e+03,4.991820314899086952e-04,7.283984450623393059e-05,9.762991219758987427e-03,5.664937634719535708e-05,4.216752859065309167e-05,3.254783572629094124e-03
4.080000000000000000e+03,4.991820314899086952e-04,7.287009793799370527e-05,9.762782603502273560e-03,5.690820034942589700e-05,4.124035331187769771e-05,3.254454350098967552e-03
4.140000000000000000e+03,4.991820314899086952e-04,7.289931818377226591e-05,9.762568399310112000e-03,5.719460023101419210e-05,4.038101906189695001e-05,3.254111856222152710e-03
4.200000000000000000e+03,4.991820314899086952e-04,7.292783266166225076e-05,9.762344881892204285e-03,5.750921263825148344e-05,3.958195520681329072e-05,3.253756323829293251e-03
4.260000000000000000e+03,4.991815076209604740e-04,7.295529940165579319e-05,9.762121364474296570e-03,5.785309622297063470e-05,3.883672252413816750e-05,3.253387054428458214e-03
4.320000000000000000e+03,4.991815076209604740e-04,7.275299867615103722e-05,9.767000563442707062e-03,5.805763066746294498e-05,3.812487557297572494e-05,3.256766125559806824e-03
4.380000000000000000e+03,4.991820314899086952e-04,7.236586679937317967e-05,9.775918908417224884e-03,5.830020381836220622e-05,3.743983324966393411e-05,3.261876292526721954e-03
4.440000000000000000e+03,4.991820314899086952e-04,7.280524732777848840e-05,9.768038988113403320e-03,5.931578925810754299e-05,3.682064198073931038e-05,3.252647351473569870e-03
4.500000000000000000e+03,4.991815076209604740e-04,7.300649303942918777e-05,9.763941168785095215e-03,6.013449456077069044e-05,3.623920201789587736e-05,3.249479923397302628e-03
4.560000000000000000e+03,4.991815076209604740e-04,7.310467481147497892e-05,9.761743247509002686e-03,6.086076609790325165e-05,3.569164982764050364e-05,3.248466877266764641e-03
4.620000000000000000e+03,4.991815076209604740e-04,7.315829861909151077e-05,9.760472923517227173e-03,6.155336450319737196e-05,3.517474033287726343e-05,3.248075023293495178e-03
4.680000000000000000e+03,4.991812747903168201e-04,7.319237192859873176e-05,9.759662672877311707e-03,6.224558455869555473e-05,3.468582508503459394e-05,3.247768385335803032e-03
4.740000000000000000e+03,4.991812747903168201e-04,7.321768498513847589e-05,9.759058244526386261e-03,6.295585626503452659e-05,3.422258669161237776e-05,3.247393760830163956e-03
4.800000000000000000e+03,4.991812747903168201e-04,7.323871977860108018e-05,9.758560918271541595e-03,6.369510083459317684e-05,3.378288602107204497e-05,3.246930660679936409e-03
4.860000000000000000e+03,4.991808091290295124e-04,7.325752812903374434e-05,9.758109226822853088e-03,6.447015766752883792e-05,3.336491499794647098e-05,3.246379317715764046e-03
