time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5
6.000000000000000000e+01,2.236068212368991226e-05,1.897366251796483994e-03,3.162277571391314268e-04,1.549193053506314754e-03,5.916079317103140056e-05,4.183299897704273462e-04
1.200000000000000000e+02,9.532898548059165478e-05,1.605849101906642318e-04,8.250327780842781067e-03,1.154023339040577412e-03,5.559265628107823431e-05,1.179189057438634336e-04
1.800000000000000000e+02,1.141752218245528638e-04,1.455969177186489105e-04,9.550456888973712921e-03,6.475804839283227921e-04,4.252258804626762867e-05,9.039694123202934861e-05
2.400000000000000000e+02,1.028008337016217411e-04,1.364417112199589610e-04,9.719064459204673767e-03,4.800604656338691711e-04,3.003144229296594858e-05,8.094595250440761447e-05
3.000000000000000000e+02,1.070424405043013394e-04,1.328057260252535343e-04,9.759058244526386261e-03,4.201260162517428398e-04,2.319097984582185745e-05,7.907015242381021380e-05
3.600000000000000000e+02,1.083622337318956852e-04,1.309632352786138654e-04,9.776198305189609528e-03,3.879739379044622183e-04,1.938728564709890634e-05,7.827597437426447868e-05
4.200000000000000000e+02,1.081613154383376241e-04,1.300257426919415593e-04,9.784041903913021088e-03,3.663651878014206886e-04,1.707494084257632494e-05,7.794838165864348412e-05
4.800000000000000000e+02,1.072228260454721749e-04,1.295618567382916808e-04,9.787566028535366058e-03,3.495184646453708410e-04,1.555852577439509332e-05,7.782821921864524484e-05
5.400000000000000000e+02,1.059616188285872340e-04,1.293447130592539907e-04,9.789003059267997742e-03,3.352038038428872824e-04,1.450492072763154283e-05,7.779675797792151570e-05
6.000000000000000000e+02,1.045859462465159595e-04,1.292517117690294981e-04,9.789446368813514709e-03,3.224786487407982349e-04,1.373991472064517438e-05,7.779967563692480326e-05
6.600000000000000000e+02,1.031931460602208972e-04,1.292183442274108529e-04,9.789423085749149323e-03,3.109100216533988714e-04,1.316507314186310396e-05,7.781281601637601852e-05
7.200000000000000000e+02,1.018242328427731991e-04,1.292108063353225589e-04,9.789212606847286224e-03,3.002774610649794340e-04,1.272116060135886073e-05,7.782664761180058122e-05
7.800000000000000000e+02,1.004949008347466588e-04,1.292139204451814294e-04,9.788942523300647736e-03,2.904510765802115202e-04,1.237063497683266178e-05,7.783801265759393573e-05
8.400000000000000000e+02,9.920827142195776105e-05,1.292203087359666824e-04,9.788662195205688477e-03,2.813403843902051449e-04,1.208867797686252743e-05,7.784657645970582962e-05
9.000000000000000000e+02,9.796361700864508748e-05,1.292265369556844234e-04,9.788381867110729218e-03,2.728752733673900366e-04,1.185830205940874293e-05,7.785295019857585430e-05
9.600000000000000000e+02,9.675787441665306687e-05,1.292317756451666355e-04,9.788111783564090729e-03,2.649962552823126316e-04,1.166752463177544996e-05,7.785767957102507353e-05
1.020000000000000000e+03,9.558889723848551512e-05,1.292364031542092562e-04,9.787854738533496857e-03,2.576519036665558815e-04,1.150767639046534896e-05,7.786132482578977942e-05
1.080000000000000000e+03,9.445381874684244394e-05,1.292403758270666003e-04,9.787607938051223755e-03,2.507961180526763201e-04,1.137236540671437979e-05,7.786424248479306698e-05
