time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5
6.000000000000000000e+01,2.236068212368991226e-05,1.897366251796483994e-03,3.162277571391314268e-04,1.549193053506314754e-03,5.916079317103140056e-05,4.183299897704273462e-04
1.200000000000000000e+02,9.532898548059165478e-05,1.605849101906642318e-04,8.250327780842781067e-03,1.154023339040577412e-03,5.559265628107823431e-05,1.179189057438634336e-04
1.800000000000000000e+02,1.223740982823073864e-04,1.459694904042407870e-04,9.541817009449005127e-03,6.409858469851315022e-04,4.242355862515978515e-05,9.103475895244628191e-05
2.400000000000000000e+02,9.199715714203193784e-05,1.353956176899373531e-04,9.732518345117568970e-03,4.817572189494967461e-04,3.000754259119275957e-05,7.941384683363139629e-05
3.000000000000000000e+02,8.964678272604942322e-05,1.315597764914855361e-04,9.770093485713005066e-03,4.318196733947843313e-04,2.321103966096416116e-05,7.769616786390542984e-05
3.600000000000000000e+02,7.570633897557854652e-05,1.286522019654512405e-04,9.793438017368316650e-03,4.126124549657106400e-04,1.944584255397785455e-05,7.580465171486139297e-05
4.200000000000000000e+02,6.718579243170097470e-05,1.273569650948047638e-04,9.800445288419723511e-03,4.054483142681419849e-04,1.716289079922717065e-05,7.540766819147393107e-05
4.800000000000000000e+02,6.554408901138231158e-05,1.275979593629017472e-04,9.795427322387695312e-03,3.973897837568074465e-04,1.566626087878830731e-05,7.632814231328666210e-05
5.400000000000000000e+02,6.429573113564401865e-05,1.280526194022968411e-04,9.789684787392616272e-03,3.861794248223304749e-04,1.462271666241576895e-05,7.698282570345327258e-05
6.000000000000000000e+02,6.336782826110720634e-05,1.284780737478286028e-04,9.784844703972339630e-03,3.734880010597407818e-04,1.386073108733398840e-05,7.740344153717160225e-05
6.600000000000000000e+02,6.266548007261008024e-05,1.287991763092577457e-04,9.781308472156524658e-03,3.604784142225980759e-04,1.328452708548866212e-05,7.765355258015915751e-05
7.200000000000000000e+02,6.210930587258189917e-05,1.290146028622984886e-04,9.778948500752449036e-03,3.478091093711555004e-04,1.283670735574560240e-05,7.779318548273295164e-05
7.800000000000000000e+02,6.164274236653000116e-05,1.291476364713162184e-04,9.777437895536422729e-03,3.357901005074381828e-04,1.248093940375838429e-05,7.786682544974610209e-05
8.400000000000000000e+02,6.122924969531595707e-05,1.292251690756529570e-04,9.776487015187740326e-03,3.245302941650152206e-04,1.219315254274988547e-05,7.790340896463021636e-05
9.000000000000000000e+02,6.084706910769455135e-05,1.292681845370680094e-04,9.775876998901367188e-03,3.140345215797424316e-04,1.195678578369552270e-05,7.792038377374410629e-05
9.600000000000000000e+02,6.048342038411647081e-05,1.292905653826892376e-04,9.775456972420215607e-03,3.042632597498595715e-04,1.176012392534175888e-05,7.792766700731590390e-05
1.020000000000000000e+03,6.013184247422032058e-05,1.293014356633648276e-04,9.775135666131973267e-03,2.951612113974988461e-04,1.159463590738596395e-05,7.793053373461589217e-05
1.080000000000000000e+03,5.978843546472489834e-05,1.293069799430668354e-04,9.774874895811080933e-03,2.866692375391721725e-04,1.145398800872499123e-05,7.793135591782629490e-05
