run,nrmse,M,P,R,O,m,mm,p,pm,DNA,P_fluor,r2_pm_final,r2_mm_max
scaffold_model3,0.365705,0.472256,0.259155,,,,,,,,,0.054999,-0.409682
scaffold_model5_baseline,0.374498,,,92562946.227744,9713918.587659,753840043.667721,0.475680,3453635345.556046,0.273316,47074179.065605,,0.148594,-0.398726
scaffold_model4,0.394274,0.476368,,,,,,,,,0.312179,-0.037932,-0.466545
modeltype_sparse_v2_k6,0.399322,,,83260414.814284,12152478.560129,279454535.051226,0.515891,8494167648.173151,0.282753,47074179.065605,,-0.176934,-0.478717
modeltype_sparse_v1_k6,0.402116,,,87381894.072023,12211288.517715,274630719.061847,0.512533,7184129411.825776,0.291700,47074179.065605,,0.037470,-0.461982
scaffold_model8,0.567675,,,,,,0.853400,,0.281951,,,-0.153145,-0.257073
dataset_real_new_only,0.978336,,,90343541.237738,47400710.703615,434286630.841680,0.364200,2693338417.113431,1.592471,59953127.614452,,0.114429,-0.408306
scaffold_model7,1.017419,,,,,,1.784884,,0.249953,,,-0.407367,-1.129871
dataset_real_all,1.711932,,,10548951.255978,84752050.133335,18076695.555687,1.774884,4233912698.849854,1.648979,50057246.844734,,0.186974,-4.634702
scaffold_model9,1.784884,,,,,,1.784884,,,,0.249953,-0.407367,-1.129871
dataset_combined_plus_legacy,91453174.839143,,,86245378.580043,12766344.117374,29657583.347734,2165103.490519,21034631982.248508,180741246.187767,59149354.157668,,0.550651,-0.435352
dataset_legacy_only,477702657.676233,,,24044619.505067,35293830.543154,418892314.681022,16195533.595453,39611110049.721825,939209781.757013,206815067.423868,,0.002565,0.350477
