run,nrmse,M,P,R,O,m,mm,p,pm,DNA,P_fluor,r2_pm_final,r2_mm_max
scaffold_model3,0.228082,0.253450,0.202713,,,,,,,,,0.054999,-0.409682
scaffold_model5_baseline,0.237138,,,93439188.593362,8948905.743912,790442468.959601,0.255354,3189215310.609667,0.218922,51476310.890533,,0.148594,-0.398726
scaffold_model4,0.240177,0.252941,,,,,,,,,0.227412,-0.037932,-0.466545
dataset_combined_plus_legacy,0.244268,,,91858735.979089,9056447.922017,25657914.095814,0.267847,15133240406.720207,0.220690,53730576.713706,,0.550651,-0.435352
modeltype_sparse_v2_k6,0.258686,,,83364160.894918,10288399.978155,243512347.029059,0.297928,9034018061.254236,0.219443,51476310.890533,,-0.176934,-0.478717
modeltype_sparse_v1_k6,0.262403,,,87607434.893902,9899857.663359,181282370.103826,0.305280,7789481136.115338,0.219525,51476310.890533,,0.037470,-0.461982
scaffold_model8,0.270573,,,,,,0.321384,,0.219762,,,-0.153145,-0.257073
dataset_legacy_only,0.332541,,,23612113.710456,26489166.193042,76261639.183730,0.231553,26326336649.304337,0.433529,206318918.965735,,0.002565,0.350477
dataset_real_new_only,0.444709,,,89831467.885589,35381114.952977,395079562.655434,0.288052,2605425334.950662,0.601367,59906330.074529,,0.114429,-0.408306
scaffold_model7,1.036946,,,,,,1.853755,,0.220136,,,-0.407367,-1.129871
dataset_real_all,1.173596,,,9995693.418920,84400805.610970,6282553.420692,1.766462,1352111957.096581,0.580731,54461845.284186,,0.186974,-4.634702
scaffold_model9,1.853755,,,,,,1.853755,,,,0.220136,-0.407367,-1.129871
