run,nrmse,R,O,m,mm,p,pm,DNA
mse_minmax,0.364599,40321297.943592,69343337.416649,412297368.049622,0.264285,27707798767.089844,0.464914,201091253.757477
rmse_minmax,0.419713,54932895.302773,73298227.787018,85197627.544403,0.283953,13756970977.783203,0.555472,201091253.757477
rmse_zscore,0.447000,69196853.041649,63109624.385834,94986072.182655,0.272268,4130925750.732422,0.621732,201091253.757477
logmse_log1p,0.469943,81126365.065575,31194932.758808,9126827621.459961,0.315383,23035498046.875000,0.624503,201091253.757477
logmse_log1p,0.494557,67219361.662865,53693208.098412,167650306.224823,0.343513,441561162.471771,0.645601,201091253.757477
mse_sqrt,0.497138,73282778.263092,32441721.856594,407490515.708923,0.337088,1786649608.612061,0.657187,201091253.757477
mse_sqrt,0.504930,37645465.135574,52363610.267639,124251347.780228,0.334461,80238088.965416,0.675399,201091253.757477
logmse_sqrt,0.512101,58395472.168922,51826325.058937,34240940.213203,0.346684,41349115.967751,0.677518,201091253.757477
ctrl_logmse_none,0.513682,62236469.984055,50157824.158669,27415952.086449,0.350404,49032337.963581,0.676960,201091253.757477
mse_log1p,0.513682,62236469.984055,50157824.158669,27415952.086449,0.350404,49032337.963581,0.676960,201091253.757477
rmse_zscore,0.514719,53844642.639160,50564026.832581,46761870.384216,0.351882,33870081.603527,0.677556,201091253.757477
mse_sqrt,0.515277,51111161.708832,48532280.325890,26585167.646408,0.352765,26602035.760880,0.677789,201091253.757477
ctrl_mse_none,0.516928,48884066.939354,48010474.443436,25023397.058249,0.355837,26257395.744324,0.678019,201091253.757477
rmse_minmax,0.516931,51931840.181351,50465074.181557,23195832.967758,0.355846,28612087.666988,0.678015,201091253.757477
mse_minmax,0.517286,51140251.755714,49947690.963745,26457594.335079,0.356637,30691906.809807,0.677935,201091253.757477
mse_zscore,0.517731,51436805.725098,49301853.775978,15868066.996336,0.357268,24624120.444059,0.678194,201091253.757477
mse_zscore,0.603119,64170268.177986,43056952.953339,237896454.334259,0.585765,8581507492.065430,0.620472,201091253.757477
ctrl_mse_none,1.954814,74030056.595802,63953036.069870,1738121128.082275,3.289821,12829870605.468750,0.619806,201091253.757477
logmse_sqrt,2.764002,81336668.133736,32563632.726669,2274743461.608887,4.851419,14760634613.037109,0.676586,201091253.757477
ctrl_logmse_none,3.196671,88528889.417648,31551808.118820,2427948856.353760,5.718974,15117839813.232422,0.674368,201091253.757477
mse_log1p,3.196671,88528889.417648,31551808.118820,2427948856.353760,5.718974,15117839813.232422,0.674368,201091253.757477
