run,nrmse,R,O,m,mm,p,pm,DNA
mse_minmax,0.364599,40321297.943592,69343337.416649,412297368.049622,0.264285,27707798767.089844,0.464914,201091253.757477
rmse_minmax,0.419713,54932895.302773,73298227.787018,85197627.544403,0.283953,13756970977.783203,0.555472,201091253.757477
rmse_zscore,0.447000,69196853.041649,63109624.385834,94986072.182655,0.272268,4130925750.732422,0.621732,201091253.757477
logmse_log1p,0.469943,81126365.065575,31194932.758808,9126827621.459961,0.315383,23035498046.875000,0.624503,201091253.757477
mse_sqrt,0.497138,73282778.263092,32441721.856594,407490515.708923,0.337088,1786649608.612061,0.657187,201091253.757477
mse_zscore,0.603119,64170268.177986,43056952.953339,237896454.334259,0.585765,8581507492.065430,0.620472,201091253.757477
ctrl_mse_none,1.954814,74030056.595802,63953036.069870,1738121128.082275,3.289821,12829870605.468750,0.619806,201091253.757477
logmse_sqrt,2.764002,81336668.133736,32563632.726669,2274743461.608887,4.851419,14760634613.037109,0.676586,201091253.757477
ctrl_logmse_none,3.196671,88528889.417648,31551808.118820,2427948856.353760,5.718974,15117839813.232422,0.674368,201091253.757477
mse_log1p,3.196671,88528889.417648,31551808.118820,2427948856.353760,5.718974,15117839813.232422,0.674368,201091253.757477
