run,nrmse,R,O,m,mm,p,pm,DNA
ctrl_mse_none,0.488146,35349719.226360,48294380.307198,168744587.898254,0.303298,160672485.828400,0.672994,201091253.757477
logmse_log1p,0.490633,49710020.422935,52823793.888092,124165481.328964,0.306157,91770932.078362,0.675109,201091253.757477
mse_log1p,0.509837,51247411.966324,52147057.652473,40916945.040226,0.343033,54206439.852715,0.676640,201091253.757477
ctrl_logmse_none,0.509837,51247411.966324,52147057.652473,40916945.040226,0.343033,54206439.852715,0.676640,201091253.757477
logmse_sqrt,0.514802,51268905.401230,52310296.893120,26752357.184887,0.352577,42234630.882740,0.677027,201091253.757477
mse_minmax,0.517862,50841170.549393,50705429.911613,16947571.188211,0.357557,22147136.181593,0.678167,201091253.757477
rmse_zscore,0.518094,47396212.816238,50922453.403473,20317240.059376,0.358144,25777955.353260,0.678045,201091253.757477
mse_zscore,0.518215,46638993.918896,50643634.796143,21405538.916588,0.358581,28608211.874962,0.677849,201091253.757477
mse_sqrt,0.518327,50324377.417564,51825746.893883,13347960.263491,0.358445,19946475.327015,0.678210,201091253.757477
rmse_minmax,0.518372,47955393.791199,51056653.261185,16890183.091164,0.358614,22625120.729208,0.678129,201091253.757477
