run,nrmse,R,O,m,mm,p,pm,DNA
ctrl_mse_none,0.502575,43734270.334244,50827291.607857,141822671.890259,0.339991,157003784.179688,0.665160,201166546.344757
logmse_sqrt,0.502705,48499535.024166,50540339.946747,55194136.500359,0.341525,188563644.886017,0.663886,201166546.344757
ctrl_logmse_none,0.508703,51508167.386055,51012301.445007,33069163.560867,0.347327,59148296.713829,0.670078,201166546.344757
mse_log1p,0.508703,51508167.386055,51012301.445007,33069163.560867,0.347327,59148296.713829,0.670078,201166546.344757
mse_sqrt,0.509066,52256864.309311,52030199.766159,35804255.306721,0.347227,28518721.461296,0.670905,201166546.344757
rmse_zscore,0.510481,51418462.395668,51126909.255981,20713936.537504,0.350047,32921068.370342,0.670915,201166546.344757
rmse_minmax,0.510897,51560261.845589,51039594.411850,16889669.001102,0.350626,26159596.443176,0.671168,201166546.344757
mse_minmax,0.510989,52447214.722633,51552739.739418,17574501.782656,0.350810,25926692.783833,0.671168,201166546.344757
mse_zscore,0.511493,52481269.836426,51328235.864639,16000703.722239,0.351721,23478026.688099,0.671265,201166546.344757
logmse_log1p,0.616320,45884563.028812,46779285.371304,249444580.078125,0.550724,592503094.673157,0.681916,201166546.344757
