run,nrmse,mm,P_fluor,pm,M,P,R,O,m,p,DNA,r2_pm_final,r2_mm_max
M9_oxygen_dark_y0,0.619055,0.619055,0.641657,,,,,,,,,-0.602411,-0.372995
M9_oxygen_dark_base,0.619055,0.619055,0.641657,,,,,,,,,-0.602411,-0.372995
M7_boundary_gated_y0,0.630356,0.619055,,0.641657,,,,,,,,-0.602411,-0.372995
M7_boundary_gated_base,0.630356,0.619055,,0.641657,,,,,,,,-0.602411,-0.372995
M8_reagent_resource_base,2854294.634488,5708587.131937,,2.137038,,,,,,,,-0.453257,0.083569
M8_reagent_resource_y0,14457282.833405,28914564.265468,,1.401342,,,,,,,,-0.598939,-0.079190
M3_two_state_y0,63285578.586162,,,,23187734.180950,103383422.991375,,,,,,0.177810,0.132490
M4_three_state_base,108473130.331907,,205768353.388410,,11177907.275405,,,,,,,0.268814,-0.117438
M5_baseline_y0,129294308.442767,11165311.947373,,247423304.938161,,,42944047.343460,58739293.851331,650232321.052824,22959757508.676018,162020892.555158,0.227055,0.459698
M5_baseline_base,175641290.768421,22576862.481885,,328705719.054958,,,39406734.003913,17719913.899952,668613024.775600,25710505644.256439,162020892.555158,-0.207883,0.071874
M5_baseline_base,175641290.768421,22576862.481885,,328705719.054958,,,39406734.003913,17719913.899952,668613024.775600,25710505644.256439,162020892.555158,-0.207883,0.071874
M3_two_state_base,183538043.731235,,,,12658807.976517,354417279.485952,,,,,,0.140230,0.394937
M4_three_state_y0,328924913.382951,,644506024.581123,,13343802.184779,,,,,,,0.216645,0.157056
