sample_idx,os_mm,ro_mm,os_pm,ro_pm
0,0.009490,0.004537,0.006029,0.042269
1,0.028415,0.020904,0.004314,0.035131
2,0.027584,0.021051,0.003506,0.017067
3,0.031924,0.020978,0.003955,0.013487
4,0.025419,0.014496,0.004159,0.014994
5,0.037657,0.026263,0.005009,0.036880
6,0.032946,0.021896,0.005252,0.031053
7,0.032792,0.019398,0.003888,0.020860
8,0.009958,0.020249,0.076271,23.466331
9,0.012749,0.006942,0.013097,0.529132
10,0.011896,0.007882,0.004689,0.038927
11,0.010544,0.005243,0.018137,1.642724
12,0.013093,0.006756,0.023796,1.321990
13,0.012812,0.007349,0.025867,1.235003
14,0.021745,0.009359,0.006619,0.065509
15,0.022038,0.010400,0.006381,0.057744
16,0.019187,0.011394,0.005599,0.023399
17,0.027374,0.017583,0.008412,0.106630
18,0.021660,0.012345,0.008130,0.079003
19,0.018530,0.012955,0.004824,0.038592
20,0.017378,0.009632,0.004692,0.037904
21,0.010597,0.005690,0.007995,0.106586
22,0.010262,0.004422,0.006689,0.075293
23,0.010372,0.005517,0.006568,0.052505
24,0.013911,0.008481,0.033495,0.575585
25,0.014230,0.020464,nan,nan
26,0.015476,0.009025,0.079475,1.437060
27,0.026368,0.017251,0.015323,0.294970
28,0.027566,0.017521,0.031704,0.490998
29,0.026734,0.019525,0.022733,0.387524
30,0.020651,0.012840,0.028289,0.444824
31,0.012788,0.006683,0.096515,1.772287
32,0.011492,0.005735,0.083031,1.884703
33,0.020456,0.045098,0.048491,12.095816
34,0.019752,0.011560,0.006360,0.045413
35,0.020339,0.013776,0.087314,1.308468
36,0.011123,0.031141,nan,nan
37,0.010707,0.011275,0.075987,1.488515
38,0.029068,0.016566,0.004680,0.020108
39,0.024764,0.013682,0.007993,0.082292
40,0.028614,0.019514,0.014148,0.285902
41,0.011141,0.006359,0.017576,0.279822
42,0.011330,0.006784,0.012715,0.246389
43,0.026978,0.018971,0.019736,0.354825
44,0.023259,0.014588,0.019441,0.452354
45,0.022745,0.014740,0.008812,0.182111
46,0.023072,0.013713,0.009985,0.202427
47,0.015625,0.009756,0.046538,0.859206
48,0.023661,0.019475,0.006243,0.115721
49,0.027094,0.018669,0.005377,0.102435
50,0.023129,0.014513,0.006183,0.068531
51,0.039341,0.025833,0.006653,0.066368
52,0.042149,0.025681,0.006545,0.032797
53,0.018362,0.013569,0.005380,0.090779
54,0.018387,0.012881,0.005314,0.107009
55,0.022333,0.014000,0.007740,0.135221
56,0.018201,0.011888,0.010074,0.267587
57,0.018803,0.013144,0.005599,0.078691
58,0.016052,0.011342,0.005318,0.117532
59,0.017790,0.011765,0.005206,0.088219
60,0.018684,0.012144,0.005516,0.107909
61,0.017750,0.013122,0.005007,0.066647
62,0.038147,0.025620,0.006039,0.036147
63,0.033159,0.022121,0.006164,0.064186
64,0.015522,0.011020,0.005141,0.093344
65,0.015438,0.012976,0.005244,0.072127
66,0.015774,0.011001,0.005219,0.075696
67,0.024727,0.020105,0.009414,0.197465
68,0.020265,0.013564,0.010142,0.207966
69,0.016720,0.010670,0.009300,0.254230
70,0.016874,0.010956,0.009017,0.204418
71,0.023731,0.020009,0.006137,0.081570
72,0.024628,0.019013,0.003857,0.006956
73,0.042770,0.033500,0.003917,0.016056
74,0.040674,0.031198,0.003763,0.010269
75,0.029079,0.023208,0.006274,0.091772
76,0.013247,0.007983,0.016720,0.687575
77,0.050395,0.036013,0.004757,0.020475
78,0.030543,0.021182,0.004146,0.026191
79,0.020153,0.013433,0.004134,0.072535
80,0.019435,0.011577,0.004217,0.077913
81,0.038884,0.027363,0.005468,0.084444
82,0.016061,0.013104,0.008214,0.152481
83,0.039990,0.029746,0.008202,0.178977
84,0.019399,0.015365,0.020501,0.493322
85,0.008977,0.008973,0.070652,7.046833
86,0.028622,0.015659,0.010198,0.229067
87,0.031149,0.015477,0.007340,0.065583
88,0.021828,0.017984,0.004918,0.017078
89,0.036011,0.025851,0.005156,0.038857
90,0.046667,0.037190,0.004325,0.012851
91,0.053837,0.045876,0.005306,0.039203
92,0.054248,0.046713,0.004651,0.015401
93,0.057653,0.045237,0.003854,0.007633
94,0.045595,0.032594,0.003666,0.006795
95,0.024095,0.017301,0.003593,0.007447
96,0.017533,0.014250,0.006258,0.055108
97,0.022016,0.011834,0.005504,0.217304
98,0.018677,0.011609,0.005187,0.044387
99,0.024449,0.013561,0.004923,0.125337
100,0.020897,0.011724,0.005190,0.119746
101,0.025640,0.012782,0.006538,0.167823
102,0.031200,0.024161,0.005340,0.228778
103,0.018860,0.010069,0.005478,0.026658
104,0.021142,0.015825,0.005222,0.040037
105,0.023746,0.018869,0.005633,0.098847
106,0.009229,0.007117,0.051557,8.480919
107,0.029253,0.020551,0.005494,0.203638
108,0.008597,0.011331,0.053671,15.256150
109,0.010196,0.015078,0.050858,20.586906
110,0.051212,0.031904,0.007405,0.027684
111,0.041729,0.033289,0.007577,0.040276
112,0.009031,0.008394,0.044968,6.310272
113,0.027182,0.017190,0.016968,0.385901
114,0.031170,0.020886,0.006730,0.130493
115,0.022332,0.009746,0.006771,0.180994
116,0.023753,0.014532,0.007326,0.030137
117,0.034027,0.022661,0.006529,0.309182
118,0.030888,0.017683,0.006642,0.116095
119,0.017363,0.011125,0.006113,0.034318
120,0.022907,0.012363,0.002586,0.044346
121,0.016918,0.009297,0.002759,0.012205
122,0.021492,0.013559,0.002608,0.037178
123,0.024805,0.014431,0.002700,0.021862
124,0.025210,0.016928,0.002587,0.024821
125,0.018416,0.009942,0.002716,0.015565
126,0.020414,0.010406,0.003115,0.011682
127,0.014324,0.006586,0.003726,0.024093
128,0.020563,0.013326,0.002735,0.005697
129,0.006889,0.007146,0.052134,9.469690
130,0.019053,0.011871,0.004053,0.056620
131,0.008018,0.004470,0.058119,11.667195
132,0.043686,0.028001,0.054633,7.746858
133,0.045783,0.026871,0.055031,8.885650
134,0.028487,0.016496,0.003594,0.021388
135,0.033973,0.021383,0.003676,0.036457
136,0.012581,0.006083,0.010625,0.570693
137,0.018190,0.011742,0.008568,0.297465
138,0.021311,0.013810,0.003115,0.025985
139,0.016996,0.011635,0.003523,0.015165
140,0.019413,0.011789,0.002734,0.024586
141,0.019777,0.010316,0.002546,0.045434
142,0.024722,0.015195,0.002552,0.053031
143,0.023940,0.013348,0.002690,0.046684
144,0.039094,0.027101,0.009832,0.299417
145,0.022165,0.014747,0.007694,0.222563
146,0.022487,0.015753,0.008013,0.197162
147,0.019060,0.012689,0.007113,0.138146
148,0.020880,0.012616,0.006377,0.123962
149,0.038067,0.024777,0.010128,0.261199
150,0.042797,0.029598,0.008477,0.182074
151,0.043461,0.032242,0.008017,0.211324
152,0.038548,0.024423,0.008511,0.196342
153,0.026250,0.017674,0.007773,0.136046
154,0.028885,0.018785,0.011166,0.388792
155,0.022283,0.012186,0.008329,0.198051
156,0.036485,0.024523,0.012834,0.456231
157,0.038722,0.031311,0.015104,0.788756
158,0.040040,0.021487,0.009000,0.194661
159,0.011332,0.006559,0.005557,0.106709
160,0.024853,0.015447,0.009046,0.240667
161,0.023920,0.014425,0.009716,0.316424
162,0.022461,0.009924,0.008317,0.326949
163,0.016813,0.008278,0.008891,0.289301
164,0.016567,0.009280,0.006312,0.116824
165,0.013250,0.007985,0.006397,0.129269
166,0.013224,0.007212,0.006615,0.137412
167,0.036095,0.022409,0.008561,0.221955
168,0.033311,0.018223,0.033339,3.553706
169,0.029137,0.015066,0.017828,1.631072
170,0.029328,0.014837,0.016375,1.485201
171,0.036958,0.022158,0.015631,0.940191
172,0.035515,0.024227,0.015735,1.037910
173,0.035610,0.023512,0.015356,1.045165
174,0.032538,0.020991,0.014822,1.010130
175,0.028794,0.015550,0.018176,1.388648
176,0.032020,0.017875,0.018838,1.680089
177,0.035137,0.018783,0.022783,1.885400
178,0.033589,0.020713,0.022792,2.008605
179,0.041236,0.023767,0.022801,1.944071
180,0.032623,0.017497,0.018331,1.504638
181,0.035072,0.022721,0.021061,1.294449
182,0.038337,0.022718,0.019354,1.232625
183,0.031053,0.016035,0.039246,3.983279
184,0.042351,0.029735,0.029149,2.485466
185,0.032221,0.019345,0.043250,4.569471
186,0.038751,0.027832,0.038273,4.066362
187,0.039841,0.025107,0.039649,4.410654
188,0.049945,0.034377,0.028383,3.054068
189,0.035966,0.021431,0.030250,2.798476
190,0.041211,0.027358,0.026245,2.246799
191,0.034177,0.018642,0.016766,0.982367
192,0.029136,0.016471,0.009690,0.288848
193,0.029519,0.019123,0.008800,0.225196
194,0.027854,0.017695,0.010255,0.198168
195,0.030089,0.018363,0.009241,0.225966
196,0.027516,0.013869,0.008538,0.186359
197,0.029235,0.016730,0.008651,0.249676
198,0.034321,0.020636,0.009118,0.249891
199,0.018098,0.009186,0.005484,0.127756
200,0.018032,0.011582,0.006308,0.127358
201,0.018249,0.011463,0.006187,0.188189
202,0.023423,0.013362,0.004845,0.113679
203,0.016277,0.008914,0.005574,0.124064
204,0.017880,0.010711,0.005414,0.179998
205,0.017048,0.009616,0.005085,0.143318
206,0.017089,0.008862,0.002960,0.010351
207,0.015834,0.008064,0.003180,0.021279
208,0.026525,0.012396,0.003710,0.038790
209,0.024858,0.010707,0.003405,0.047658
210,0.024489,0.015142,0.005605,0.205433
211,0.026836,0.016297,0.004343,0.109534
212,0.028214,0.017880,0.005346,0.097144
213,0.025786,0.015659,0.005036,0.133425
214,0.012977,0.007262,0.014537,0.586963
215,0.028273,0.017077,0.007467,0.243989
216,0.009758,0.003117,0.041104,2.642728
217,0.015958,0.009307,0.059016,2.801562
218,0.016488,0.010673,0.049124,2.632248
219,0.016695,0.009981,0.071391,10.178921
220,0.017888,0.012446,0.062390,11.395747
221,0.021552,0.014094,0.012970,0.478223
222,0.024887,0.018845,0.010288,0.332856
223,0.013281,0.007808,0.007540,0.242504
224,0.015146,0.010145,0.007250,0.291138
225,0.015350,0.008389,nan,nan
226,0.006976,0.003381,0.003026,0.005386
227,0.028036,0.018919,0.047579,17.285725
228,0.011929,0.007325,0.008933,0.502670
229,0.011271,0.006224,0.012752,0.578133
230,0.020244,0.008781,0.005057,0.165914
231,0.026826,0.016203,0.005177,0.087482
232,0.006282,0.002850,0.004981,0.165682
233,0.009257,0.004891,0.010876,0.139890
234,0.009925,0.005385,0.005442,0.130531
235,0.010729,0.005902,0.016073,0.447708
236,0.009801,0.005955,0.012195,0.437372
237,0.013418,0.006243,0.039843,7.575898
238,0.014727,0.008185,0.074111,16.043139
239,0.010987,0.003622,0.040745,3.488823
240,0.007613,0.004677,0.040585,7.531493
241,0.023125,0.012848,0.014760,0.809818
242,0.021817,0.014601,0.015428,1.526819
