============================================================================================== 
Warning! Mixing Conda and module environments may lead to corruption of the
user environment. 
We do not recommend users mixing those two environments unless absolutely
necessary. Note that 
SURF does not provide any support for Conda environment.
For more information, please refer to our software policy page:
https://servicedesk.surf.nl/wiki/display/WIKI/Software+policy+Snellius#SoftwarepolicySnellius-UseofAnacondaandMinicondaenvironmentsonSnellius 

Remember that many packages have already been installed on the system and can
be loaded using 
the 'module load <package__name>' command. If you are uncertain if a package is
already available 
on the system, please use 'module avail' or 'module spider' to search for it.
============================================================================================== 
Using device: cuda
Experiment: experiments/txtl_m7_m8_pilot/20260525_161052_M7_old_s2
Study: txtl_m7_m8_pilot | Run ID: 20260525_161052_M7_old_s2
Split: stratified | seed=42 | bins=5 | targets=[3, 5] | n_test=87 n_val=87 n_train=517
Partial-observability lift: scaffold.P=12, P_obs=7, obs_state_idx=[3, 5], control_state_map={'DNA c': 11, 'T7RNAP': 6, 'NTPs': 7, 'AA': 8, 'Mg-Glut': 9, 'K-Glut': 10, 'Lysate 2%PEG': 8}
The model compiled successfully
LR warmup: 5 epochs (2.00e-03 target)
Data: N=691 | train=517 | val=87 | test=87
Dims: P_obs=7 | scaffold=txtl_model7_boundary_gated | U=13
Species: mm, pm
Partial-observability lift active: dataset_obs_idx=[3, 5] → scaffold_obs_idx=[3, 5].
Lift by-name IC copy: R→R@0, O→O@1, m→m@2, p→p@4, DNA→DNA@11
ep    1 | train 8.988061 | val 8.970118 | best 8.970118 | tf=1  [mm:4.3912  pm:22.6805] | 58.74s
ep    2 | train 9.320945 | val 8.974699 | best 8.970118 | tf=1  [mm:4.4166  pm:22.6372] | 46.71s
ep    3 | train 8.936418 | val 8.889523 | best 8.889523 | tf=1  [mm:4.3100  pm:22.6268] | 45.71s
ep    4 | train 9.102602 | val 8.890838 | best 8.889523 | tf=1  [mm:4.3616  pm:22.5282] | 45.40s
ep    5 | train 9.038978 | val 8.822169 | best 8.822169 | tf=1  [mm:4.2958  pm:22.4002] | 45.45s
ep    6 | train 8.892946 | val 8.894301 | best 8.822169 | tf=1  [mm:4.2891  pm:22.5550] | 45.45s
ep    7 | train 9.232333 | val 8.976771 | best 8.822169 | tf=1  [mm:4.3471  pm:22.6796] | 45.47s
ep    8 | train 9.020612 | val 8.789770 | best 8.789770 | tf=1  [mm:4.3595  pm:22.2807] | 45.61s
ep    9 | train 9.050213 | val 8.895221 | best 8.789770 | tf=1  [mm:4.3486  pm:22.4669] | 45.36s
ep   10 | train 9.107135 | val 8.661922 | best 8.661922 | tf=1  [mm:4.1936  pm:22.0768] | 45.37s
ep   11 | train 9.184122 | val 8.797760 | best 8.661922 | tf=1  [mm:4.2558  pm:22.2842] | 45.30s
ep   12 | train 9.112749 | val 8.704618 | best 8.661922 | tf=1  [mm:4.3262  pm:22.1247] | 45.45s
ep   13 | train 8.835409 | val 8.862518 | best 8.661922 | tf=1  [mm:4.3604  pm:22.3727] | 45.54s
ep   14 | train 9.142259 | val 8.702369 | best 8.661922 | tf=1  [mm:4.2686  pm:22.1602] | 45.38s
ep   15 | train 8.773389 | val 8.797149 | best 8.661922 | tf=1  [mm:4.3067  pm:22.3021] | 45.31s
ep   16 | train 8.936480 | val 8.707882 | best 8.661922 | tf=1  [mm:4.1858  pm:22.1861] | 45.25s
ep   17 | train 8.991985 | val 8.681059 | best 8.661922 | tf=1  [mm:4.1167  pm:22.1718] | 45.33s
ep   18 | train 8.745796 | val 8.707867 | best 8.661922 | tf=1  [mm:4.1733  pm:22.1903] | 45.52s
ep   19 | train 8.574288 | val 8.744888 | best 8.661922 | tf=1  [mm:4.2198  pm:22.2565] | 45.42s
ep   20 | train 8.667271 | val 8.750019 | best 8.661922 | tf=1  [mm:4.1872  pm:22.2872] | 45.38s
ep   21 | train 8.886357 | val 8.743128 | best 8.661922 | tf=1  [mm:4.1872  pm:22.2739] | 45.33s
ep   22 | train 8.883442 | val 8.738996 | best 8.661922 | tf=1  [mm:4.1659  pm:22.2780] | 45.31s
ep   23 | train 9.038892 | val 8.756662 | best 8.661922 | tf=1  [mm:4.1863  pm:22.3206] | 45.27s
ep   24 | train 8.668317 | val 8.767798 | best 8.661922 | tf=1  [mm:4.1458  pm:22.3650] | 45.31s
ep   25 | train 8.754977 | val 8.783262 | best 8.661922 | tf=1  [mm:4.1239  pm:22.4379] | 45.41s
ep   26 | train 8.922001 | val 8.755749 | best 8.661922 | tf=1  [mm:4.0888  pm:22.4060] | 45.43s
ep   27 | train 8.617084 | val 8.717659 | best 8.661922 | tf=1  [mm:3.9733  pm:22.3948] | 45.41s
ep   28 | train 8.748075 | val 8.643774 | best 8.643774 | tf=1  [mm:3.9378  pm:22.2694] | 45.31s
ep   29 | train 8.466713 | val 8.696049 | best 8.643774 | tf=1  [mm:3.9288  pm:22.3804] | 45.33s
ep   30 | train 8.720844 | val 8.728603 | best 8.643774 | tf=1  [mm:3.9196  pm:22.4459] | 45.21s
ep   31 | train 9.066016 | val 8.664708 | best 8.643774 | tf=1  [mm:3.9503  pm:22.3483] | 45.31s
[2026-05-25T16:34:51.474] error: *** JOB 23104964 ON gcn103 CANCELLED AT 2026-05-25T16:34:51 DUE to SIGNAL Terminated ***
